"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Violaceae"	"Vitaceae"
3450	4467	"Suho ezero II"	42.06517	23.56001	10	"AWI"	10	-87	300	41	0	0	10	7	6	4	0	11	0	7	0	0	0	0	0	0	0	0	4	104	0	0	0	18	0	0	0	0	1	7	0	0	0	0	0	14	0	14	377	14	0	0	0	0	11	0	0	0	0	6	1	0	0	1	0	0	0	0	3
3450	4467	"Suho ezero II"	42.06517	23.56001	12	"AWI"	12	-81	370	60	30	0	8	20	4	13	0	11	0	3	0	0	0	0	0	0	0	0	0	180	0	0	0	35	4	0	0	0	4	10	0	0	0	0	0	13	0	34	349	0	0	0	0	0	18	0	0	0	1	12	2	0	0	0	0	2	0	0	1
3450	4467	"Suho ezero II"	42.06517	23.56001	23	"AWI"	23	-36	684	169	21	0	12	4	1	15	0	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	64	365	0	0	0	0	1	21	0	0	0	3	1	0	0	0	1	0	0	0	3	0
3450	4467	"Suho ezero II"	42.06517	23.56001	38	"AWI"	38	30	964	345	39	0	71	2	0	9	0	57	0	3	0	0	0	0	0	0	0	0	13	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	16	0	61	154	4	0	0	0	0	69	0	0	0	1	3	0	0	0	2	1	0	0	0	0
3450	4467	"Suho ezero II"	42.06517	23.56001	50	"AWI"	50	116	1145	492	11	0	16	0	0	12	0	16	1	4	2	0	0	0	1	0	0	0	3	6	0	0	0	31	0	0	0	0	1	0	0	0	0	1	0	0	0	34	529	0	0	0	0	0	0	0	0	0	5	17	3	0	0	0	0	0	0	0	3
3450	4467	"Suho ezero II"	42.06517	23.56001	59	"AWI"	59	158	1330	594	31	1	61	0	3	15	0	74	0	8	11	0	0	0	0	0	0	0	1	8	0	0	0	127	0	0	0	3	1	1	0	0	0	1	0	30	0	17	68	0	0	2	0	0	95	0	0	0	0	2	1	0	0	1	3	2	0	0	2
3450	4467	"Suho ezero II"	42.06517	23.56001	70	"AWI"	70	257	1485	730	23	0	28	1	4	13	0	21	1	2	0	0	0	0	0	0	0	0	7	13	0	0	0	52	0	0	0	0	0	1	0	0	0	0	1	0	0	10	320	3	0	0	0	0	34	0	0	0	2	1	0	0	0	2	0	0	0	0	0
3450	4467	"Suho ezero II"	42.06517	23.56001	80	"AWI"	80	309	1676	847	53	0	20	9	2	25	0	30	0	13	0	0	0	0	0	1	0	0	5	56	0	0	0	64	0	0	0	3	7	12	0	2	0	0	0	8	0	40	107	22	0	2	23	1	99	0	4	0	0	7	1	0	0	7	0	14	0	0	2
3450	4467	"Suho ezero II"	42.06517	23.56001	88	"AWI"	88	389	1751	945	26	0	30	7	9	24	0	31	0	18	0	0	0	0	0	2	0	0	5	44	0	0	0	100	0	0	0	2	4	16	1	0	0	0	0	12	0	45	172	0	0	3	0	0	148	0	0	0	0	7	6	0	0	3	1	6	0	3	0
3450	4467	"Suho ezero II"	42.06517	23.56001	100	"AWI"	100	468	1929	1085	59	2	25	7	11	8	0	22	2	7	0	0	0	0	0	2	3	0	13	23	0	0	0	62	5	0	0	3	2	13	0	0	0	1	0	19	0	47	155	24	0	2	2	0	69	0	1	0	3	19	5	0	0	0	3	4	4	1	0
