"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
3362	4360	"Ptichje"	66.35	30.56667	25	"AWI"	25	30	869	309	0	0	0	0	2	0	0	0	0	140	0	3	0	0	0	20	105	0	14	0	0	2	0	0	0	0	0	0
3362	4360	"Ptichje"	66.35	30.56667	50	"AWI"	50	271	1408	723	1	0	0	0	2	0	0	0	1	142	0	2	0	0	0	29	95	0	22	0	0	0	0	0	0	0	0	0
3362	4360	"Ptichje"	66.35	30.56667	75	"AWI"	75	557	1913	1121	3	4	0	0	0	0	0	0	0	118	0	1	0	0	0	45	98	0	8	0	0	0	0	0	0	1	0	0
3362	4360	"Ptichje"	66.35	30.56667	100	"AWI"	100	862	2391	1524	2	7	0	0	2	0	0	0	0	92	0	2	0	0	0	43	128	0	11	0	1	2	0	0	0	0	0	0
3362	4360	"Ptichje"	66.35	30.56667	125	"AWI"	125	1188	2858	1934	0	10	0	0	0	0	0	0	1	50	0	3	0	0	0	35	82	0	3	0	0	1	0	1	0	1	0	0
3362	4360	"Ptichje"	66.35	30.56667	150	"AWI"	150	1519	3282	2347	0	5	0	0	0	0	0	0	0	57	0	0	1	0	0	50	115	0	4	0	0	0	0	0	0	0	0	0
3362	4360	"Ptichje"	66.35	30.56667	175	"AWI"	175	1870	3707	2761	1	16	0	0	0	1	0	0	1	58	0	3	0	1	0	45	141	0	3	0	0	0	0	0	0	0	0	5
3362	4360	"Ptichje"	66.35	30.56667	200	"AWI"	200	2223	4117	3158	0	0	0	0	0	0	0	0	0	55	0	3	0	0	0	37	132	0	5	0	0	1	0	0	0	0	0	1
3362	4360	"Ptichje"	66.35	30.56667	225	"AWI"	225	2627	4500	3577	0	17	0	0	2	0	0	0	1	36	0	0	0	0	0	50	163	0	3	0	0	1	0	0	0	0	1	3
3362	4360	"Ptichje"	66.35	30.56667	250	"AWI"	250	3017	4886	3981	2	16	0	0	2	0	0	0	0	32	0	2	0	0	0	60	131	0	4	0	0	0	0	0	0	0	0	1
3362	4360	"Ptichje"	66.35	30.56667	275	"AWI"	275	3425	5263	4378	0	13	0	0	2	0	0	0	0	35	0	0	0	0	0	25	121	0	2	0	1	0	2	0	0	0	0	2
3362	4360	"Ptichje"	66.35	30.56667	300	"AWI"	300	3845	5647	4784	1	14	0	0	0	0	0	0	0	28	0	2	0	0	0	8	153	0	3	0	0	0	0	0	0	1	0	1
3362	4360	"Ptichje"	66.35	30.56667	325	"AWI"	325	4275	6015	5195	0	17	0	0	0	0	0	0	0	32	0	0	2	0	0	7	149	0	9	0	0	3	1	0	0	1	0	3
3362	4360	"Ptichje"	66.35	30.56667	350	"AWI"	350	4701	6353	5611	0	7	0	0	0	0	0	0	0	27	0	3	1	0	0	14	114	0	13	0	0	0	0	0	0	0	0	2
3362	4360	"Ptichje"	66.35	30.56667	375	"AWI"	375	5159	6692	6010	0	23	0	1	0	0	0	0	2	25	0	0	1	0	0	2	122	0	17	0	0	2	1	1	0	0	0	3
3362	4360	"Ptichje"	66.35	30.56667	400	"AWI"	400	5637	6997	6420	0	18	0	0	0	0	0	0	0	28	0	4	1	0	0	5	109	0	7	1	0	1	1	1	0	0	0	0
3362	4360	"Ptichje"	66.35	30.56667	425	"AWI"	425	6117	7280	6834	0	21	0	0	0	0	0	0	0	15	0	3	0	0	0	0	146	0	4	0	0	2	1	0	0	2	0	2
3362	4360	"Ptichje"	66.35	30.56667	450	"AWI"	450	6677	7514	7233	1	7	0	0	1	0	0	0	0	15	0	0	0	0	0	6	117	0	3	0	0	1	1	0	0	1	0	0
3362	4360	"Ptichje"	66.35	30.56667	475	"AWI"	475	7056	7819	7541	0	13	0	0	0	0	0	0	1	32	0	0	0	0	0	1	120	0	3	0	0	2	2	0	0	0	0	1
3362	4360	"Ptichje"	66.35	30.56667	500	"AWI"	500	7305	8161	7776	0	16	0	0	0	0	0	1	0	34	0	2	0	0	0	2	111	0	14	0	0	0	2	0	0	4	0	1
