"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lythraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3483	4502	"Uitbergen"	51.01778	3.94472	15	"AWI"	15	193	822	461	0	26	2	1	0	0	0	8	1	0	1	16	52	0	2	1	0	0	1	10	1	111	21	2	0	0	0	2	0	1	0	1	4
3483	4502	"Uitbergen"	51.01778	3.94472	35	"AWI"	35	797	1507	1136	1	150	5	9	0	3	0	15	10	0	1	43	12	0	2	11	1	0	0	9	2	103	83	0	0	2	0	4	3	0	0	16	7
3483	4502	"Uitbergen"	51.01778	3.94472	39	"AWI"	39	952	1626	1265	0	260	6	24	0	2	0	9	4	0	0	25	13	0	0	12	1	0	2	7	1	66	54	0	0	3	1	2	6	0	0	1	4
3483	4502	"Uitbergen"	51.01778	3.94472	43	"AWI"	43	1106	1764	1398	0	225	4	10	1	1	0	5	3	0	0	12	7	0	0	6	3	1	1	8	2	41	100	0	0	5	0	3	2	0	1	1	2
3483	4502	"Uitbergen"	51.01778	3.94472	47	"AWI"	47	1276	1890	1527	0	210	4	12	0	2	0	14	3	0	2	24	25	0	0	8	1	0	1	8	2	69	66	0	0	2	1	3	8	0	0	3	2
3483	4502	"Uitbergen"	51.01778	3.94472	51	"AWI"	51	1444	2048	1698	0	215	4	12	0	2	0	14	6	0	1	23	14	0	4	3	2	0	1	7	1	40	85	0	0	1	1	0	2	0	0	1	1
3483	4502	"Uitbergen"	51.01778	3.94472	55	"AWI"	55	1601	2279	1906	2	160	7	2	0	3	0	14	1	0	0	35	11	0	3	17	3	0	1	22	0	0	62	0	0	2	0	0	0	0	0	3	1
3483	4502	"Uitbergen"	51.01778	3.94472	60	"AWI"	60	1836	2543	2195	0	210	1	11	0	1	0	22	0	0	0	65	16	4	0	5	2	0	0	16	5	0	84	0	0	1	0	0	4	0	0	1	3
3483	4502	"Uitbergen"	51.01778	3.94472	64	"AWI"	64	2074	2709	2421	0	130	1	0	0	1	0	6	0	0	1	90	7	0	0	4	2	0	0	28	3	22	86	1	1	0	0	0	0	0	0	30	3
3483	4502	"Uitbergen"	51.01778	3.94472	69	"AWI"	69	2438	2905	2696	0	175	2	2	0	1	0	12	1	0	0	65	5	0	0	4	4	0	0	25	3	15	90	2	0	4	1	1	3	0	0	9	2
3483	4502	"Uitbergen"	51.01778	3.94472	74	"AWI"	74	2809	3202	2973	0	220	0	1	1	0	0	24	1	0	0	90	4	0	0	0	0	0	1	20	0	0	80	0	0	0	0	0	5	0	0	12	3
3483	4502	"Uitbergen"	51.01778	3.94472	80	"AWI"	80	3022	3809	3317	0	190	1	0	1	0	0	11	0	0	0	90	6	0	0	1	3	0	0	25	0	0	103	0	0	0	0	0	1	0	0	36	12
3483	4502	"Uitbergen"	51.01778	3.94472	86	"AWI"	86	3269	4304	3669	0	120	1	1	0	1	0	15	0	0	0	108	0	0	0	0	1	0	0	28	0	0	150	0	0	1	0	0	1	0	0	47	23
3483	4502	"Uitbergen"	51.01778	3.94472	92	"AWI"	92	3505	4784	4017	0	110	1	0	0	0	0	42	0	0	0	74	2	0	0	0	3	0	0	29	0	0	120	0	0	0	0	0	5	0	0	52	12
3483	4502	"Uitbergen"	51.01778	3.94472	97	"AWI"	97	3717	5164	4320	0	73	0	1	3	1	0	23	0	0	0	147	9	0	0	1	0	0	0	28	0	0	211	0	0	0	0	0	3	0	0	41	52
