"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cucurbitaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15925	24532	"La Verderie"	48.35	-0.42778	5	"AWI"	5	-67	234	46	2	0	9	2	3	1	2	0	17	0	4	0	2	1	0	4	6	0	0	3	3	1	1	20	0	5	0	0	0	4	0	0	0	1	0	1	1	2	0	0	0	0	0	2	0	2	5	11	177	1	0	0	0	0	33	0	6	0	0	0	0	3	0	0	2	2	0	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	10	"AWI"	10	-5	355	152	2	0	9	0	3	0	0	0	7	2	10	1	1	2	0	6	4	1	0	0	6	1	0	34	0	8	0	0	0	5	2	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	3	19	230	0	0	0	0	0	16	0	11	1	0	2	0	0	0	2	1	1	0	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	15	"AWI"	15	80	451	259	1	0	5	2	2	0	1	0	11	0	10	0	0	3	0	2	4	0	0	0	11	0	0	19	0	10	0	0	9	5	0	0	0	1	0	2	1	2	0	0	5	0	0	0	0	0	3	16	210	2	0	0	5	0	37	0	4	0	0	0	0	1	0	0	2	2	0	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	20	"AWI"	20	190	537	373	2	0	11	2	0	0	2	0	11	0	18	0	0	3	0	8	3	1	0	0	14	0	0	23	1	14	0	4	0	4	1	0	0	1	0	1	0	1	1	0	0	0	0	2	1	0	3	15	158	2	0	2	0	0	43	1	7	0	0	0	11	0	1	0	2	2	1	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	22.5	"AWI"	22.5	277.5	566.5	423.5	0	0	12	0	2	2	2	0	12	0	5	0	0	3	0	2	3	0	0	0	24	0	0	22	0	4	0	5	0	10	2	0	0	0	0	0	1	1	1	0	8	0	0	2	0	1	2	11	147	1	0	2	0	0	54	0	3	3	0	1	0	7	2	2	2	2	0	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	25	"AWI"	25	322	613	480	1	0	117	2	2	2	2	7	128	0	2	0	0	1	3	2	0	0	0	0	56	0	0	17	0	9	0	0	0	26	2	0	0	1	0	2	3	2	0	0	0	0	0	3	2	0	2	11	104	1	0	0	0	1	175	1	5	6	0	2	0	13	0	0	2	2	0	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	30	"AWI"	30	477	882	649	0	0	131	1	2	2	3	0	195	0	1	0	1	0	0	1	0	0	0	0	53	1	0	26	0	8	0	0	0	27	1	0	0	1	1	2	3	3	0	0	0	0	0	1	0	0	2	9	58	0	0	0	0	0	96	0	3	5	0	0	0	17	0	0	2	2	0	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	35	"AWI"	35	622	1099	863	0	0	155	2	2	2	3	0	218	0	2	0	1	5	0	2	0	0	0	0	69	0	0	13	0	7	0	4	0	35	1	0	0	0	0	2	1	5	1	0	0	0	1	2	0	0	2	16	109	0	0	0	3	2	140	0	2	9	0	4	0	13	0	0	2	2	0	2	0	1
15925	24532	"La Verderie"	48.35	-0.42778	40	"AWI"	40	884	1233	1059	0	0	167	0	1	2	2	0	277	0	2	0	0	0	0	0	0	0	0	0	77	0	0	6	0	0	0	0	0	71	4	0	0	0	0	3	0	1	1	0	0	0	1	1	0	0	2	8	51	0	0	0	0	0	127	0	3	3	0	3	0	13	0	1	2	2	0	0	0	0
15925	24532	"La Verderie"	48.35	-0.42778	45	"AWI"	45	1018	1394	1198	0	0	123	2	1	2	2	0	168	0	3	0	0	1	0	1	1	0	0	0	41	0	0	19	0	9	0	3	0	46	4	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	2	11	100	0	0	0	0	0	93	0	3	2	0	1	0	25	0	2	4	2	0	0	1	0
