"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"
9819	14527	"Lough Corslieve"	54.049896	-9.63936	5	"AWI"	5	-73	-23	-39	12	0	2	0	0	0	11	1	0	0	0	79	14	0	0	3	0	12	0	0	14	0	0	118	12	0	21	0	0	3	0	3	0	0	5
9819	14527	"Lough Corslieve"	54.049896	-9.63936	25	"AWI"	25	25	689	237	14	0	2	0	0	11	5	0	1	0	0	61	12	0	0	1	0	12	0	0	9	0	0	108	16	2	0	0	2	3	1	0	0	0	7
9819	14527	"Lough Corslieve"	54.049896	-9.63936	45	"AWI"	45	237	1316	662	8	1	1	0	1	5	11	0	3	0	0	72	27	184	0	4	0	8	0	0	11	0	0	107	32	0	0	0	2	2	0	5	0	0	8
9819	14527	"Lough Corslieve"	54.049896	-9.63936	65	"AWI"	65	516	1870	1099	15	2	2	0	0	5	8	0	1	0	0	80	19	0	0	3	0	16	0	0	42	0	0	145	54	0	0	0	1	5	0	2	0	0	9
9819	14527	"Lough Corslieve"	54.049896	-9.63936	85	"AWI"	85	830	2385	1531	11	0	1	1	0	5	9	0	1	0	0	86	23	154	0	5	0	11	1	0	16	0	0	107	30	0	0	0	1	6	0	4	0	0	7
9819	14527	"Lough Corslieve"	54.049896	-9.63936	105	"AWI"	105	1186	2823	1968	25	2	3	1	0	13	11	0	2	0	1	109	34	285	0	1	0	4	0	0	16	0	1	152	33	0	25	0	3	4	0	0	0	0	10
9819	14527	"Lough Corslieve"	54.049896	-9.63936	125	"AWI"	125	1589	3251	2407	26	1	0	0	0	11	4	0	1	0	0	98	17	274	0	1	0	10	0	0	17	0	0	146	16	0	0	0	2	1	0	0	0	0	8
9819	14527	"Lough Corslieve"	54.049896	-9.63936	145	"AWI"	145	1955	3677	2834	21	3	2	1	0	11	12	0	2	0	0	66	15	262	0	4	0	6	0	0	12	0	1	123	26	1	26	0	2	0	0	2	0	0	12
9819	14527	"Lough Corslieve"	54.049896	-9.63936	165	"AWI"	165	2375	4048	3260	7	0	1	0	0	0	13	1	2	0	0	64	35	200	0	2	0	8	1	0	8	0	1	102	25	0	0	0	2	1	0	1	0	0	4
9819	14527	"Lough Corslieve"	54.049896	-9.63936	185	"AWI"	185	2846	4436	3689	12	0	2	1	0	2	8	0	0	0	3	58	39	141	0	1	0	13	0	0	17	0	0	101	35	0	0	0	2	9	0	4	0	0	8
9819	14527	"Lough Corslieve"	54.049896	-9.63936	205	"AWI"	205	3301	4818	4128	11	0	1	1	0	5	9	0	0	0	0	49	18	0	0	0	0	4	0	0	12	0	0	106	21	0	0	0	5	0	0	4	0	0	4
9819	14527	"Lough Corslieve"	54.049896	-9.63936	225	"AWI"	225	3774	5145	4554	23	0	2	0	0	4	14	0	0	0	0	32	30	0	0	2	0	12	2	0	27	0	0	94	80	0	0	0	7	3	0	9	1	0	5
9819	14527	"Lough Corslieve"	54.049896	-9.63936	245	"AWI"	245	4336	5421	4983	20	0	0	0	0	0	18	0	1	0	1	56	18	95	0	2	0	17	1	0	34	0	0	76	64	0	11	0	1	1	0	5	0	0	8
9819	14527	"Lough Corslieve"	54.049896	-9.63936	255	"AWI"	255	4659	5547	5192	18	1	2	1	0	0	12	0	1	0	0	70	14	127	0	5	0	19	4	0	62	0	0	62	83	0	0	0	4	6	0	8	0	0	14
9819	14527	"Lough Corslieve"	54.049896	-9.63936	265	"AWI"	265	5024	5676	5389	23	0	1	1	2	6	17	0	1	2	1	103	16	152	0	3	0	24	0	1	35	0	2	102	39	1	0	0	12	5	1	1	0	0	14
9819	14527	"Lough Corslieve"	54.049896	-9.63936	275	"AWI"	275	5455	5857	5611	31	1	3	2	0	3	13	0	0	0	1	104	9	73	0	3	0	14	2	0	101	0	0	76	91	0	0	0	0	4	0	0	0	1	10
