"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15692	24059	"Vladar"	50.078526	13.213992	43	"AWI"	43	-108	206	-30	0	3	14	2	0	0	4	0	0	0	78	0	6	0	0	0	0	0	0	0	3	0	890	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	2	0	71	181	0	285	0	0	0	0	61	0	0	13	26	13	0	0	0	0	0	3	0	0	2	4	3	0
15692	24059	"Vladar"	50.078526	13.213992	46	"AWI"	46	-72	264	29	10	7	15	2	0	0	8	0	0	0	81	0	2	0	0	0	0	0	0	0	18	0	375	0	2	0	0	0	15	0	0	0	0	0	0	4	0	0	0	0	4	0	53	144	0	0	0	0	0	0	37	0	0	3	9	14	0	0	0	1	0	0	0	0	9	2	9	0
15692	24059	"Vladar"	50.078526	13.213992	49	"AWI"	49	-54	420	83	7	0	7	1	0	0	1	0	0	0	62	0	1	2	3	0	0	0	2	0	16	0	211	0	2	0	0	0	12	0	1	0	0	0	1	11	0	0	0	0	1	0	42	162	23	0	0	0	0	0	35	0	0	3	13	2	0	0	0	0	0	1	0	0	2	2	7	0
15692	24059	"Vladar"	50.078526	13.213992	52	"AWI"	52	-42	568	138	13	0	11	4	0	0	2	0	0	0	32	0	3	0	7	0	0	0	3	0	11	0	173	0	1	0	0	0	4	0	0	0	1	0	0	21	0	0	0	0	1	0	35	154	0	0	0	0	0	0	36	0	0	2	18	4	0	0	0	0	0	0	0	0	0	1	8	0
15692	24059	"Vladar"	50.078526	13.213992	58	"AWI"	58	19	667	253	16	2	9	4	0	0	2	0	0	0	51	0	0	0	7	0	0	0	0	0	37	0	169	0	0	0	0	0	1	0	0	0	0	0	3	9	0	0	0	0	0	1	24	133	0	0	0	0	0	0	34	0	0	2	24	1	0	0	0	0	0	0	0	0	0	1	6	0
15692	24059	"Vladar"	50.078526	13.213992	61	"AWI"	61	40	708	309	21	0	10	2	0	0	6	0	0	0	57	0	2	0	0	0	0	0	0	0	38	0	179	0	0	0	0	0	2	0	0	0	0	0	1	21	0	0	0	0	0	0	19	124	0	0	0	0	0	0	27	0	0	3	29	2	0	0	0	0	0	0	0	0	0	2	0	0
15692	24059	"Vladar"	50.078526	13.213992	64	"AWI"	64	79	764	363	9	0	12	3	0	0	3	0	0	0	59	0	4	0	14	0	0	0	0	0	28	0	236	0	0	0	0	0	7	0	0	0	0	0	1	9	0	0	1	0	0	0	28	197	22	0	0	0	0	0	32	0	0	4	17	12	0	0	0	0	0	1	0	0	0	1	2	0
15692	24059	"Vladar"	50.078526	13.213992	67	"AWI"	67	127	797	429	11	0	9	2	0	0	4	0	0	0	56	0	2	2	23	0	0	0	0	0	29	0	303	0	0	0	0	0	13	0	0	0	0	0	0	10	0	0	0	0	2	0	49	228	0	0	0	0	0	0	42	0	0	4	12	11	0	0	0	0	0	0	0	0	0	1	4	0
15692	24059	"Vladar"	50.078526	13.213992	70	"AWI"	70	160	835	494	13	1	3	8	0	0	8	0	0	0	45	0	2	2	17	0	0	3	0	0	18	0	422	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	39	214	19	0	0	0	0	0	36	0	0	5	9	8	0	0	0	0	0	0	0	0	0	1	3	0
15692	24059	"Vladar"	50.078526	13.213992	73	"AWI"	73	185	900	555	10	1	4	5	0	0	11	0	0	0	25	0	2	0	29	0	0	2	0	0	17	0	506	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	27	212	0	0	0	0	0	0	21	0	0	7	12	11	0	0	0	0	0	1	0	0	0	0	1	0
