"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15898	24469	"Fréchencourt"	49.95	2.43333	50	"AWI"	50	2542	3165	2869	0	1	21	12	13	1	5	65	3	0	70	0	0	6	1	3	0	60	687	2	0	11	0	8	16	0	1	0	1	0	0	0	0	9	20	318	7	0	148	13	0	39	13	8	0	0	6	1	2	0	5	2	0	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	60	"AWI"	60	2722	3295	3028	0	2	33	3	12	4	1	30	19	0	62	0	0	6	0	0	1	110	836	0	0	0	0	17	23	0	0	0	1	0	0	2	0	7	28	397	5	2	170	29	0	35	15	19	3	0	8	2	0	0	16	14	1	0	1
15898	24469	"Fréchencourt"	49.95	2.43333	70	"AWI"	70	2919	3430	3188	0	1	14	10	19	1	0	32	10	0	105	1	0	3	0	7	1	55	242	0	0	0	0	22	28	0	0	0	0	0	0	2	0	7	39	380	0	1	152	50	0	21	15	29	1	0	0	0	0	1	3	2	1	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	80	"AWI"	80	3114	3562	3346	0	0	28	3	8	1	0	0	7	0	25	0	0	3	0	5	0	100	516	0	0	11	0	7	17	0	0	0	0	0	5	0	0	8	0	125	0	1	86	21	0	13	8	9	2	0	3	0	0	0	12	11	0	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	90	"AWI"	90	3310	3692	3504	0	0	10	1	1	1	0	0	0	0	0	0	0	0	0	0	0	22	816	0	0	0	0	12	11	0	0	0	0	0	0	0	0	16	0	49	0	0	127	0	0	2	5	16	0	0	0	0	4	0	7	3	0	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	100	"AWI"	100	3534	3810	3657	0	3	38	3	1	0	11	0	6	0	3	0	0	0	0	0	0	152	465	0	0	0	0	6	6	0	0	0	0	0	0	1	0	12	0	444	0	1	248	6	0	6	3	4	0	0	1	2	1	0	42	6	0	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	110	"AWI"	110	3676	4014	3829	1	4	98	2	5	5	3	0	3	0	1	0	0	1	0	0	0	247	708	0	0	0	0	4	48	0	0	0	0	0	0	0	0	17	0	180	0	0	184	0	0	11	3	9	0	0	0	1	4	0	52	20	0	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	115	"AWI"	115	3750	4105	3914	0	3	71	0	1	3	4	0	1	0	1	0	0	0	0	0	0	233	740	0	0	0	0	4	68	0	0	0	0	0	0	0	0	10	0	78	0	0	188	0	0	8	0	5	0	0	0	0	2	0	26	17	0	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	120	"AWI"	120	3824	4192	3999	0	3	76	0	1	3	0	0	0	0	0	0	0	0	0	1	0	297	340	0	0	0	0	4	61	0	0	0	0	0	0	0	0	12	0	65	0	0	151	0	0	4	2	2	0	0	0	0	3	0	25	16	0	0	0
15898	24469	"Fréchencourt"	49.95	2.43333	125	"AWI"	125	3902	4279	4086	0	6	226	0	0	10	0	0	3	0	3	0	0	0	0	0	0	581	514	0	0	0	0	5	98	0	0	0	0	0	0	0	0	16	0	120	0	0	349	0	0	11	0	7	0	0	0	0	0	0	42	17	0	0	0
