"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Lamiaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26060	45204	"Ferry Lane"	51.51194	0.19444	80	"AWI"	80	2511	2906	2718	0	0	49	9	0	10	0	0	0	0	5	0	5	0	0	0	0	18	171	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	270	0	0	0	20	0	0	2	0	15	0	0	0	0	1	0	0	0	2	5	0
26060	45204	"Ferry Lane"	51.51194	0.19444	88	"AWI"	88	2695	3172	3001	0	1	142	12	0	6	1	5	1	0	6	0	7	2	0	0	0	45	102	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	8	0	0	181	0	0	0	55	0	0	3	0	9	0	0	0	0	0	5	0	2	4	2	2
26060	45204	"Ferry Lane"	51.51194	0.19444	96	"AWI"	96	2831	3393	3205	0	0	219	20	0	0	0	1	0	0	4	0	6	0	0	0	0	51	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	27	0	0	166	0	2	0	68	0	0	0	0	9	0	0	0	1	1	1	0	1	4	1	0
26060	45204	"Ferry Lane"	51.51194	0.19444	104	"AWI"	104	2919	3439	3264	0	0	107	18	0	1	0	0	1	0	5	0	1	0	0	0	0	26	76	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	11	0	0	208	0	0	0	72	0	0	1	0	5	0	0	0	0	0	1	0	6	8	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	112	"AWI"	112	2985	3522	3314	0	0	94	27	0	2	2	0	0	0	7	0	0	0	0	0	0	40	72	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	0	0	152	0	0	0	92	0	0	1	0	3	0	0	1	0	0	3	0	10	4	3	0
26060	45204	"Ferry Lane"	51.51194	0.19444	120	"AWI"	120	3043	3569	3359	2	0	69	21	0	1	1	1	0	0	3	0	1	2	0	0	0	65	76	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	15	0	0	149	0	0	0	89	0	0	2	0	7	0	0	0	0	1	0	0	3	8	2	2
26060	45204	"Ferry Lane"	51.51194	0.19444	128	"AWI"	128	3088	3617	3401	0	0	82	29	0	3	0	0	0	0	2	0	4	0	0	0	0	69	164	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	138	0	3	0	74	0	0	1	0	4	0	0	0	0	1	7	0	13	15	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	132	"AWI"	132	3109	3647	3423	0	4	98	36	0	1	1	4	0	0	3	0	4	0	0	0	0	77	90	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	0	0	111	0	0	0	107	0	0	0	0	4	0	0	0	0	0	2	1	14	9	3	0
26060	45204	"Ferry Lane"	51.51194	0.19444	136	"AWI"	136	3148	3668	3443	2	1	144	19	0	1	9	1	0	0	6	0	8	1	0	0	0	90	48	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	3	8	0	0	99	0	0	0	89	0	0	2	0	3	0	0	0	0	3	4	0	12	12	1	0
26060	45204	"Ferry Lane"	51.51194	0.19444	140	"AWI"	140	3186	3681	3465	0	2	261	39	0	5	2	0	0	0	8	0	2	0	0	0	0	67	67	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	0	141	0	0	0	83	0	0	3	0	3	0	0	0	0	0	4	0	6	13	2	0
26060	45204	"Ferry Lane"	51.51194	0.19444	141	"AWI"	141	3195	3685	3471	0	1	343	22	0	2	3	6	0	0	12	0	4	0	0	0	1	85	65	3	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	5	0	2	127	0	0	0	76	0	0	0	0	11	0	1	0	0	0	4	0	8	16	3	0
26060	45204	"Ferry Lane"	51.51194	0.19444	142	"AWI"	142	3203	3691	3476	0	0	111	46	0	2	1	1	0	0	10	0	2	0	0	0	0	51	93	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	183	0	2	0	51	0	0	0	0	3	0	0	0	0	0	6	0	7	6	0	0
26060	45204	"Ferry Lane"	51.51194	0.19444	143	"AWI"	143	3211	3694	3482	0	0	145	28	0	4	1	3	0	0	7	0	4	0	0	0	0	68	57	0	1	0	1	0	5	0	0	0	0	0	0	1	0	0	0	8	0	0	128	0	7	0	92	0	0	2	0	5	1	0	0	1	0	3	0	5	13	1	0
26060	45204	"Ferry Lane"	51.51194	0.19444	144	"AWI"	144	3219	3699	3487	0	0	219	36	0	2	2	0	0	0	3	0	5	0	0	0	0	58	93	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	8	10	0	146	0	3	0	74	0	0	1	0	0	0	0	1	1	0	3	0	7	5	0	0
