"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Olea"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3226	4186	"Col des Lauzes"	44.76722	6.53694	10	"AWI"	10	-58	544	172	9	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	3	2	15	0	0	0	0	0	2	0	0	1	0	0	24	0	0	0	0	0	0	0	0	0	6	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	15	"AWI"	15	-29	833	293	34	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	1	0	0	0	3	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	20	"AWI"	20	86	908	434	13	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	1	12	0	0	0	0	0	1	0	0	1	0	0	15	0	0	0	0	0	2	0	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	25	"AWI"	25	148	1017	584	26	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	3	0	0	20	0	0	0	0	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	30	"AWI"	30	231	1167	719	19	1	0	1	5	1	0	6	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	1	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	35	"AWI"	35	470	1220	842	31	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	3	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	40	"AWI"	40	635	1303	970	18	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	1	25	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	45	"AWI"	45	757	1427	1100	32	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	1	0	0	0	0	0	0	0	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	50	"AWI"	50	874	1553	1226	51	0	0	1	2	0	0	10	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0
3226	4186	"Col des Lauzes"	44.76722	6.53694	55	"AWI"	55	949	1795	1328	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	1	0
