"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Liliaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
15889	24454	"Font Salesse"	43.60167	2.97889	15	"AWI"	15	-116	176	-15	0	11	0	1	1	0	6	3	1	0	0	1	0	12	0	3	8	0	0	10	0	0	0	0	0	2	11	6	127	60	0	0	0	0	1	0	0
15889	24454	"Font Salesse"	43.60167	2.97889	60	"AWI"	60	-23	695	149	14	14	0	0	0	0	30	6	1	0	0	4	0	1	0	11	35	0	0	44	0	0	0	0	0	3	10	0	101	84	0	1	0	1	3	2	2
15889	24454	"Font Salesse"	43.60167	2.97889	58	"AWI"	58	-25	669	142	6	10	0	1	7	0	8	4	0	0	0	0	0	0	0	6	19	0	0	13	2	0	0	0	0	6	9	6	280	44	0	1	1	0	1	0	1
15889	24454	"Font Salesse"	43.60167	2.97889	10	"AWI"	10	-127	105	-31	1	8	0	0	0	0	1	2	1	0	0	0	0	2	0	2	1	0	0	1	0	0	0	0	0	1	9	1	0	11	2	0	1	0	0	2	0
15889	24454	"Font Salesse"	43.60167	2.97889	30	"AWI"	30	-94	389	32	6	14	0	1	0	0	22	7	2	0	0	0	1	0	0	16	16	0	0	11	0	0	1	0	0	1	7	9	0	93	0	1	0	1	1	1	0
15889	24454	"Font Salesse"	43.60167	2.97889	25	"AWI"	25	-101	317	16	0	8	0	1	0	0	10	10	5	0	0	0	1	6	0	3	17	0	0	10	0	0	0	0	0	0	0	14	206	56	0	2	1	0	0	0	1
15889	24454	"Font Salesse"	43.60167	2.97889	20	"AWI"	20	-108	249	0	5	18	0	3	11	0	5	0	2	0	0	0	1	6	0	5	16	0	0	15	0	0	0	0	0	2	9	16	124	69	0	2	3	2	0	0	0
15889	24454	"Font Salesse"	43.60167	2.97889	63	"AWI"	63	258	873	407	9	9	0	0	0	0	39	6	1	0	0	2	0	2	0	7	14	0	0	41	0	0	0	0	0	8	6	8	87	136	0	1	0	1	3	12	0
15889	24454	"Font Salesse"	43.60167	2.97889	50	"AWI"	50	-37	580	112	10	15	0	2	11	0	27	4	1	1	0	0	1	0	0	10	21	0	0	21	0	0	0	0	0	0	2	6	163	72	0	1	5	0	6	1	2
15889	24454	"Font Salesse"	43.60167	2.97889	45	"AWI"	45	-47	521	91	19	4	0	2	5	0	16	4	0	1	0	2	5	1	0	12	37	0	0	40	2	0	0	0	0	2	11	4	177	65	0	0	0	0	3	2	2
15889	24454	"Font Salesse"	43.60167	2.97889	55	"AWI"	55	-28	636	132	7	12	0	0	2	0	15	1	0	0	0	1	0	1	1	12	5	119	0	22	1	0	0	1	0	2	8	3	146	70	0	2	0	0	0	0	0
15889	24454	"Font Salesse"	43.60167	2.97889	5	"AWI"	5	-142	42	-48	4	10	0	0	4	0	4	0	0	0	0	0	0	6	1	4	5	170	0	7	0	0	1	0	0	1	19	10	161	18	3	1	6	0	3	0	1
15889	24454	"Font Salesse"	43.60167	2.97889	35	"AWI"	35	-76	427	51	26	11	4	1	1	0	29	6	0	0	0	3	0	1	0	10	11	57	0	49	1	0	0	0	0	4	10	8	128	96	6	2	0	0	3	3	0
15889	24454	"Font Salesse"	43.60167	2.97889	40	"AWI"	40	-59	471	71	21	17	0	4	3	0	33	7	0	1	1	2	0	1	0	10	27	0	0	32	2	2	1	1	2	3	9	6	194	94	8	6	1	1	3	1	1
