"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Juniperus"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13441	20156	"Krumpa"	51.3	11.85	70	"AWI"	70	11830	12491	12238	0	0	2	8	0	0	0	0	0	0	1	1	90	0	0	0	0	0	0	1	87	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
13441	20156	"Krumpa"	51.3	11.85	80	"AWI"	80	11906	12537	12297	0	0	0	1	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	95	0	26	0	0	0	0	0	0	1	0	0	2	0	0	0
13441	20156	"Krumpa"	51.3	11.85	90	"AWI"	90	11979	12580	12359	0	1	0	7	0	0	0	0	0	0	0	0	66	0	1	0	0	0	1	0	83	0	33	0	0	0	0	0	0	0	0	1	0	0	0	0
13441	20156	"Krumpa"	51.3	11.85	100	"AWI"	100	12060	12624	12418	0	0	2	25	0	0	0	1	0	1	0	0	85	0	0	0	0	0	0	0	150	0	180	0	0	0	0	1	0	2	0	2	2	0	0	0
13441	20156	"Krumpa"	51.3	11.85	110	"AWI"	110	12134	12668	12476	0	0	1	23	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	118	0	226	0	2	0	0	0	0	0	0	3	0	0	0	1
13441	20156	"Krumpa"	51.3	11.85	120	"AWI"	120	12211	12707	12533	0	0	2	20	0	0	0	0	0	0	1	0	44	0	0	0	0	0	0	0	133	3	300	0	0	0	0	0	0	0	0	2	2	0	0	0
13441	20156	"Krumpa"	51.3	11.85	130	"AWI"	130	12293	12751	12593	0	1	0	70	0	0	0	0	0	0	1	0	71	0	1	0	0	0	0	0	130	1	220	0	0	0	0	0	0	0	0	2	1	0	0	0
13441	20156	"Krumpa"	51.3	11.85	140	"AWI"	140	12374	12790	12652	0	1	0	73	0	0	0	0	0	1	0	0	42	0	0	0	0	0	0	0	112	0	300	0	0	0	0	0	0	0	0	2	1	0	0	0
13441	20156	"Krumpa"	51.3	11.85	150	"AWI"	150	12445	12832	12710	0	3	2	26	0	0	0	1	0	0	1	1	66	0	1	0	0	0	0	0	150	0	270	0	0	0	0	0	0	4	1	5	0	0	0	0
13441	20156	"Krumpa"	51.3	11.85	160	"AWI"	160	12510	12868	12762	0	1	0	122	0	0	0	0	0	0	0	2	32	0	0	0	0	0	0	4	75	0	280	0	0	0	0	1	0	0	0	0	1	0	0	0
13441	20156	"Krumpa"	51.3	11.85	170	"AWI"	170	12561	12903	12797	0	1	2	63	0	0	0	0	0	0	0	2	121	0	0	0	0	0	0	0	75	0	202	0	0	0	0	0	0	0	0	9	2	0	0	0
13441	20156	"Krumpa"	51.3	11.85	180	"AWI"	180	12603	12935	12829	3	1	0	35	0	0	0	0	0	0	0	0	40	0	0	0	0	1	0	0	75	0	360	0	0	0	0	0	0	4	0	6	2	0	0	0
13441	20156	"Krumpa"	51.3	11.85	190	"AWI"	190	12663	12962	12862	0	2	7	83	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	91	1	300	0	0	0	0	1	0	3	0	22	1	0	0	0
13441	20156	"Krumpa"	51.3	11.85	200	"AWI"	200	12719	12989	12896	0	1	0	40	0	0	0	0	0	0	1	0	115	0	0	0	0	0	0	0	152	1	170	0	0	0	0	3	0	1	0	0	0	0	0	0
