"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Montiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Staphylea"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
24242	42681	"Huzenbacher See"	48.574426	8.348266	782	"AWI"	782	-79	82	10	102	4	1	90	4	0	0	0	2	0	0	0	168	0	6	0	0	17	0	0	4	0	0	0	121	15	0	0	7	0	0	0	86	0	23	0	0	0	0	0	19	4	8	0	0	0	0	0	0	0	30	0	0	120	0	0	0	273	0	1	0	1	47	0	0	0	0	8	0	0	0	0	1	0	2	0	0	1	9	1	0	0	0	1
24242	42681	"Huzenbacher See"	48.574426	8.348266	791	"AWI"	791	203	344	272	174	2	0	80	1	0	0	0	1	0	0	0	182	0	0	0	0	49	0	0	3	0	0	0	77	26	1	0	26	0	0	0	127	0	6	0	0	0	0	0	10	7	3	0	0	0	0	0	0	0	14	0	0	87	0	0	0	0	0	0	0	0	167	0	0	1	0	9	0	0	0	0	1	0	0	0	0	6	3	1	0	0	0	0
24242	42681	"Huzenbacher See"	48.574426	8.348266	792	"AWI"	792	230	374	302	161	6	0	108	0	0	0	0	3	0	0	0	182	0	2	0	0	14	0	0	3	0	0	0	116	19	0	0	18	0	2	0	132	0	5	0	0	0	1	0	29	2	5	0	0	0	0	0	0	0	31	0	0	57	0	0	0	0	0	1	0	2	106	0	0	2	0	6	0	0	0	0	1	0	0	0	0	3	7	1	0	0	0	1
24242	42681	"Huzenbacher See"	48.574426	8.348266	793	"AWI"	793	256	405	333	142	1	0	79	2	0	0	0	4	0	0	0	191	0	3	0	0	34	0	0	9	0	0	0	85	17	0	0	11	0	2	0	117	0	11	0	0	0	0	0	9	5	2	0	0	0	0	0	0	0	11	0	0	89	0	0	0	0	0	1	0	1	165	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	4	2	0	0	0	0
24242	42681	"Huzenbacher See"	48.574426	8.348266	794	"AWI"	794	283	436	364	151	6	0	71	0	0	0	0	5	0	0	0	192	0	1	0	0	0	0	0	5	0	0	0	109	12	0	0	16	0	2	0	153	0	8	0	0	0	1	0	29	5	4	0	0	0	0	0	0	0	24	0	0	85	0	0	0	0	0	2	0	1	192	0	0	1	0	9	0	0	0	0	1	0	0	0	0	1	5	1	0	0	1	0
24242	42681	"Huzenbacher See"	48.574426	8.348266	795	"AWI"	795	307	467	396	143	4	0	72	0	0	0	0	2	0	0	0	148	0	3	0	0	56	0	0	1	0	0	0	61	14	0	0	6	0	0	0	110	0	2	1	0	0	0	1	18	3	9	0	0	0	0	0	0	0	8	0	0	91	0	0	0	0	0	3	0	0	132	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	3	5	0	0	0	0
24242	42681	"Huzenbacher See"	48.574426	8.348266	796	"AWI"	796	332	497	427	148	1	0	76	1	0	0	0	4	0	0	0	185	0	1	0	0	42	0	0	5	0	0	0	87	11	0	0	10	0	0	0	126	1	6	0	0	1	1	0	17	4	6	0	0	0	0	1	0	0	21	0	0	91	0	0	0	0	0	2	0	0	188	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0
24242	42681	"Huzenbacher See"	48.574426	8.348266	797	"AWI"	797	355	529	458	114	5	0	89	0	0	0	0	2	0	0	0	234	0	0	2	0	48	0	0	3	0	0	0	91	14	0	0	9	0	0	0	142	0	7	0	0	0	0	0	18	3	13	0	0	0	0	0	0	0	20	0	0	56	0	0	0	0	0	1	0	0	170	0	0	0	0	10	0	0	0	1	1	0	0	0	0	2	3	7	0	0	0	0
24242	42681	"Huzenbacher See"	48.574426	8.348266	798	"AWI"	798	379	561	490	134	0	0	83	0	0	0	0	2	0	0	0	207	0	1	0	0	51	0	0	9	0	0	0	63	15	0	0	16	0	0	0	92	0	4	0	0	0	0	0	13	3	12	0	0	0	0	0	0	0	16	0	0	69	0	0	0	0	0	5	0	0	162	0	0	2	0	22	0	0	0	0	0	0	1	0	0	3	3	5	0	0	0	0
24242	42681	"Huzenbacher See"	48.574426	8.348266	799	"AWI"	799	402	593	521	76	1	0	95	0	0	0	0	3	0	0	0	222	0	2	0	0	0	0	0	10	0	0	0	98	16	0	0	0	0	1	0	113	0	3	0	0	0	0	1	16	5	5	0	0	0	0	2	0	0	21	0	0	41	0	0	0	0	0	1	0	1	176	0	0	1	0	14	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0
