"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	9	"AWI"	9	1576	2881	2182	1	0	9	16	1	0	0	0	1	40	0	0	4	41	0	0	1	0	0	0	0	0	0	0	2	13	0	39	0	13	0	0	0	0	1	0	0	0	0	1	4	0
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	28	"AWI"	28	1939	3203	2638	0	0	19	17	1	0	0	0	1	1	0	1	14	20	0	0	0	0	0	0	0	0	0	0	0	7	0	80	0	4	18	0	0	0	0	0	0	0	0	0	1	0
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	36	"AWI"	36	2144	3376	2829	0	0	38	10	2	0	2	0	0	7	0	0	13	46	0	0	0	0	1	0	0	0	0	2	0	20	3	84	0	52	0	0	0	0	1	0	1	0	0	0	2	1
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	46	"AWI"	46	2341	3568	3079	0	0	71	2	3	1	0	0	2	1	0	0	10	95	0	0	1	0	0	0	0	0	0	0	0	3	0	64	0	25	0	0	0	0	6	0	0	0	0	1	0	0
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	54	"AWI"	54	2654	3645	3267	0	1	60	10	0	0	1	0	1	3	1	0	12	57	0	0	3	0	0	0	0	0	0	0	0	0	0	77	1	56	0	0	0	0	6	0	0	0	0	0	1	1
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	63	"AWI"	63	2884	3791	3488	0	0	100	2	3	2	1	0	0	0	0	0	14	48	0	0	0	0	0	1	2	0	1	0	0	0	9	55	0	31	1	0	3	0	8	0	0	2	0	0	1	3
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	71	"AWI"	71	3413	3856	3660	0	0	61	2	0	0	3	0	1	2	0	0	22	20	0	0	4	0	0	0	1	0	0	0	0	0	9	76	0	51	3	0	2	0	3	0	0	0	0	0	16	5
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	80	"AWI"	80	3698	4070	3880	0	0	70	0	0	2	0	0	0	0	0	0	13	5	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	80	0	0	0	0	10	0	0	0	9	0	15	0
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	88	"AWI"	88	3783	4442	4073	0	0	122	5	1	3	0	0	0	0	0	0	22	8	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	92	0	0	0	0	0	0	0	0	17	0	18	3
23818	41276	"Woolwich Trade Park"	51.49167	0.08556	97	"AWI"	97	3908	4762	4285	0	0	131	1	0	1	0	0	5	0	0	0	43	18	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	60	0	0	0	0	5	0	0	0	20	0	19	3
