"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	1	"AWI"	1	-120	39	-39	0	10	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	52	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	30	0	0	0	96	5	0	0	1	31	8	0	0	1	7	0	0	0	0	2	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	4	"AWI"	4	-92	148	13	0	16	4	0	0	0	2	0	0	0	7	0	6	0	0	0	0	1	4	0	2	0	46	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	0	0	0	124	0	0	0	2	48	7	0	0	0	11	0	1	0	0	1	0	0	1	0	0	0	1
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	8	"AWI"	8	-71	329	79	0	14	2	1	0	0	6	0	0	0	6	0	9	1	0	0	0	2	0	1	2	0	74	0	98	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	11	1	0	0	108	0	0	0	0	29	11	0	0	0	5	0	0	0	0	3	0	0	0	1	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	12	"AWI"	12	-25	435	147	1	11	1	1	0	0	2	0	0	0	3	0	4	1	0	0	0	0	3	1	1	0	68	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	16	0	0	0	102	0	0	0	3	48	11	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	16	"AWI"	16	9	480	217	0	11	1	0	0	0	1	0	0	0	1	0	4	0	0	0	0	2	3	1	1	0	69	0	105	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	111	0	0	0	1	28	7	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	20	"AWI"	20	32	536	287	0	17	1	0	0	0	4	0	0	0	2	0	5	1	0	0	0	2	0	1	0	1	66	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	4	0	0	0	0	11	0	11	0	126	0	0	0	0	28	3	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	24	"AWI"	24	145	558	350	0	6	2	0	0	0	6	0	0	0	3	0	3	0	0	0	0	2	0	0	0	0	41	0	79	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	15	1	0	0	130	0	0	0	0	23	4	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	28	"AWI"	28	181	586	415	0	8	2	2	0	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	60	0	81	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	13	0	0	0	127	0	1	0	2	37	4	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	32	"AWI"	32	264	627	478	0	13	2	1	0	0	3	0	0	0	8	0	0	2	0	0	0	0	2	1	0	0	32	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	9	0	125	0	1	0	1	44	10	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	36	"AWI"	36	387	644	542	0	6	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	1	0	0	20	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	7	0	107	0	0	0	1	41	3	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	40	"AWI"	40	462	686	613	0	9	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	27	0	127	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	111	0	0	0	0	38	7	0	0	2	10	0	0	0	0	2	0	1	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	41	"AWI"	41	628	860	773	0	13	0	1	0	0	0	0	0	0	3	0	1	1	0	0	0	0	5	2	2	0	22	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	114	0	2	0	1	79	11	0	0	0	4	0	0	0	0	6	0	0	1	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	42	"AWI"	42	787	1053	933	0	16	0	4	0	0	3	0	0	0	4	0	0	1	0	0	0	0	4	2	3	0	15	0	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	107	0	0	0	3	62	10	0	0	2	4	0	0	0	0	2	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	43	"AWI"	43	938	1249	1095	0	6	0	2	0	0	2	0	2	0	0	0	4	1	0	0	0	0	0	2	1	0	23	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	1	75	7	0	0	1	4	0	0	0	0	2	0	0	0	1	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	44	"AWI"	44	1085	1447	1261	0	9	0	0	0	0	10	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	28	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	0	0	0	137	0	0	0	0	26	5	0	0	2	6	0	0	0	0	4	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	45	"AWI"	45	1219	1645	1429	0	8	1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	3	2	0	0	23	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	118	0	1	0	0	73	8	0	0	1	5	0	0	0	0	6	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	46	"AWI"	46	1352	1845	1594	0	18	1	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	3	0	0	0	20	0	81	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	21	0	0	0	74	0	1	0	1	50	6	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	47	"AWI"	47	1487	2048	1755	0	15	0	0	0	0	1	0	0	0	3	0	0	3	0	0	0	0	5	2	0	0	17	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	15	0	0	0	93	0	0	0	3	61	5	0	0	2	4	0	0	0	0	3	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	48	"AWI"	48	1617	2252	1916	0	22	1	1	0	0	2	0	0	0	2	0	0	2	0	0	0	0	2	1	3	0	43	0	81	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	18	0	0	0	128	0	0	0	2	42	15	0	0	5	2	0	0	0	0	6	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	49	"AWI"	49	1748	2453	2079	0	22	0	1	0	0	3	0	0	0	3	0	0	2	0	0	0	0	3	1	1	1	15	0	99	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	23	0	0	0	103	0	0	0	0	57	5	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	50	"AWI"	50	1880	2657	2242	0	29	0	0	0	0	3	0	0	0	4	0	3	1	0	0	0	0	0	2	1	0	14	0	112	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	18	0	0	0	0	0	0	0	2	59	5	0	0	2	2	0	0	0	0	5	0	0	1	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	51	"AWI"	51	2005	2701	2363	0	16	0	2	0	0	2	0	0	0	2	0	2	2	0	0	0	0	15	3	3	1	16	0	86	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	1	1	75	3	0	0	0	5	0	0	0	0	6	0	0	0	0	0	0	0
26054	45192	"Ayoó de Vidriales"	42.12611	-6.07028	52	"AWI"	52	2128	2739	2484	0	21	2	0	0	0	2	0	1	0	4	0	0	0	0	0	0	2	0	1	2	0	23	0	87	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	98	0	0	0	0	49	12	0	0	1	6	1	0	0	0	1	1	0	0	0	0	0	0
