"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	274	"AWI"	274	-133	29	-49	2.02702702702703	0	3.71621621621622	0.337837837837838	3.04054054054054	2.02702702702703	1.68918918918919	10.1351351351351	6.08108108108108	0.337837837837838	0.337837837837838	1.01351351351351	5.74324324324324	0.675675675675676	3.71621621621622	0	0	0	0.675675675675676	0	0	3.37837837837838	4.72972972972973	0.337837837837838	13.8513513513514	0.337837837837838	27.3648648648649	0.675675675675676	0	0.337837837837838	1.35135135135135	0.337837837837838	4.39189189189189	0.675675675675676	0.675675675675676	0
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	282	"AWI"	282	-81	281	48	4.96688741721854	0	1.65562913907285	0.662251655629139	1.98675496688742	0	1.32450331125828	3.64238410596026	19.205298013245	1.32450331125828	2.98013245033113	1.65562913907285	6.95364238410596	0.993377483443709	1.98675496688742	0	0.662251655629139	0.662251655629139	4.63576158940397	0	2.31788079470199	0.33112582781457	8.60927152317881	3.3112582781457	17.5496688741722	0.33112582781457	8.94039735099338	0	0	0.33112582781457	1.32450331125828	0	0.662251655629139	0.662251655629139	0	0.33112582781457
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	290	"AWI"	290	-17	466	166	1.01694915254237	0	1.35593220338983	1.01694915254237	0.338983050847458	0.677966101694915	0	1.69491525423729	49.8305084745763	0	0	0	4.06779661016949	0.338983050847458	0.677966101694915	0	0	0	0	0	0	0.338983050847458	0	1.35593220338983	27.1186440677966	1.35593220338983	5.42372881355932	0	0.338983050847458	0.338983050847458	0	0	0.677966101694915	0	1.35593220338983	0.677966101694915
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	298	"AWI"	298	59	643	289	5.63380281690141	0	0	4.57746478873239	0.704225352112676	0.704225352112676	0	1.40845070422535	38.0281690140845	0	1.05633802816901	1.40845070422535	7.04225352112676	1.05633802816901	1.05633802816901	0	0.352112676056338	0	0	0	0	0.704225352112676	4.92957746478873	1.40845070422535	19.0140845070423	1.40845070422535	6.33802816901408	0	0	0	0	0	0.704225352112676	0	2.11267605633803	0.352112676056338
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	306	"AWI"	306	144	786	416	0.32051282051282	0	0.961538461538462	0.961538461538462	1.92307692307692	2.24358974358974	1.6025641025641	0.961538461538462	45.8333333333333	0.961538461538462	3.2051282051282	0.32051282051282	0.641025641025641	0	0.641025641025641	0	0.641025641025641	0	0.32051282051282	0	0	1.28205128205128	2.24358974358974	5.12820512820513	22.7564102564103	0	4.16666666666667	0.32051282051282	0	0	0.32051282051282	0.32051282051282	0.32051282051282	0.641025641025641	0.641025641025641	0.32051282051282
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	314	"AWI"	314	220	914	548	0.617283950617284	0	1.54320987654321	0.617283950617284	0.925925925925926	2.77777777777778	0	4.32098765432099	59.5679012345679	0	0.308641975308642	2.46913580246914	0.308641975308642	0	4.32098765432099	0	0.308641975308642	0.308641975308642	0	0	0	2.16049382716049	1.23456790123457	1.85185185185185	8.64197530864197	0.308641975308642	5.8641975308642	0	0.308641975308642	0.308641975308642	0.617283950617284	0	0	0	0	0.308641975308642
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	322	"AWI"	322	341	1003	672	1.26582278481013	0.316455696202532	0.949367088607595	0.632911392405063	0.949367088607595	0.632911392405063	0.949367088607595	3.79746835443038	62.9746835443038	0	0	1.58227848101266	1.58227848101266	0	2.84810126582278	0	0	0	0	0	0	0	0.949367088607595	2.84810126582278	9.49367088607595	0	6.32911392405063	0	0	0.316455696202532	0.316455696202532	0	0	0.632911392405063	0.316455696202532	0.316455696202532
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	330	"AWI"	330	455	1106	801	0.940438871473354	0	1.56739811912226	0	0.313479623824451	1.56739811912226	0	3.13479623824451	61.128526645768	0	0.313479623824451	2.19435736677116	0.940438871473354	0	3.76175548589342	0	0.313479623824451	0	0	0.313479623824451	2.82131661442006	0	0.313479623824451	2.50783699059561	4.38871473354232	0.313479623824451	10.3448275862069	0	0	0	0.626959247648903	0	0	0.313479623824451	0.940438871473354	0.940438871473354
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	338	"AWI"	338	591	1203	921	0.666666666666667	0	3.33333333333333	1.33333333333333	0.666666666666667	4	0	8	36	0	0	2.66666666666667	0.666666666666667	0	4.66666666666667	0	0	0	0	0	2.33333333333333	0.666666666666667	1.33333333333333	2.33333333333333	10.6666666666667	0.333333333333333	16.3333333333333	0	0	0.333333333333333	0.666666666666667	0	0.666666666666667	0.333333333333333	1.66666666666667	0.333333333333333
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	346	"AWI"	346	731	1296	1045	1.77514792899408	0	0.887573964497041	1.18343195266272	0.887573964497041	1.4792899408284	0	3.84615384615385	43.491124260355	0.29585798816568	0.29585798816568	2.9585798816568	0.887573964497041	0.591715976331361	2.66272189349112	0	0.29585798816568	0	0	0	2.07100591715976	0.591715976331361	0.591715976331361	6.50887573964497	16.2721893491124	0	9.46745562130178	0.29585798816568	0	0.29585798816568	0.29585798816568	0.591715976331361	0	0	0.887573964497041	0.591715976331361
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	354	"AWI"	354	865	1390	1167	0	0	2.64026402640264	1.32013201320132	0.33003300330033	0.66006600660066	1.32013201320132	2.31023102310231	44.5544554455446	0	0	1.98019801980198	0.33003300330033	0	4.29042904290429	0	0.66006600660066	0.33003300330033	0.33003300330033	0	3.63036303630363	0	1.98019801980198	0	18.8118811881188	0	12.2112211221122	0	0	0	0	0	0.99009900990099	0	0.99009900990099	0.33003300330033
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	362	"AWI"	362	1172	1531	1305	1.30293159609121	0	1.95439739413681	0.651465798045603	0.651465798045603	5.53745928338762	0.651465798045603	0.977198697068404	16.2866449511401	0	0	6.18892508143322	3.58306188925081	0	11.7263843648208	0	0.977198697068404	0	0	0	5.86319218241042	0	2.28013029315961	0.651465798045603	9.77198697068404	0	26.3843648208469	0.325732899022801	0.651465798045603	0	0	0.325732899022801	0.651465798045603	0.325732899022801	0.325732899022801	1.95439739413681
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	370	"AWI"	370	1432	1896	1685	1.08695652173913	0	4.07608695652174	0.271739130434783	0	2.17391304347826	0.543478260869565	3.53260869565217	21.4673913043478	0	0	1.90217391304348	0.815217391304348	0	5.70652173913043	0	0.815217391304348	0	0.271739130434783	0	3.26086956521739	0.271739130434783	2.98913043478261	0.271739130434783	9.23913043478261	0	37.5	0.271739130434783	0	0.543478260869565	0.543478260869565	0.271739130434783	0.543478260869565	0.271739130434783	0.543478260869565	0.815217391304348
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	378	"AWI"	378	1941	2321	2139	0.79155672823219	0.263852242744063	8.17941952506596	0.263852242744063	1.05540897097625	2.11081794195251	1.05540897097625	11.0817941952507	0.263852242744063	0	0	5.0131926121372	4.22163588390501	0	12.401055408971	0	2.63852242744063	0.263852242744063	0.79155672823219	0	0	1.58311345646438	3.16622691292876	0	11.0817941952507	0	27.7044854881267	0	0.263852242744063	0	0	0	3.16622691292876	0.527704485488127	1.05540897097625	1.05540897097625
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	386	"AWI"	386	2288	2969	2606	1.07913669064748	0	4.67625899280576	0	0.359712230215827	2.15827338129496	0	44.9640287769784	0	0	0	5.39568345323741	2.51798561151079	0.359712230215827	5.39568345323741	0	0.719424460431655	0	0	0.359712230215827	4.31654676258993	1.07913669064748	2.51798561151079	0.359712230215827	0	0.359712230215827	14.0287769784173	0	0	0.719424460431655	0.719424460431655	0.719424460431655	6.83453237410072	0	0	0.359712230215827
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	394	"AWI"	394	2805	3188	3008	0.628930817610063	0	0.628930817610063	1.88679245283019	0.628930817610063	1.25786163522013	0	23.2704402515723	0	0	0	5.66037735849057	1.88679245283019	0	19.4968553459119	0	0	0	0	0	13.8364779874214	4.40251572327044	3.14465408805031	0	0	0	15.0943396226415	0	0	0	0	0.628930817610063	6.28930817610063	0	0.628930817610063	0.628930817610063
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	402	"AWI"	402	2911	3263	3085	1.12359550561798	0	4.49438202247191	0	0.280898876404494	0	0	3.93258426966292	0	0	0	2.52808988764045	0.280898876404494	0	47.1910112359551	0	0.280898876404494	0	0	0	21.9101123595506	1.40449438202247	0.842696629213483	0	0	0	11.7977528089888	0	0	0	0	0	0.280898876404494	0	1.96629213483146	1.68539325842697
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	410	"AWI"	410	3018	3363	3179	0.900900900900901	0	3.9039039039039	0	0	0.3003003003003	0	6.30630630630631	0	0	0	3.9039039039039	0.3003003003003	0	43.8438438438438	0	0.600600600600601	0	0	0	20.4204204204204	1.2012012012012	0.3003003003003	0	0	0	13.2132132132132	0.600600600600601	0	0	0	0	0.3003003003003	0	1.8018018018018	2.1021021021021
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	418	"AWI"	418	3112	3526	3310	0	0	3.92156862745098	0	0	0.65359477124183	0	14.7058823529412	0	0	0	3.92156862745098	5.22875816993464	0	28.7581699346405	0	0.65359477124183	0	0	0	22.5490196078431	0.326797385620915	0.326797385620915	0.326797385620915	0.65359477124183	0	9.15032679738562	3.59477124183007	0	0	0	0.326797385620915	0	0	0.980392156862745	3.92156862745098
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	426	"AWI"	426	3218	3732	3458	0	0	5.47945205479452	0	0	1.36986301369863	0	8.9041095890411	0	0	0.684931506849315	2.73972602739726	3.42465753424658	0	35.6164383561644	0	0.684931506849315	0	0	0.684931506849315	13.013698630137	2.05479452054794	6.16438356164384	0	5.47945205479452	0	8.21917808219178	0	0	0	0	0	0	0	2.05479452054794	3.42465753424658
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	434	"AWI"	434	3327	3857	3621	0	0	2.71186440677966	0	0	0.338983050847458	0	19.3220338983051	0.338983050847458	0	0	2.3728813559322	1.69491525423729	0	30.5084745762712	0	5.76271186440678	0	0	0	11.5254237288136	2.71186440677966	2.71186440677966	0	0	0	14.5762711864407	0	0	0	0.338983050847458	0.677966101694915	0.338983050847458	0	1.35593220338983	2.71186440677966
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	442	"AWI"	442	3561	3933	3761	0.224719101123596	0.449438202247191	2.47191011235955	0	0	0.224719101123596	0	39.5505617977528	0.224719101123596	0	0	3.14606741573034	0.224719101123596	0	27.4157303370787	0.898876404494382	0	0	0.449438202247191	0	9.43820224719101	0.898876404494382	0.674157303370786	0	0	0	11.685393258427	0	0.224719101123596	0.224719101123596	0	0	0	0	0.898876404494382	0.674157303370786
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	450	"AWI"	450	3690	4080	3888	0	0	3.19488817891374	0.319488817891374	0	0	0	52.0766773162939	0	0	0	2.23642172523962	1.91693290734824	0	21.0862619808307	0	0	0	0	0	7.02875399361022	0.638977635782748	0	0	0	0	7.3482428115016	0	0	0	0	0	0.638977635782748	0	1.91693290734824	1.59744408945687
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	458	"AWI"	458	3765	4279	3993	0	0.325732899022801	2.60586319218241	0.325732899022801	0.325732899022801	1.30293159609121	0	18.5667752442997	0.325732899022801	0	0	4.23452768729642	3.58306188925081	0.325732899022801	21.4983713355049	0	0.977198697068404	0	0	0	11.0749185667752	3.58306188925081	3.25732899022801	0	5.86319218241042	0	15.9609120521173	0	0	0	0	1.30293159609121	0	0	1.30293159609121	3.25732899022801
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	466	"AWI"	466	3823	4467	4100	0	0.761421319796954	1.52284263959391	0	0	0.50761421319797	0	50.253807106599	0	0	0	5.0761421319797	1.01522842639594	0.253807106598985	20.5583756345178	0	0.50761421319797	0	0	0	6.34517766497462	1.52284263959391	1.01522842639594	0	1.77664974619289	0	5.58375634517767	0	0	0	0	0	0	0	1.01522842639594	2.28426395939086
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	474	"AWI"	474	3885	4656	4207	0.623052959501558	0.311526479750779	1.86915887850467	0.311526479750779	0	0.311526479750779	0	42.0560747663551	0	0	0	2.18068535825545	0.311526479750779	0	22.4299065420561	0	0.311526479750779	0	0	0	5.9190031152648	1.55763239875389	0.311526479750779	0	9.96884735202492	0	5.9190031152648	0.623052959501558	0	0	0.311526479750779	0.934579439252336	0.311526479750779	0	2.18068535825545	1.24610591900312
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	482	"AWI"	482	4100	4816	4510	0.806451612903226	0.268817204301075	2.41935483870968	0	0.268817204301075	0.806451612903226	0	4.3010752688172	0	0	0	11.0215053763441	1.0752688172043	0	38.9784946236559	1.0752688172043	0.537634408602151	0	0	0	5.10752688172043	5.91397849462366	1.88172043010753	0	0	0	19.6236559139785	1.88172043010753	0.268817204301075	0	0	0	0	0.268817204301075	1.0752688172043	2.41935483870968
26003	44951	"Kis-Mohos Tó"	48.337174	20.42481	490	"AWI"	490	4275	5015	4704	0	0.235294117647059	4.47058823529412	0	0	1.64705882352941	0	8.23529411764706	0	0.235294117647059	0	12.7058823529412	1.88235294117647	0.235294117647059	12.2352941176471	2.82352941176471	0	0.470588235294118	0	0	5.64705882352941	1.64705882352941	3.52941176470588	0	1.17647058823529	0	33.1764705882353	4.94117647058823	0	0	0	0	0.235294117647059	0.235294117647059	2.35294117647059	1.88235294117647
