"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
24189	42570	"Bruckmisse"	48.730522	8.642734	4	"AWI"	4	341	692	509	0.612244897959184	0	1.63265306122449	0.204081632653061	0	0	0.408163265306122	0	0	2.85714285714286	0	0	0	0	0	0	9.59183673469388	1.42857142857143	44.8979591836735	0	0	10	0	0.408163265306122	0	0.204081632653061	0	0	0	0	0	0	0	0.204081632653061	0	1.22448979591837	2.6530612244898	0	0	0.204081632653061	0	0	8.16326530612245	0	0	0	0.204081632653061	0	0	0	0	0	0	9.59183673469388	5.51020408163265	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	12	"AWI"	12	1100	1484	1314	0.251256281407035	0.251256281407035	1.00502512562814	0.251256281407035	0	0	0.50251256281407	0	0	1.00502512562814	0	0	0	0	0	0	5.0251256281407	0.251256281407035	62.5628140703518	0	0	9.79899497487437	0	0	0	0	0	0.251256281407035	0	0	0	0	0	0.753768844221105	0	0.251256281407035	0	0	0	0	0	0	4.2713567839196	0	0	0	0	0	0	0	0	0	0	9.54773869346734	4.02010050251256	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	16	"AWI"	16	1261	1679	1495	0.171232876712329	0.171232876712329	0.513698630136986	0.171232876712329	0	0	0.171232876712329	0.171232876712329	0	3.76712328767123	0	0	0	0	0	0	7.36301369863014	0.171232876712329	49.6575342465753	0	0	12.6712328767123	0	0.856164383561644	0	0	0	0	0	0	0	0	0	0.684931506849315	0	0.342465753424658	0	0	0	0	0	0	8.9041095890411	0	0	0	0.171232876712329	0	0	0	0	0	0	9.24657534246575	4.79452054794521	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	20	"AWI"	20	1538	1798	1695	23.8532110091743	0	4.22018348623853	0	0	0	0	1.10091743119266	0	1.65137614678899	0	0	0	0	0	0	7.52293577981651	0.36697247706422	16.8807339449541	0	0	24.0366972477064	0	0	0	0	0	0	0	0	0	0	0	4.03669724770642	0.55045871559633	9.1743119266055	0	0	0	0	0	0	5.68807339449541	0	0	0	0	0.18348623853211	0	0	0	0	0	0	0.73394495412844	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	24	"AWI"	24	1723	1905	1806	2.87443267776097	0.151285930408472	4.53857791225416	0	0	0	0	0.151285930408472	0	2.87443267776097	0	0	0.302571860816944	0	0.151285930408472	0	7.26172465960666	0.302571860816944	30.5597579425113	0	0	37.821482602118	0	0.605143721633888	0	0	0	0	0	0	0	0	0	1.36157337367625	0	1.21028744326778	2.11800302571861	0	0	0	0	0	5.74886535552194	0	0	0	0	0	0	0	0	0	0	1.21028744326778	0.75642965204236	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	28	"AWI"	28	1775	2022	1889	17.4418604651163	0	9.88372093023256	0	0	0	0	0	0	10.2713178294574	0	0	0	0	0	0	7.75193798449612	0.193798449612403	5.23255813953488	0	0	20.7364341085271	0	0.387596899224806	0	0	0	0.193798449612403	0	0	0	0	0.775193798449612	1.93798449612403	0.193798449612403	16.2790697674419	0	0	0	0	0	0	6.78294573643411	0	0	0	0	0.193798449612403	0	0	0	0	0	0.775193798449612	0.968992248062015	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	32	"AWI"	32	1841	2131	1960	6.83111954459203	0	5.69259962049336	0	0	0	0	0.569259962049336	0	1.5180265654649	0	0	0	0	0	0	14.4212523719165	0.379506641366224	16.6982922201139	0	0	41.9354838709677	0	0.379506641366224	0	0	0	0	0	0	0	0	0	0.759013282732448	0.189753320683112	3.60531309297913	0	0	0	0	0	0	1.32827324478178	0	0	0	0	0	0	0	0	0	0	3.60531309297913	2.08728652751423	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	40	"AWI"	40	2061	3046	2326	0	0.392927308447937	0.982318271119843	0.196463654223969	0	0	0.392927308447937	0	0	1.17878192534381	0	0	0	0	0	0	12.1807465618861	1.76817288801572	19.8428290766208	0	0	42.2396856581532	0	0	0	0	0	0	0	0	0	0	0	0.589390962671906	0.196463654223969	0	0	0	0	0	0	0	8.25147347740668	0	0	0	0	0	0	0	0	0	0.196463654223969	6.48330058939096	5.10805500982318	0	0
24189	42570	"Bruckmisse"	48.730522	8.642734	42	"AWI"	42	2837	3525	3077	1.12359550561798	0.449438202247191	0.449438202247191	0	0	0	0.674157303370786	0.224719101123596	0	0.224719101123596	0	0	0	0	0	0	2.47191011235955	4.49438202247191	0	0	0	53.4831460674157	0	0.674157303370786	0	0	0	0	0	0	0	0	0	0	0	0.674157303370786	0	0	0	0	0	0	5.1685393258427	0	0	0	0	0.449438202247191	0	0	0	0	0	20.2247191011236	8.98876404494382	0.224719101123596	0
24189	42570	"Bruckmisse"	48.730522	8.642734	44	"AWI"	44	3415	4085	3849	1.30151843817787	0.433839479392625	1.51843817787419	0.216919739696312	0	0	1.7353579175705	0.867678958785249	0	1.08459869848156	0	0	0	0	0	0	8.45986984815618	1.30151843817787	37.527114967462	0	0	14.0997830802603	0	1.08459869848156	0	0	0	0.216919739696312	0	0.216919739696312	0.216919739696312	0.216919739696312	0	1.30151843817787	0	1.7353579175705	3.68763557483731	0	0	0	0	0	4.33839479392625	0	0	0	0	0	0	0	0	0	0	13.2321041214751	5.2060737527115	0	0
