"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sequoia"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"	"Violaceae"	"Vitaceae"
16102	24865	"Marais de Lisle"	47.42972	-1.49444	30	"AWI"	30	4	370	166	27	0	20	2	0	1	0	0	0	3	0	0	0	1	0	0	2	2	0	0	0	0	5	1	30	0	0	4	0	2	0	0	0	0	0	1	2	23	8	0	0	2	0	0	0	0	0	2	3	88	0	0	0	4	0	32	0	4	0	0	4	6	23	0	0	0	0	1	0	0	3	0	1	0	0	0
16102	24865	"Marais de Lisle"	47.42972	-1.49444	35	"AWI"	35	40	397	205	8	1	4	2	0	0	1	0	0	3	1	0	0	2	0	0	3	2	0	0	0	0	3	0	65	0	1	2	28	3	1	0	0	0	0	0	1	0	7	0	1	3	0	0	1	2	0	2	6	84	0	6	0	3	0	14	0	0	1	6	4	0	22	1	0	0	0	2	0	0	1	0	2	0	0	1
16102	24865	"Marais de Lisle"	47.42972	-1.49444	40	"AWI"	40	65	444	245	8	0	16	3	36	2	2	0	0	4	0	1	0	0	0	0	1	3	0	0	0	0	4	0	11	6	0	0	0	2	0	0	0	0	0	0	3	0	5	0	0	3	1	0	0	0	0	2	5	0	0	0	0	5	0	30	0	7	2	12	2	0	15	0	0	0	0	1	0	0	1	0	2	1	0	1
16102	24865	"Marais de Lisle"	47.42972	-1.49444	45	"AWI"	45	105	474	286	4	0	8	2	10	1	3	0	0	3	1	2	0	0	0	0	2	1	1	0	0	0	3	0	39	6	0	7	0	4	0	0	0	0	0	1	4	0	6	0	2	2	2	1	0	1	0	2	3	94	0	0	0	4	2	23	0	5	1	6	1	6	8	1	0	4	0	0	0	0	1	0	2	0	0	1
16102	24865	"Marais de Lisle"	47.42972	-1.49444	50	"AWI"	50	133	520	327	3	0	7	2	7	2	3	0	0	1	3	2	0	2	0	0	2	1	1	1	0	0	3	0	26	9	1	0	0	6	0	0	0	1	1	2	5	5	6	0	1	2	3	0	0	2	0	1	8	85	0	0	0	4	2	20	0	6	1	9	2	4	3	2	0	0	0	2	2	0	2	0	2	0	0	3
16102	24865	"Marais de Lisle"	47.42972	-1.49444	55	"AWI"	55	179	545	368	2	1	7	3	12	2	2	1	0	0	0	2	0	1	2	0	2	2	0	0	3	0	4	1	31	10	0	5	0	8	0	0	0	0	2	1	6	0	2	0	1	2	2	1	0	2	0	1	4	0	0	11	0	4	2	20	1	12	4	8	3	7	5	1	0	0	0	4	1	0	0	0	2	1	0	1
16102	24865	"Marais de Lisle"	47.42972	-1.49444	60	"AWI"	60	208	585	409	2	0	17	2	17	2	3	1	0	3	1	2	0	1	4	0	1	1	0	0	0	0	7	0	37	12	0	0	0	11	0	0	0	0	1	0	4	0	2	0	0	3	0	0	0	2	0	2	3	0	0	0	0	4	3	28	0	5	9	0	0	0	45	0	0	0	0	3	0	0	0	0	2	0	0	2
16102	24865	"Marais de Lisle"	47.42972	-1.49444	65	"AWI"	65	268	608	451	3	1	9	2	22	2	2	0	0	5	1	3	0	0	2	0	0	2	0	0	0	1	3	0	42	14	0	0	0	6	0	0	0	0	2	0	3	0	2	0	0	3	2	0	0	1	0	1	4	76	0	0	0	5	2	25	0	5	10	0	0	5	60	0	0	0	0	1	0	0	0	0	2	0	0	0
16102	24865	"Marais de Lisle"	47.42972	-1.49444	70	"AWI"	70	303	644	494	2	0	39	2	5	0	2	0	0	1	0	1	0	0	6	0	0	1	0	0	0	0	4	0	85	7	0	0	0	5	0	0	0	0	0	0	4	0	3	0	0	2	0	0	0	1	0	2	4	0	0	0	0	3	1	28	1	0	2	0	0	6	48	0	0	0	0	0	2	0	0	0	2	0	0	2
16102	24865	"Marais de Lisle"	47.42972	-1.49444	75	"AWI"	75	362	662	537	2	0	71	2	6	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	13	0	20	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	20	0	0	2	0	0	0	47	0	0	0	0	3	0	0	0	0	4	0	0	0
