"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26065	46521	"William King Flour Mill"	51.55222	-0.48389	0	"AWI"	0	5745	6212	6029	11	0	0	0	0	1	0	0	10	29	2	0	0	1	0	0	5	0	39	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	9	"AWI"	9	6204	7173	6601	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	16	"AWI"	16	6723	7519	7198	2	0	3	0	0	12	0	0	60	179	0	0	0	0	0	0	59	0	0	0	0	9	0	0	1	0	2	0	0	0	1	5	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	24	"AWI"	24	7632	8224	7981	0	0	0	0	0	6	0	0	20	282	0	0	0	0	1	0	70	0	0	0	0	7	0	0	0	0	3	0	0	1	0	1	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	32	"AWI"	32	8310	8839	8565	0	0	0	0	0	22	0	0	73	99	0	0	0	0	0	0	127	0	0	0	0	3	2	0	0	0	0	0	0	0	0	16	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	40	"AWI"	40	8503	9396	8888	0	0	0	0	0	8	0	0	98	27	0	1	0	0	0	2	166	0	0	0	0	0	0	0	0	1	8	0	0	0	0	23	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	48	"AWI"	48	8744	9745	9197	0	0	0	1	0	26	1	0	179	18	0	1	0	0	0	0	139	0	0	0	0	2	0	0	0	0	10	0	0	0	0	6	0	1
26065	46521	"William King Flour Mill"	51.55222	-0.48389	56	"AWI"	56	9011	10030	9519	0	0	0	0	0	33	0	1	3	10	0	0	0	0	0	0	257	0	0	0	1	0	0	0	0	0	31	0	0	2	0	1	0	2
26065	46521	"William King Flour Mill"	51.55222	-0.48389	64	"AWI"	64	9309	10279	9829	0	0	4	0	0	31	0	0	0	27	0	0	0	0	0	0	256	0	0	0	1	1	0	0	0	0	29	0	1	0	0	0	0	2
26065	46521	"William King Flour Mill"	51.55222	-0.48389	72	"AWI"	72	9712	10498	10133	1	0	0	0	0	32	0	0	0	28	0	1	0	0	0	0	237	0	34	0	0	1	0	0	0	0	53	0	0	0	0	0	1	2
26065	46521	"William King Flour Mill"	51.55222	-0.48389	80	"AWI"	80	10089	10692	10429	0	1	4	2	0	38	0	0	1	48	0	5	0	0	1	2	183	0	66	0	2	0	0	0	0	0	31	7	0	0	0	0	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	83	"AWI"	83	10338	10768	10541	0	0	3	0	0	11	0	0	0	14	0	0	0	0	0	0	118	0	0	0	2	0	0	0	0	0	10	0	0	1	0	0	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	96	"AWI"	96	10836	11574	11188	0	0	1	2	0	7	0	0	0	28	0	0	0	0	0	0	37	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0
26065	46521	"William King Flour Mill"	51.55222	-0.48389	104	"AWI"	104	11348	11885	11611	0	0	0	0	0	12	0	0	2	25	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
