"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16320	25320	"Le Grand Montarnu"	47.01194	4.05	0	"AWI"	0	-135	20	-54	4	1	64	2	0	1	0	0	0	100	0	1	0	1	0	0	8	0	20	37	0	0	33	0	10	0	0	0	0	1	0	0	0	0	0	6	0	27	12	0	144	0	2	0	0	75	1	0	0	2	4	0	0	1	1	0	0	1	0	0	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	4	"AWI"	4	-38	384	133	4	0	30	0	0	0	0	2	0	58	0	1	0	0	0	0	2	0	31	12	0	0	63	0	3	0	0	0	0	2	0	0	0	0	0	4	0	43	34	0	0	0	0	0	0	32	2	0	15	4	4	0	0	2	0	0	0	0	1	1	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	8	"AWI"	8	113	569	335	0	0	26	1	0	1	0	0	0	29	0	1	0	9	0	0	25	0	13	48	0	0	59	3	0	0	0	0	0	1	0	0	0	0	0	6	0	0	6	0	0	0	1	0	0	56	0	0	23	8	1	0	0	2	0	1	0	0	1	1	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	11	"AWI"	11	280	659	490	0	0	89	1	0	1	0	4	0	113	1	4	0	0	0	0	5	0	53	33	0	0	198	0	0	0	0	0	0	2	1	0	0	0	1	8	0	0	5	0	0	0	0	0	0	45	2	0	0	7	2	0	0	1	0	0	0	0	0	1	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	12	"AWI"	12	389	678	543	0	0	111	1	0	1	0	3	0	469	0	2	0	6	0	0	2	0	48	30	0	0	274	0	2	0	0	0	0	3	1	0	0	0	0	9	0	0	3	0	0	0	2	0	0	59	2	0	2	19	3	0	0	1	2	0	0	0	1	1	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	13	"AWI"	13	487	703	596	0	0	242	0	0	0	0	0	0	642	0	0	0	1	0	0	2	0	233	23	0	0	283	1	1	0	0	0	0	1	0	0	0	0	0	11	0	0	8	0	0	0	0	0	1	76	2	0	2	7	3	0	0	0	1	0	0	0	2	1	0	2
16320	25320	"Le Grand Montarnu"	47.01194	4.05	16	"AWI"	16	763	923	848	0	0	636	1	0	2	0	1	0	570	0	1	0	4	0	0	0	0	36	21	0	0	214	2	3	0	0	0	0	1	0	0	0	0	0	12	0	0	5	0	0	0	0	0	0	56	1	0	0	14	13	0	0	1	0	0	1	0	0	0	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	20	"AWI"	20	1289	1511	1433	2	1	1014	0	0	0	1	0	0	30	0	0	0	0	0	0	1	0	30	9	0	0	188	0	5	0	0	0	0	0	0	0	0	0	0	12	0	0	6	0	0	0	1	0	0	56	2	0	0	1	2	0	0	1	0	0	0	0	4	1	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	21	"AWI"	21	1402	1589	1522	0	0	760	1	9	0	0	1	0	30	0	1	0	0	0	1	0	0	101	1	0	0	338	0	5	0	0	0	0	0	0	0	0	0	0	13	0	0	6	0	0	0	0	0	0	117	2	0	0	0	3	0	1	0	0	0	0	1	8	0	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	23	"AWI"	23	1594	1797	1702	1	0	244	3	0	1	1	1	0	24	0	0	0	0	0	1	0	0	53	7	0	0	211	1	3	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	1	0	2	72	4	0	1	7	4	0	0	0	1	0	0	0	1	1	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	24	"AWI"	24	1655	1921	1797	0	0	241	1	0	5	0	0	0	139	0	0	0	0	0	0	0	0	61	26	0	0	248	0	2	0	0	0	0	0	3	0	0	0	3	0	0	0	1	0	0	0	2	0	0	75	2	0	2	0	6	0	0	2	0	0	1	1	3	2	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	28	"AWI"	28	1932	2537	2258	1	0	642	0	0	2	0	0	0	162	0	1	0	0	0	0	0	0	45	34	0	0	278	0	8	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	55	3	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	29	"AWI"	29	1965	2743	2374	0	0	300	2	0	1	0	0	0	48	0	0	0	0	0	0	0	0	74	7	0	0	216	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	30	1	0	0	1	1	0	0	0	0	1	0	1	2	0	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	31	"AWI"	31	2193	2977	2588	0	0	288	1	0	0	0	2	0	45	0	0	0	0	0	0	0	0	48	6	0	0	192	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	45	1	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	32	"AWI"	32	2378	2999	2685	0	0	384	1	0	2	0	0	0	86	0	0	0	0	0	0	0	0	52	25	0	0	189	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	27	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	33	"AWI"	33	2545	3028	2780	0	0	333	0	0	1	0	0	0	28	0	0	0	0	0	0	0	0	88	8	0	0	232	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	41	4	0	0	1	1	0	1	1	0	0	0	1	3	1	0	0
16320	25320	"Le Grand Montarnu"	47.01194	4.05	35	"AWI"	35	2784	3135	2981	1	0	270	1	0	1	0	0	0	60	0	0	0	0	0	0	0	0	105	9	0	0	262	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	1	0	0	48	1	0	0	0	1	1	0	0	1	0	0	4	2	0	0	0
