"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Juniperus"	"Onagraceae"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Ulmus"
3238	4205	"Lillsjön"	57.08333	12.53333	835	"AWI"	835	10660	11853	11287	0	5	2	11	2	214	0	0	1	11	0	30	46	0	81	50	0	0	1	28	30	0	1	0
3238	4205	"Lillsjön"	57.08333	12.53333	840	"AWI"	840	11110	12075	11600	0	9	3	58	0	367	0	2	2	41	0	10	18	0	60	83	0	0	2	11	60	0	1	0
3238	4205	"Lillsjön"	57.08333	12.53333	845	"AWI"	845	11447	12402	11949	0	5	0	52	0	224	0	1	2	43	0	4	10	1	74	71	0	0	1	12	36	0	3	0
3238	4205	"Lillsjön"	57.08333	12.53333	850	"AWI"	850	11803	12690	12293	4	20	3	75	5	395	0	0	2	62	0	6	14	1	88	107	0	0	0	28	40	0	2	1
3238	4205	"Lillsjön"	57.08333	12.53333	855	"AWI"	855	12220	12943	12632	0	9	2	68	0	364	1	3	0	35	0	6	15	0	67	122	0	0	0	72	46	0	3	0
3238	4205	"Lillsjön"	57.08333	12.53333	858	"AWI"	858	12595	13058	12827	0	6	2	36	0	371	0	0	2	32	0	20	17	1	129	84	0	0	0	39	31	0	0	0
3238	4205	"Lillsjön"	57.08333	12.53333	861	"AWI"	861	12826	13284	13049	1	5	1	30	0	220	0	1	0	48	0	27	30	1	163	92	0	0	2	14	54	0	3	0
3238	4205	"Lillsjön"	57.08333	12.53333	865	"AWI"	865	13037	13636	13346	1	8	2	21	0	336	0	0	0	69	0	20	19	1	166	60	0	0	0	13	55	0	2	0
3238	4205	"Lillsjön"	57.08333	12.53333	868	"AWI"	868	13290	13782	13554	0	9	0	16	3	266	0	2	0	82	0	11	34	0	201	64	0	0	0	22	57	0	1	0
3238	4205	"Lillsjön"	57.08333	12.53333	871	"AWI"	871	13434	13961	13699	2	15	1	31	0	236	0	0	0	47	0	1	34	0	144	70	0	0	0	27	35	0	2	0
3238	4205	"Lillsjön"	57.08333	12.53333	875	"AWI"	875	13606	14205	13865	0	5	0	23	0	269	0	2	0	44	0	0	24	0	136	55	0	0	0	37	40	0	9	0
3238	4205	"Lillsjön"	57.08333	12.53333	878	"AWI"	878	13760	14383	13998	2	5	1	17	0	391	0	0	0	46	0	0	22	0	100	44	0	0	1	15	43	0	3	0
3238	4205	"Lillsjön"	57.08333	12.53333	881	"AWI"	881	13869	14691	14168	0	17	1	46	0	162	0	0	0	41	1	0	34	0	112	71	0	0	3	28	66	0	4	0
3238	4205	"Lillsjön"	57.08333	12.53333	884	"AWI"	884	13987	14967	14347	0	4	1	31	0	167	0	0	0	29	4	0	22	0	52	100	0	0	2	44	93	2	10	0
3238	4205	"Lillsjön"	57.08333	12.53333	888	"AWI"	888	14151	15322	14598	0	3	1	30	0	141	0	0	0	10	1	0	6	0	41	41	0	0	2	38	44	0	2	0
3238	4205	"Lillsjön"	57.08333	12.53333	892	"AWI"	892	14321	15655	14847	0	3	0	38	0	92	0	0	3	11	0	0	11	0	12	42	0	0	1	48	50	0	1	0
