"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Juniperus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
22660	39364	"Logylet"	56.29419	14.98368	965	"AWI"	965	11770	12606	12209	3	5	4	21	0	1990	0	0	0	3	173	4	0	0	0	1	187	0	0	0	4	500	0	0	0	84	2	0	0	2	14	154	0	3	0	1	10
22660	39364	"Logylet"	56.29419	14.98368	968	"AWI"	968	11870	12689	12295	1	3	3	13	0	514	0	0	0	0	102	1	0	0	0	0	155	0	0	0	2	424	0	0	0	12	0	0	0	4	14	68	0	4	0	0	21
22660	39364	"Logylet"	56.29419	14.98368	970	"AWI"	970	11933	12745	12351	3	16	4	42	0	825	0	0	1	2	214	1	0	0	0	0	375	0	0	0	0	394	0	0	0	1	2	0	0	4	20	99	0	4	0	0	13
22660	39364	"Logylet"	56.29419	14.98368	972	"AWI"	972	11993	12794	12408	1	13	0	34	0	335	0	0	0	1	159	0	0	0	0	0	49	0	0	1	0	226	0	0	0	1	1	1	0	2	11	38	0	3	0	0	4
22660	39364	"Logylet"	56.29419	14.98368	975	"AWI"	975	12094	12875	12494	3	19	1	74	0	435	0	0	1	1	100	0	0	0	0	0	66	0	0	0	0	128	0	0	0	0	1	0	0	5	5	60	0	3	0	0	4
22660	39364	"Logylet"	56.29419	14.98368	977	"AWI"	977	12153	12926	12552	3	26	2	71	0	470	0	0	2	2	143	0	0	0	0	0	64	0	0	0	3	199	0	0	0	1	1	0	0	3	13	54	0	0	0	0	3
22660	39364	"Logylet"	56.29419	14.98368	979	"AWI"	979	12225	12981	12611	6	54	2	110	0	593	0	0	0	3	150	0	0	0	0	0	101	0	0	0	4	161	0	0	0	0	3	0	0	6	10	122	1	5	0	0	2
22660	39364	"Logylet"	56.29419	14.98368	982	"AWI"	982	12326	13063	12698	5	34	0	100	0	385	0	0	0	0	130	0	0	0	0	0	44	0	0	0	1	209	0	0	0	0	1	1	0	6	11	60	0	0	0	0	1
22660	39364	"Logylet"	56.29419	14.98368	985	"AWI"	985	12428	13138	12783	7	22	1	83	0	398	0	0	2	5	113	0	0	0	0	0	91	0	0	0	1	134	0	0	0	0	0	1	0	4	10	63	0	4	0	0	4
22660	39364	"Logylet"	56.29419	14.98368	988	"AWI"	988	12525	13217	12870	8	27	0	88	0	403	0	0	0	1	99	0	0	0	0	0	83	0	0	0	2	152	0	0	1	0	0	1	0	2	11	84	1	4	0	0	0
