"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"
3114	4056	"Le Fourneau"	48.44444	-0.19167	60	"AWI"	60	2213	3897	3017	0	0	96	0	1	2	1	0	63	0	0	0	0	0	0	0	0	0	0	0	26	0	3	0	0	0	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	61	1	0	0	1	0	0	0	14	0	0	0	1	0	6	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	65	"AWI"	65	2435	4175	3337	0	0	75	0	1	3	0	0	87	2	0	0	0	0	0	0	0	0	0	0	17	0	4	0	0	0	0	0	15	0	0	0	5	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	7	0	0	0	0	0	8	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	67.5	"AWI"	67.5	2824.5	4277.5	3644.5	0	1	121	2	2	3	2	0	49	0	0	0	1	0	0	1	0	0	0	0	51	0	4	0	0	3	0	0	7	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	89	2	0	0	0	0	0	0	7	2	0	0	0	0	14	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	70	"AWI"	70	3077	4449	3976	0	0	96	1	2	2	2	0	46	1	0	0	0	0	0	0	0	0	0	0	26	0	6	0	0	5	0	0	11	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	1	0	0	1	0	0	0	7	0	0	0	2	0	27	0	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	72.5	"AWI"	72.5	4153.5	4707	4434.5	0	0	144	1	2	2	0	0	7	1	0	0	0	0	0	0	0	0	0	0	34	0	2	0	0	0	0	0	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	4	0	0	0	0	0	20	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	75	"AWI"	75	4413	5723	4897	0	0	124	0	2	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	4	0	0	0	0	0	10	3	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	77	"AWI"	77	4711	5831	5178	0	0	161	1	1	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	27	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	1	0	0	0	0	0	0	3	0	0	0	0	0	16	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	79	"AWI"	79	4866	5993	5482	0	0	195	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	91	2	0	0	0	0	0	0	2	0	0	0	0	0	14	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	81	"AWI"	81	5247	6181	5760	0	0	188	1	0	2	1	0	4	0	0	0	0	5	0	0	0	0	0	0	40	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	1	0	0	0	0	0	0	0	3	0	0	0	0	22	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	83	"AWI"	83	5812	6252	6047	0	0	155	2	2	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	1	1	0	0	0	0	22	3	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	85	"AWI"	85	6083	6586	6339	0	0	230	0	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	27	0	17	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	2	0	0	0	0	0	0	1	2	0	0	0	0	18	3	0	0	0
