"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	45	"AWI"	45	369	703	529	0	10	0	4	0	4	0	4	0	0	0	0	0	0	1	0	0	23	0	37	16	0	0	74	0	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	44	12	2	0	1	7	0	0	0	0	0	2	0	1
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	50	"AWI"	50	415	854	603	0	13	0	9	0	4	0	7	0	0	0	0	0	0	3	0	0	22	0	49	30	0	0	63	0	0	0	0	2	0	0	1	0	1	0	0	6	0	7	0	0	0	0	43	7	1	0	0	6	0	0	0	0	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	55	"AWI"	55	477	968	687	0	13	0	8	0	2	5	6	0	0	0	1	0	0	5	0	0	26	0	38	18	0	0	65	0	0	0	1	1	0	0	0	0	0	0	0	2	1	5	0	0	0	0	49	0	0	0	1	2	1	4	0	0	1	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	60	"AWI"	60	542	1080	767	0	20	0	4	0	6	0	6	0	0	0	0	0	0	2	0	0	28	0	52	15	0	0	86	0	0	0	0	1	0	4	1	0	0	1	0	3	0	2	0	0	0	0	53	10	1	0	0	4	0	0	0	0	1	4	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	65	"AWI"	65	608	1185	848	0	14	1	3	0	4	0	9	0	0	0	0	0	0	1	0	0	31	0	27	17	0	0	85	0	1	0	0	1	0	2	1	0	0	0	0	3	0	6	0	0	0	0	48	12	0	0	0	1	0	2	0	0	1	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	70	"AWI"	70	676	1298	930	0	12	0	5	0	2	0	2	0	0	0	0	0	0	1	0	0	31	0	47	17	0	0	64	0	1	0	0	1	2	2	0	0	0	0	0	4	0	0	0	0	0	0	56	13	0	0	1	1	1	0	1	0	1	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	75	"AWI"	75	744	1397	1010	1	13	0	7	0	3	0	6	0	0	0	1	0	0	1	0	0	38	0	33	19	0	0	66	0	1	0	0	1	0	0	0	0	0	0	0	5	0	3	0	0	0	0	53	12	0	0	0	1	0	1	0	0	0	3	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	80	"AWI"	80	832	1492	1093	0	15	0	14	0	2	0	5	0	0	0	0	0	0	1	0	0	30	0	35	10	0	0	62	1	0	0	0	1	0	2	0	0	0	0	0	10	0	0	0	0	0	0	39	0	0	0	0	1	0	0	0	0	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	85	"AWI"	85	925	1580	1171	1	7	0	12	0	2	0	6	0	0	0	0	0	0	1	0	0	23	0	23	10	0	1	53	0	1	0	0	1	0	2	0	0	0	0	0	6	0	5	0	0	0	0	57	0	1	0	0	1	0	0	0	0	0	3	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	90	"AWI"	90	1037	1681	1247	0	15	0	8	0	3	0	7	0	0	0	0	0	0	2	0	0	32	0	37	16	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	64	6	1	0	0	2	0	0	0	0	1	2	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	95	"AWI"	95	1160	1810	1335	0	12	0	4	1	2	0	9	0	0	0	0	0	0	2	0	1	37	0	41	16	0	0	61	1	0	0	0	0	0	0	0	0	0	0	0	9	0	4	0	0	0	0	52	0	0	0	0	3	0	0	0	0	1	3	0	1
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	100	"AWI"	100	1254	2048	1509	0	10	0	7	0	1	0	5	0	0	0	1	0	0	1	0	0	39	0	28	16	0	1	57	0	0	0	0	1	0	1	0	0	0	0	1	13	0	0	0	0	0	0	60	0	0	0	0	1	0	0	0	0	0	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	105	"AWI"	105	1375	2437	1750	0	5	0	8	0	1	3	11	0	0	0	0	0	0	0	0	0	40	0	53	24	0	0	70	2	0	0	0	0	0	2	1	0	0	0	0	10	0	6	0	0	0	1	47	0	0	0	0	2	1	0	0	0	1	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	110	"AWI"	110	1518	2780	1997	0	11	0	3	1	2	0	9	0	0	0	0	0	0	0	0	0	47	0	33	31	0	0	56	1	0	0	0	0	0	2	0	0	0	0	0	24	0	0	0	0	0	0	78	12	0	0	0	1	0	1	1	0	1	2	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	115	"AWI"	115	1669	3087	2250	0	15	0	4	0	4	0	13	0	0	0	0	0	0	0	0	0	39	0	42	21	0	0	52	1	0	0	0	0	0	4	0	0	0	0	0	14	0	0	0	0	0	0	78	8	0	0	0	2	1	0	0	0	0	2	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	120	"AWI"	120	1826	3376	2499	0	4	0	3	1	2	0	14	0	0	0	0	0	0	0	0	0	42	0	61	11	0	0	50	0	0	0	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	1	3	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	125	"AWI"	125	1999	3647	2753	0	7	0	1	0	2	0	8	0	0	0	0	0	0	0	0	0	27	0	23	21	0	0	39	3	0	0	1	0	0	2	0	0	0	0	1	25	0	0	0	0	0	1	78	9	1	0	0	0	1	0	0	0	0	3	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	130	"AWI"	130	2219	3909	3012	0	6	0	2	1	6	0	7	0	1	0	0	0	0	0	0	0	43	0	57	32	0	0	49	3	0	0	0	0	0	1	1	0	0	0	1	22	1	0	0	0	0	0	87	15	1	0	0	2	1	1	2	0	0	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	134	"AWI"	134	2388	4104	3208	0	8	0	1	0	1	0	14	1	0	0	0	0	0	0	0	0	35	0	37	23	0	1	63	1	2	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	93	0	0	0	0	0	1	0	0	0	1	3	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	138	"AWI"	138	2542	4280	3406	0	9	0	1	0	1	0	12	0	0	0	0	0	0	0	0	0	73	0	33	23	0	0	37	6	2	0	1	0	0	2	1	0	0	0	0	21	0	0	0	0	0	0	91	0	1	0	0	2	0	0	0	0	0	4	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	143	"AWI"	143	2758	4474	3648	0	8	0	1	1	2	0	13	0	0	0	0	0	0	0	0	0	67	0	23	26	0	0	39	4	0	0	0	0	0	2	1	0	0	0	0	29	1	0	0	0	0	0	104	8	0	0	0	1	0	0	3	0	1	2	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	148	"AWI"	148	3024	4673	3904	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	75	0	23	17	0	0	28	5	0	0	0	0	0	3	0	0	0	0	0	34	0	0	0	0	0	2	94	0	1	0	0	1	0	0	2	0	1	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	153	"AWI"	153	3303	4880	4159	0	3	0	1	0	0	0	17	0	0	0	0	0	0	0	0	0	58	0	18	24	0	0	10	2	3	0	0	0	0	5	0	0	0	0	0	20	0	0	0	0	0	0	83	9	0	0	1	0	2	0	0	0	1	3	0	1
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	158	"AWI"	158	3566	5075	4421	0	7	0	1	0	3	0	10	0	0	0	0	0	0	0	0	0	94	0	26	22	0	0	6	3	0	0	0	0	0	2	0	0	0	0	0	40	0	0	0	0	0	1	107	0	0	0	1	1	0	0	4	0	0	5	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	163	"AWI"	163	3826	5245	4666	0	14	1	3	0	3	0	12	0	0	0	0	0	0	0	0	0	102	0	35	25	0	1	9	4	2	0	0	0	0	3	0	2	0	0	0	26	1	0	0	0	0	0	133	0	0	0	0	2	0	1	2	0	0	6	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	168	"AWI"	168	4168	5366	4905	1	5	0	0	1	3	0	30	0	0	0	1	0	0	0	1	0	107	0	26	13	0	0	4	1	2	0	0	0	0	6	0	0	0	0	0	40	1	0	0	0	0	0	140	0	1	0	0	0	0	0	1	0	0	4	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	173	"AWI"	173	4660	5511	5151	0	1	0	1	0	2	0	42	0	0	0	0	0	0	0	0	0	66	0	14	0	0	0	0	0	2	0	1	0	0	13	0	0	0	0	0	41	0	0	0	0	0	0	84	5	0	0	0	0	1	0	0	0	0	4	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	178	"AWI"	178	5791	6759	6439	0	4	0	0	0	0	0	78	0	1	0	1	0	0	0	0	0	79	0	22	27	0	2	10	3	0	0	1	0	0	3	0	0	0	0	0	35	0	0	0	0	0	0	104	0	0	0	0	0	2	0	1	0	2	4	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	179	"AWI"	179	6055	7256	6904	0	8	0	0	0	2	0	49	0	0	0	0	0	0	0	0	0	78	1	13	8	0	0	1	0	1	0	0	0	1	8	0	0	0	0	0	47	0	0	0	0	0	1	87	16	0	0	0	0	2	0	1	0	0	3	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	180	"AWI"	180	6339	7765	7380	0	1	1	0	0	1	0	116	0	0	0	1	0	0	0	0	0	20	0	9	4	0	1	0	1	0	0	0	0	0	12	0	0	0	0	0	33	0	0	0	0	0	0	72	8	0	0	0	1	1	0	0	0	0	2	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	181	"AWI"	181	6579	8290	7849	0	0	0	4	0	1	0	154	0	0	0	0	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	30	0	0	0	0	0	0	48	7	0	0	0	1	22	1	0	0	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	182	"AWI"	182	6873	8693	8220	0	0	0	6	0	3	0	201	0	0	0	0	0	1	0	0	0	1	1	12	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	54	0	0	0	0	0	1	92	0	2	0	0	1	25	0	0	0	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	183	"AWI"	183	7266	8740	8318	0	0	0	2	0	2	0	158	0	0	0	1	2	0	0	0	0	4	0	3	6	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	42	0	0	0	0	0	2	87	3	2	0	0	1	25	1	0	0	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	184	"AWI"	184	7621	8796	8415	0	0	0	5	0	4	0	138	0	1	0	0	0	1	0	0	0	1	0	8	5	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	55	0	0	0	0	0	0	55	3	0	0	1	0	22	0	0	0	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	185	"AWI"	185	7908	8884	8524	0	0	0	5	0	3	0	186	1	0	0	0	0	0	0	0	0	1	1	10	4	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	65	0	0	0	0	0	2	69	10	1	0	0	0	34	2	0	2	0	1	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	186	"AWI"	186	8081	9038	8641	0	0	1	2	0	4	0	172	0	1	0	0	0	0	0	0	2	1	0	5	4	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	50	0	0	0	0	0	0	45	12	2	0	1	0	28	0	0	0	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	187	"AWI"	187	8156	9328	8748	0	0	0	3	0	2	0	131	0	0	0	0	0	0	0	0	1	2	0	14	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	59	0	0	0	0	0	1	46	5	0	0	1	3	18	0	0	2	0	0	0	0
3473	4492	"Puerto de Los Tornos"	43.15	-3.43333	188	"AWI"	188	8230	9678	8845	0	0	0	12	0	5	0	256	0	0	0	0	0	0	0	0	0	1	0	8	4	0	1	0	0	0	0	0	0	0	18	0	0	0	0	0	66	0	0	0	0	0	0	90	0	2	0	0	1	36	2	0	0	0	0	0	0
