"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3078	4012	"Dallican Water"	60.38736	-1.09648	390	"AWI"	390	-124	43	-39	7	0	0	0	0	0	33	0	0	0	1	11	0	38	398	0	0	0	1	0	0	0	0	0	0	0	9	0	76	0	0	2	0	0	3	4	1	0	0	0	0	0	1	6	0
3078	4012	"Dallican Water"	60.38736	-1.09648	394	"AWI"	394	-61	344	73	9	0	0	0	2	0	21	1	0	0	0	6	0	25	411	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	4	1	0	0	0	0	0	0	1	0
3078	4012	"Dallican Water"	60.38736	-1.09648	398	"AWI"	398	4	536	204	9	1	0	0	0	0	17	2	0	0	0	5	0	13	408	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	3	3	0	0	0	0	0	0	0	0
3078	4012	"Dallican Water"	60.38736	-1.09648	402	"AWI"	402	79	719	339	7	0	0	0	0	0	23	0	0	0	0	6	0	41	347	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	2	0	0	0	4	2	0	0	0	0	0	0	1	0
3078	4012	"Dallican Water"	60.38736	-1.09648	406	"AWI"	406	164	880	475	12	0	0	0	1	0	23	2	0	0	0	9	0	38	372	0	0	0	0	0	0	0	1	0	0	0	4	0	48	0	0	7	0	0	0	2	3	0	0	0	0	0	0	0	0
3078	4012	"Dallican Water"	60.38736	-1.09648	410	"AWI"	410	252	1016	615	5	0	0	0	1	0	21	1	0	0	2	4	0	28	375	0	0	0	0	0	0	0	0	0	0	0	9	0	43	0	0	4	0	0	0	5	2	0	0	0	0	0	1	1	0
3078	4012	"Dallican Water"	60.38736	-1.09648	414	"AWI"	414	372	1127	751	11	0	1	0	1	0	28	1	0	0	1	4	0	49	324	0	0	0	1	0	3	0	2	0	1	0	7	0	75	0	0	4	0	0	0	1	7	0	0	0	0	0	0	1	0
3078	4012	"Dallican Water"	60.38736	-1.09648	418	"AWI"	418	500	1238	889	3	1	0	0	0	0	19	0	0	0	0	6	0	53	340	0	0	0	0	0	0	0	2	0	0	0	4	6	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	0
3078	4012	"Dallican Water"	60.38736	-1.09648	422	"AWI"	422	631	1345	1021	12	0	0	0	0	0	16	2	0	0	0	5	0	23	361	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	5	1	0	0	2	1	0	0	0	0	0	0	0	0
3078	4012	"Dallican Water"	60.38736	-1.09648	426	"AWI"	426	785	1442	1150	8	0	0	0	1	0	23	1	0	0	0	6	0	42	313	0	0	1	0	0	1	0	0	0	1	0	5	0	54	0	0	2	0	0	0	1	4	0	0	0	0	0	0	0	0
3078	4012	"Dallican Water"	60.38736	-1.09648	430	"AWI"	430	935	1540	1279	2	0	2	0	1	0	42	0	0	0	0	4	0	34	310	0	0	1	2	0	1	0	0	0	0	0	4	0	0	0	0	8	1	0	0	1	4	0	0	0	0	0	0	1	0
3078	4012	"Dallican Water"	60.38736	-1.09648	434	"AWI"	434	1229	1628	1396	7	0	0	0	0	0	43	2	0	0	0	3	0	51	292	0	0	0	3	0	0	0	0	0	0	1	6	0	79	0	0	10	0	0	0	4	9	0	0	1	0	0	0	0	0
3078	4012	"Dallican Water"	60.38736	-1.09648	438	"AWI"	438	1378	1822	1551	12	0	1	0	0	0	23	1	0	0	1	7	0	70	225	0	0	0	0	0	0	0	1	0	1	1	9	0	0	0	1	10	0	33	0	2	6	0	0	0	0	0	0	1	0
3078	4012	"Dallican Water"	60.38736	-1.09648	442	"AWI"	442	1471	2136	1721	7	0	0	0	0	0	38	0	0	0	0	1	0	81	217	0	0	0	1	1	2	0	0	0	0	0	8	0	0	0	0	7	1	0	0	0	10	0	0	0	0	0	1	0	0
3078	4012	"Dallican Water"	60.38736	-1.09648	446	"AWI"	446	1569	2404	1904	10	2	0	0	3	0	33	0	0	0	1	3	0	50	285	0	0	0	3	0	1	0	0	0	1	0	11	0	0	0	0	8	1	0	0	4	8	0	0	0	0	0	0	0	0
