"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Violaceae"	"Vitaceae"
16093	24840	"Le Gesvres"	47.27222	-1.59583	210	"AWI"	210	501	1143	841	0	1	27	0	3	0	0	0	0	7	0	0	0	0	1	0	0	6	0	0	9	0	0	95	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	9	0	72	0	0	0	1	41	0	0	0	0	0	1	8	3	0	0	1	0	0	0	0	1	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	220	"AWI"	220	520	1205	873	0	0	30	0	0	0	1	0	0	8	0	0	0	0	2	0	0	5	0	0	20	0	0	70	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	5	0	55	0	0	0	1	30	1	0	0	2	0	0	0	20	0	0	1	0	1	0	0	0	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	230	"AWI"	230	537	1270	904	0	0	30	1	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	0	0	30	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	160	0	0	0	0	28	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	240	"AWI"	240	598	1306	946	0	0	88	2	0	0	1	0	0	9	0	0	0	0	4	0	0	3	0	0	15	0	0	22	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	41	0	0	0	0	50	0	0	0	8	0	0	0	23	0	0	0	0	0	0	0	3	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	250	"AWI"	250	691	1319	996	0	0	100	0	2	1	0	0	0	12	0	0	0	0	2	0	0	0	0	0	41	0	0	6	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	36	0	0	0	0	50	0	0	0	12	0	0	0	55	0	0	0	0	0	0	1	0	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	260	"AWI"	260	776	1342	1045	0	0	35	2	0	1	2	1	0	15	0	1	0	0	1	0	0	3	0	0	25	0	0	12	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	3	0	10	1	1	0	0	0	0	1	2	0	62	0	0	10	1	76	0	0	0	2	0	1	6	23	0	0	0	0	0	0	0	9	0	0	2
16093	24840	"Le Gesvres"	47.27222	-1.59583	270	"AWI"	270	860	1372	1096	0	1	7	2	0	0	5	0	0	3	0	0	0	0	3	0	0	1	0	0	15	0	0	54	0	3	0	0	0	17	1	0	0	0	0	0	1	0	0	5	1	0	0	3	0	0	0	0	0	4	0	74	0	0	0	0	40	0	0	0	1	0	0	0	3	0	0	2	0	0	0	1	1	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	285	"AWI"	285	963	1432	1170	0	0	5	0	0	0	3	0	0	2	0	1	0	0	2	0	0	1	0	0	9	0	0	90	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	3	0	60	0	0	0	0	30	0	0	0	0	0	0	0	5	0	0	2	0	0	2	0	1	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	295	"AWI"	295	1022	1483	1222	0	0	64	2	0	0	0	0	0	26	0	0	0	0	3	0	0	5	0	1	24	1	0	14	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	1	0	0	2	0	41	0	0	0	1	54	0	0	0	2	0	0	0	40	0	0	1	0	0	3	0	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	300	"AWI"	300	1047	1507	1250	0	0	100	0	0	1	2	0	0	12	0	0	0	0	3	0	0	1	0	0	38	0	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	38	0	0	0	0	68	1	0	0	2	0	0	0	18	0	0	2	0	0	0	0	3	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	315	"AWI"	315	1099	1618	1323	0	0	15	6	11	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	54	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	0	2	3	0	32	0	3	0	0	43	0	0	0	1	0	0	0	7	0	0	1	0	0	14	1	2	0	0	1
16093	24840	"Le Gesvres"	47.27222	-1.59583	325	"AWI"	325	1128	1705	1369	0	0	25	2	3	2	0	0	0	3	0	3	0	0	0	0	0	0	0	0	9	0	0	42	0	4	0	0	0	4	4	0	0	1	0	0	3	0	0	2	1	7	0	0	0	0	0	0	2	2	0	62	0	1	0	0	88	0	0	0	0	0	3	0	2	0	0	4	0	0	12	0	3	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	340	"AWI"	340	1162	1862	1439	1	0	19	1	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	8	0	0	80	0	0	0	0	0	4	3	0	0	0	0	1	0	0	0	2	0	4	0	0	0	0	0	0	2	10	0	51	0	0	0	0	86	0	0	0	0	0	0	3	3	0	0	0	0	0	0	1	2	0	0	0
16093	24840	"Le Gesvres"	47.27222	-1.59583	345	"AWI"	345	1170	1910	1464	0	0	12	2	6	2	2	2	0	2	0	2	0	0	1	0	0	0	0	0	7	0	0	55	0	6	0	0	0	11	0	0	0	0	1	2	0	0	0	7	0	10	0	1	0	0	1	0	2	13	0	68	0	0	4	0	54	0	0	0	1	0	1	22	12	0	0	3	0	0	40	1	2	0	0	2
