"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Tamaricaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23914	41489	"Emines"	46.32917	7.27588	0.5	"AWI"	0.5	-91	147.5	1.5	3	1	29	1	0	6	0	3	4	0	0	0	0	4	2	7	8	0	0	4	0	0	0	0	6	2	0	0	0	0	0	85	72	0	79	0	0	10	0	0	2	0	2	0	0	0	0	0	0
23914	41489	"Emines"	46.32917	7.27588	1.5	"AWI"	1.5	-56.5	362	82	2	0	34	0	0	5	0	1	4	0	0	0	0	7	0	14	13	2	0	3	1	0	0	0	5	3	0	0	2	0	0	114	64	54	65	0	0	3	0	0	0	0	2	0	0	0	0	4	4
23914	41489	"Emines"	46.32917	7.27588	4.5	"AWI"	4.5	-19.5	1126.5	311.5	6	0	34	0	0	9	0	1	0	0	0	1	0	7	0	11	7	0	0	5	0	0	0	0	8	6	0	0	0	0	0	162	0	0	56	0	0	7	0	0	2	0	1	0	0	2	0	1	5
23914	41489	"Emines"	46.32917	7.27588	8.5	"AWI"	8.5	140	1615.5	699	1	0	48	0	0	5	0	1	4	0	7	0	0	2	0	7	14	0	0	8	0	0	0	1	5	4	0	0	0	0	0	175	0	0	43	0	0	13	0	0	3	0	0	0	0	0	0	4	1
23914	41489	"Emines"	46.32917	7.27588	12.5	"AWI"	12.5	383	2089	1104	5	1	59	0	0	3	0	1	0	0	0	0	0	1	0	9	10	0	0	8	0	0	0	0	2	3	0	0	0	0	0	178	0	0	40	0	0	7	0	0	0	0	0	0	0	1	0	0	1
23914	41489	"Emines"	46.32917	7.27588	14	"AWI"	14	456	2252	1267	1	1	24	0	0	3	0	0	0	0	0	0	0	5	0	8	9	0	0	0	0	0	0	0	2	3	0	0	0	0	0	169	100	0	33	0	0	4	0	0	0	0	2	0	0	0	0	0	0
23914	41489	"Emines"	46.32917	7.27588	22	"AWI"	22	1105	2868	2055	6	0	12	0	0	6	0	0	1	0	0	0	0	5	0	5	17	0	0	0	0	0	0	0	3	3	0	0	0	0	0	142	72	0	75	2	0	5	0	0	2	0	3	0	0	1	1	0	2
23914	41489	"Emines"	46.32917	7.27588	30	"AWI"	30	1986	3319	2812	3	0	75	1	0	11	0	0	1	0	0	0	0	3	0	14	10	0	0	1	0	0	0	0	6	0	0	0	0	0	0	118	75	0	45	1	0	8	0	0	0	0	0	0	0	0	0	0	0
23914	41489	"Emines"	46.32917	7.27588	38	"AWI"	38	3326	3560	3438	7	0	93	1	0	4	0	1	1	0	0	0	0	0	0	28	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	42	0	0	9	0	0	1	0	1	0	0	0	0	0	0
23914	41489	"Emines"	46.32917	7.27588	46	"AWI"	46	3551	4585	3904	14	0	64	0	0	2	0	2	0	0	0	0	0	0	0	13	14	0	0	5	0	0	0	1	2	0	0	0	0	0	0	141	0	0	52	0	0	19	0	0	0	0	0	0	0	0	0	1	0
