"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Iridaceae"	"Juniperus"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	0	"AWI"	0	-110	56	-32	0	146	3	2	5	1	226	1	0	1	0	2	37	10	22	0	0	0	0	3	0	0	22	0	0	0	0	82	518	0	234	0	0	0	7	6	0	37	1	2	2	0	0	6	18
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	5	"AWI"	5	-71	137	22	0	157	1	1	2	0	218	1	0	0	0	0	37	14	37	0	0	0	0	1	0	0	57	0	0	0	1	70	523	0	246	0	0	0	7	7	0	0	2	11	1	0	3	3	8
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	10	"AWI"	10	-50	260	75	0	134	4	2	3	1	220	3	1	0	0	1	78	17	27	0	0	0	0	3	0	0	49	0	0	0	0	113	500	0	258	0	0	0	6	5	0	0	2	4	1	0	1	5	6
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	15	"AWI"	15	-37	396	127	0	129	3	4	3	0	201	0	0	1	0	1	88	13	66	0	6	0	0	1	0	0	52	0	0	0	0	111	533	0	226	0	1	0	10	4	0	0	6	5	0	0	0	1	3
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	20	"AWI"	20	-13	503	178	0	188	2	4	5	1	211	5	0	0	0	0	129	21	49	0	0	0	0	2	0	0	63	0	0	0	1	118	442	0	282	0	1	0	10	7	0	0	1	2	1	0	3	2	5
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	25	"AWI"	25	23	539	233	0	109	4	5	7	3	180	0	0	2	0	1	49	14	48	0	0	3	1	3	0	0	130	0	1	1	0	127	456	0	379	3	0	0	8	5	0	0	1	7	1	0	3	1	5
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	30	"AWI"	30	45	591	291	0	71	2	4	3	1	162	0	0	0	0	1	18	4	54	0	0	0	0	1	0	0	144	0	0	0	1	225	529	0	445	0	1	0	5	0	0	0	4	5	0	0	0	1	3
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	35	"AWI"	35	62	664	344	0	100	5	3	2	2	159	1	1	5	0	0	14	6	69	0	0	0	1	1	0	0	213	0	0	0	0	186	536	0	482	1	0	0	9	0	0	0	2	2	1	0	0	2	5
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	40	"AWI"	40	113	722	398	0	71	3	6	3	0	160	0	0	2	0	1	7	4	43	0	0	0	0	1	0	0	174	0	0	0	0	274	487	0	372	0	1	0	5	0	0	0	1	7	0	0	0	0	4
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	45	"AWI"	45	170	747	452	0	112	2	1	0	2	126	1	0	6	0	0	1	0	57	0	0	0	0	0	0	0	256	0	0	0	1	234	519	0	446	1	2	0	4	3	0	0	2	4	0	0	0	0	8
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	50	"AWI"	50	208	785	511	0	120	6	0	6	0	158	0	0	20	0	0	6	3	48	0	0	0	0	0	0	0	168	0	0	0	3	203	525	0	348	0	2	0	5	0	0	0	4	3	0	0	0	2	0
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	55	"AWI"	55	237	842	565	0	122	2	0	1	1	101	0	0	21	0	1	11	2	51	0	0	0	0	1	0	0	121	0	0	0	2	234	530	0	294	0	1	1	6	0	0	0	3	7	0	0	0	1	4
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	60	"AWI"	60	334	874	613	0	130	1	0	7	0	153	0	0	27	1	0	9	8	36	0	0	0	0	3	0	0	101	0	0	0	2	189	503	0	275	0	1	1	11	0	0	0	1	12	0	0	1	2	7
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	65	"AWI"	65	426	904	661	0	190	0	2	4	1	238	0	0	19	0	2	11	4	34	0	0	0	0	0	0	0	163	0	0	0	2	113	455	0	283	0	1	1	6	0	0	0	3	16	0	0	0	6	2
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	70	"AWI"	70	485	944	713	0	136	2	1	3	0	191	0	0	5	0	0	2	3	35	0	0	0	1	0	0	0	117	0	0	0	0	167	529	0	187	0	4	0	7	0	0	0	1	8	0	0	0	4	1
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	75	"AWI"	75	529	1000	764	0	144	4	0	12	0	234	0	0	10	0	0	1	3	13	0	0	0	0	2	0	0	73	0	0	0	2	167	428	0	136	0	0	1	16	0	0	0	2	13	3	0	1	1	0
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	80	"AWI"	80	577	1030	801	0	117	2	2	10	0	188	0	0	6	0	0	7	9	19	0	0	0	0	1	0	1	68	0	0	0	2	180	489	0	74	0	2	1	9	0	0	0	1	9	0	0	1	3	0
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	85	"AWI"	85	616	1067	839	0	114	0	3	6	0	167	0	0	7	0	0	6	3	27	0	0	0	0	0	0	0	63	0	0	0	1	175	519	0	78	0	0	0	15	0	0	0	0	13	3	0	0	4	1
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	90	"AWI"	90	651	1124	876	1	119	1	4	4	0	241	1	0	11	0	0	3	7	8	0	0	0	0	2	0	0	21	0	0	0	3	209	395	0	0	0	4	0	12	0	0	0	0	13	1	0	0	7	1
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	95	"AWI"	95	679	1184	911	1	132	0	2	1	0	285	0	0	203	0	0	1	5	8	0	0	0	0	6	1	0	16	0	0	0	0	148	401	0	70	0	2	0	16	0	0	0	0	17	1	0	0	4	2
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	100	"AWI"	100	712	1213	943	0	95	1	1	2	0	236	0	0	5	0	0	3	10	6	0	0	0	1	4	0	0	26	0	0	0	1	191	429	0	59	0	4	0	21	0	0	0	0	20	0	0	0	7	0
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	105	"AWI"	105	733	1248	975	0	100	0	4	1	0	350	0	0	1	0	0	4	9	22	0	0	0	0	3	0	0	18	0	0	0	0	158	377	0	48	0	1	0	15	0	0	0	2	28	0	0	0	1	1
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	110	"AWI"	110	750	1298	1009	0	87	0	3	0	0	289	0	0	0	0	0	2	8	17	0	0	0	0	8	0	0	17	1	1	0	2	187	389	0	0	0	2	0	12	0	0	0	2	31	0	0	0	2	0
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	115	"AWI"	115	782	1334	1041	0	112	0	2	0	0	321	1	0	5	0	0	2	7	25	0	0	0	1	4	0	0	29	0	0	0	1	151	371	0	0	0	5	0	25	0	0	0	2	32	0	0	0	2	1
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	120	"AWI"	120	814	1362	1075	0	102	0	1	0	0	333	0	0	1	0	0	1	7	11	0	0	0	0	2	0	0	21	0	0	0	2	118	432	0	0	0	3	1	18	0	0	0	0	39	2	0	1	4	1
3200	4156	"Lake Kolmilaträsk"	60.29171	20.14137	125	"AWI"	125	841	1401	1109	1	93	1	4	1	0	284	0	0	1	0	0	5	9	20	0	0	0	0	2	0	0	32	0	0	0	2	183	307	0	0	0	3	0	15	0	0	0	1	26	1	0	0	2	0
