"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Viburnum"
15903	24479	"Ile d'Errand"	47.3725	-2.15917	2.5	"AWI"	2.5	177	338.5	256.5	0	7	1	5	0	0	0	0	0	0	0	1	0	4	24	0	1	0	0	0	0	1	0	0	0	28	2	220	0	0	11	2	1	0	7	0	0	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	5	"AWI"	5	441	659	557	0	22	2	1	0	0	0	5	0	4	1	0	5	7	34	0	1	0	0	0	1	0	3	1	0	34	2	495	0	0	18	4	0	0	32	0	5	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	7.5	"AWI"	7.5	693	997.5	855.5	0	30	1	1	1	0	0	8	0	1	0	0	1	13	57	0	1	0	0	0	0	0	2	20	0	2	1	245	0	0	17	1	0	0	8	0	2	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	10	"AWI"	10	938	1339	1153	0	72	1	2	0	0	0	15	0	1	0	0	0	26	40	0	2	1	0	0	0	0	2	9	0	1	0	112	0	0	12	1	1	0	1	0	6	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	12.5	"AWI"	12.5	1316.5	1642.5	1492.5	0	222	0	3	0	0	0	8	0	0	0	0	0	11	51	0	0	0	1	0	0	0	3	3	0	1	1	69	0	0	7	0	1	0	1	0	6	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	15	"AWI"	15	1665	1977	1830	0	136	0	1	0	1	0	10	0	0	0	0	0	5	57	0	2	0	0	0	1	0	1	6	0	1	0	49	0	0	11	0	0	0	0	0	6	0	0	1	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	17.5	"AWI"	17.5	1979	2337.5	2168.5	0	146	2	2	0	0	0	6	0	0	0	0	0	17	47	0	1	0	0	0	0	0	1	12	0	0	0	104	0	0	16	0	0	0	3	0	4	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	20	"AWI"	20	2258	2719	2507	0	115	3	0	0	1	0	1	0	0	0	0	0	1	138	0	0	0	0	0	0	0	1	0	0	1	0	26	0	0	21	0	0	0	2	0	8	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	22.5	"AWI"	22.5	2357	2752.5	2566.5	0	201	2	0	0	0	0	8	0	0	0	0	0	10	79	0	2	0	0	0	0	0	0	1	1	0	2	27	0	0	19	1	1	0	0	0	3	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	25	"AWI"	25	2423	2805	2630	0	136	1	0	0	0	0	20	0	0	0	0	0	9	42	0	1	0	0	0	0	0	1	2	0	2	0	42	0	0	53	0	4	4	0	0	10	0	3	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	27.5	"AWI"	27.5	2464	2879	2694	0	220	0	0	0	0	0	5	0	0	0	0	0	4	24	0	3	2	8	0	0	0	0	1	0	0	2	18	0	0	29	0	6	0	1	0	6	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	30	"AWI"	30	2500	2979	2751	0	511	1	0	0	0	0	9	0	1	0	0	0	4	20	0	4	1	1	0	0	0	1	0	0	0	0	9	0	0	23	0	3	0	0	0	8	1	0	1	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	32.5	"AWI"	32.5	2575.5	3076.5	2841	0	304	0	3	0	0	0	14	0	0	0	0	0	7	25	0	3	4	2	0	0	0	1	0	0	0	1	22	0	0	40	0	0	0	3	0	15	0	1	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	35	"AWI"	35	2626	3233	2925	0	391	2	2	2	0	0	10	0	1	0	0	0	8	25	0	1	1	0	0	0	0	0	0	0	1	3	14	0	0	44	0	0	0	1	0	5	0	0	2	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	37.5	"AWI"	37.5	2667	3421.5	3011	0	298	1	0	0	1	0	32	0	1	0	0	0	7	29	0	1	1	1	0	0	0	0	1	0	0	0	15	0	0	59	0	0	0	0	0	9	0	0	2	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	40	"AWI"	40	2701	3625	3095	0	145	0	1	1	0	0	150	0	0	0	0	0	9	23	0	0	0	3	0	0	0	0	0	0	1	0	8	0	0	34	2	9	0	0	0	6	0	2	3	1
15903	24479	"Ile d'Errand"	47.3725	-2.15917	42.5	"AWI"	42.5	2806.5	3662	3191	0	265	0	2	6	0	0	22	0	1	0	0	0	24	11	0	2	1	3	0	0	0	0	1	0	1	1	15	0	0	75	1	16	0	0	0	32	0	1	1	1
15903	24479	"Ile d'Errand"	47.3725	-2.15917	45	"AWI"	45	2873	3715	3289	0	253	0	0	1	0	0	17	0	0	0	0	0	19	8	0	0	2	3	0	0	0	0	0	0	0	1	7	0	0	74	0	5	0	0	0	68	0	0	4	1
15903	24479	"Ile d'Errand"	47.3725	-2.15917	47.5	"AWI"	47.5	2923.5	3789	3388	0	316	1	2	1	0	0	6	0	2	0	0	0	50	15	0	4	5	9	0	0	0	0	1	0	1	0	23	0	0	105	1	1	0	2	0	19	0	3	4	1
15903	24479	"Ile d'Errand"	47.3725	-2.15917	50	"AWI"	50	2965	3898	3482	0	183	0	0	2	0	0	4	0	1	0	0	0	28	15	0	1	1	3	0	0	0	0	0	0	3	0	12	0	0	66	1	2	0	0	0	16	0	2	0	5
15903	24479	"Ile d'Errand"	47.3725	-2.15917	52.5	"AWI"	52.5	3147.5	3922.5	3565	0	202	3	0	1	0	0	28	0	0	0	0	0	12	16	0	2	3	1	0	0	0	0	1	0	0	0	22	0	0	50	1	3	0	1	0	6	0	0	0	2
15903	24479	"Ile d'Errand"	47.3725	-2.15917	55	"AWI"	55	3302	3953	3654	0	234	1	0	1	0	0	4	0	1	0	0	0	31	15	0	3	0	6	0	0	0	0	0	0	1	0	10	0	0	78	3	2	0	0	0	34	0	2	0	2
15903	24479	"Ile d'Errand"	47.3725	-2.15917	57.5	"AWI"	57.5	3410.5	4000	3747	0	159	0	0	0	0	0	3	0	0	0	0	0	16	15	0	1	0	6	0	0	0	0	0	0	0	1	9	0	0	69	0	0	0	0	0	10	0	0	0	2
15903	24479	"Ile d'Errand"	47.3725	-2.15917	60	"AWI"	60	3489	4077	3847	0	171	1	0	0	1	0	6	0	1	0	0	0	7	20	0	1	0	1	0	0	0	0	0	0	0	0	9	0	0	41	0	0	0	0	0	13	0	0	1	2
15903	24479	"Ile d'Errand"	47.3725	-2.15917	62.5	"AWI"	62.5	3528	4110	3879.5	0	90	0	0	1	0	0	2	0	0	0	0	0	4	11	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	22	0	0	0	0	0	2	0	2	0	2
15903	24479	"Ile d'Errand"	47.3725	-2.15917	65	"AWI"	65	3563	4152	3910	0	193	1	0	0	0	0	3	0	0	0	0	0	5	19	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	55	0	1	0	0	0	4	0	4	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	67.5	"AWI"	67.5	3595	4208	3942	0	205	0	0	0	0	0	0	0	0	0	0	0	6	20	0	0	0	4	0	0	0	0	0	0	1	0	6	0	0	49	0	2	0	0	0	6	0	0	0	0
15903	24479	"Ile d'Errand"	47.3725	-2.15917	70	"AWI"	70	3624	4270	3972	0	207	0	0	0	0	0	6	0	1	0	0	0	16	21	0	1	0	1	0	0	0	0	0	0	2	1	2	0	0	58	1	2	0	0	0	2	0	0	0	1
15903	24479	"Ile d'Errand"	47.3725	-2.15917	71	"AWI"	71	3644	4281	3987	0	201	2	0	0	0	0	3	0	0	0	0	0	18	17	0	0	1	0	0	0	0	0	0	0	2	1	4	1	0	44	0	2	0	0	0	5	0	1	0	1
