"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
24189	42568	"Bruckmisse"	48.730522	8.642734	5	"AWI"	5	-55	548	112	20	0	7	2	0	0	0	2	0	160	1	0	0	0	0	0	13	12	6	0	0	0	13	0	1	0	0	1	0	0	0	0	0	0	0	0	0	11	282	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	10	"AWI"	10	36	808	322	7	0	13	2	1	0	0	0	0	266	2	0	0	0	0	1	15	13	0	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	3	6	161	0	0	0	0	0	0	14	0	0	0	4	1	0	0	2	1	0	1	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	15	"AWI"	15	162	1048	534	15	0	7	0	0	0	0	0	0	92	0	0	0	0	0	0	15	6	5	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	36	323	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	1	1	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	20	"AWI"	20	309	1286	755	8	1	10	2	0	0	0	1	0	126	0	0	0	0	0	0	30	18	7	0	0	0	4	0	3	0	0	0	0	0	0	0	1	1	0	0	5	11	237	0	0	0	0	0	0	20	0	0	2	0	0	0	0	0	2	5	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	25	"AWI"	25	466	1508	967	7	0	6	1	0	0	0	3	0	124	4	0	0	0	0	0	25	3	0	0	0	0	16	0	4	1	0	1	0	0	0	0	0	0	0	0	7	31	270	0	0	0	0	0	0	10	0	0	0	1	0	0	1	0	2	3	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	30	"AWI"	30	638	1672	1175	2	1	26	0	0	0	0	0	0	236	1	0	1	0	0	0	32	73	3	0	0	0	12	0	1	0	0	1	0	0	0	0	0	0	0	0	8	8	300	0	0	0	0	0	0	26	0	0	1	5	0	0	0	0	2	3	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	35	"AWI"	35	825	1853	1380	7	0	3	0	0	0	0	0	0	172	6	0	0	0	0	0	28	16	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	1	0	2	52	229	0	0	0	0	0	0	19	0	0	0	1	0	0	0	1	0	3	1	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	40	"AWI"	40	1055	2005	1590	2	0	13	0	0	0	0	1	0	251	1	0	0	0	0	0	18	15	0	1	2	0	3	0	6	11	0	0	0	0	2	0	0	0	0	0	3	15	151	0	0	0	0	1	0	9	0	0	2	0	2	0	0	0	1	1	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	45	"AWI"	45	1269	2150	1796	9	0	9	0	0	0	0	0	0	161	0	0	1	0	0	0	10	3	0	0	1	0	11	0	4	12	0	1	0	0	0	0	0	0	0	0	1	22	289	0	0	0	0	0	0	9	0	0	1	1	3	0	0	1	0	1	0	0	0
24189	42568	"Bruckmisse"	48.730522	8.642734	52.5	"AWI"	52.5	1814	2287	2083.5	14	0	13	0	0	0	0	3	0	170	2	0	1	0	0	1	36	11	9	0	0	0	21	0	2	0	0	0	0	0	0	0	0	0	0	0	3	6	196	0	0	0	0	0	0	39	0	0	0	2	0	0	0	0	5	2	0	0	0
