"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	44	"AWI"	44	101	365	247	0	0.404040404040404	0	0	0.202020202020202	0	0	0	0	0	0	0	0	0	0	3.83838383838384	0	4.04040404040404	0	0	0	0	0.202020202020202	0	0	0	0	0.202020202020202	0	0	0.202020202020202	89.6969696969697	0	0	0	0	0	0.404040404040404	0	0.202020202020202	0	0	0	0.606060606060606	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	50	"AWI"	50	142	394	294	0	0.225225225225225	0	0	0.225225225225225	0	0	0	0	0.45045045045045	0	0	0	0	0	0.225225225225225	0	5.40540540540541	0	0	0	0	0	0	0	0	0	0.45045045045045	0	0	0.225225225225225	90.3153153153153	0	0	0	0	0	1.8018018018018	0.225225225225225	0	0	0	0	0.45045045045045	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	56	"AWI"	56	222	420	338	0	0	0	0	0	0	0	0	0	0.465116279069767	0	0	0	0	0	1.86046511627907	0	12.7906976744186	0	0	0	0	0.232558139534884	0.232558139534884	0	0	0	0.232558139534884	0	0	0	80	0	0	0	0	0	1.86046511627907	0.465116279069767	0.232558139534884	0	0	0.232558139534884	1.16279069767442	0	0	0	0.232558139534884	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	62	"AWI"	62	292	468	400	0	0	0	0	0.251889168765743	0	0	0.251889168765743	0	0	0	0	0	0	0	0.755667506297229	0	5.03778337531486	0	0	0	0	0	1.00755667506297	0	0	0	0	0	0	0.251889168765743	88.9168765743073	0	0	0.251889168765743	0	0	1.25944584382872	0.251889168765743	0.251889168765743	0.251889168765743	0	0.251889168765743	0.503778337531486	0.251889168765743	0	0	0	0.251889168765743	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	64	"AWI"	64	326	537	442	0	0	0	0	0.662251655629139	0	0	0	0	0	0.22075055187638	0	0	0	0	0.441501103752759	0	5.73951434878587	0	0	0	0	0.22075055187638	0.441501103752759	0	0	0	0.22075055187638	0	0	0.441501103752759	89.6247240618102	0	0	0	0	0	0.883002207505519	0.22075055187638	0	0	0	0.22075055187638	0.441501103752759	0	0	0	0.22075055187638	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	68	"AWI"	68	368	795	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72289156626506	0.240963855421687	4.09638554216868	0	0	0	0	0.240963855421687	0	0	0	0	0	0	0	0	91.0843373493976	0	0	0	0.481927710843374	0	1.92771084337349	0.240963855421687	0.481927710843374	0	0	0.240963855421687	0.240963855421687	0	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	72	"AWI"	72	424	1031	614	0	0	0	0	0.253164556962025	0	0	0.253164556962025	0	0.253164556962025	0	0	0	0	0.253164556962025	4.05063291139241	0	4.05063291139241	0	0	0	0	0.253164556962025	0.506329113924051	0	0	0	1.0126582278481	0	0	0.253164556962025	86.5822784810127	0	0	0	0.253164556962025	0	0.759493670886076	0.253164556962025	0.253164556962025	0	0	0.253164556962025	0.253164556962025	0.253164556962025	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	76	"AWI"	76	498	1159	784	0	0	0	0	0.700934579439252	0.233644859813084	0	0.233644859813084	0	0	0.467289719626168	0	0	0	0	3.50467289719626	0	3.27102803738318	0	0	0	0	0.233644859813084	0.934579439252336	0	0	0	0	0	0	0	86.9158878504673	0	0	0	0	0	1.86915887850467	0	0.233644859813084	0	0	0	0.700934579439252	0.700934579439252	0	0	0	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	80	"AWI"	80	547	1385	932	0	0	0	0	0	0	0	0	0	0	0.253807106598985	0	0	0	0	4.31472081218274	0	2.79187817258883	0	0	0	0	0.253807106598985	1.01522842639594	0	0	0	0	0.253807106598985	0	0	85.7868020304569	0	0	0	0	0	3.80710659898477	0	0.253807106598985	0	0	0.253807106598985	0.50761421319797	0	0	0	0.50761421319797	0	0	0
26055	45194	"Arroyo de las Cárcavas"	40.84194	-4.03139	84	"AWI"	84	673	1501	1084	0	0	0	0	0.224719101123596	0	0	0.224719101123596	0	0.224719101123596	0.224719101123596	0	0	0	0	2.24719101123596	0.449438202247191	1.79775280898876	0	0	0	0	0.449438202247191	1.12359550561798	0	0	0	0	0	0	0	88.5393258426966	0	0	0	0	0	2.02247191011236	0	0.898876404494382	0	0	0	0.449438202247191	1.12359550561798	0	0	0	0	0	0
