"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15783	40439	"Creux de Croue"	46.49687	6.12357	5	"AWI"	5	-63	395	85	4	0	5	1	4	0	1	0	0	0	0	0	0	8	0	4	0	2	0	140	0	0	0	26	0	0	2	1	1	0	0	0	0	0	0	1	0	50	9	34	125	0	0	0	0	1	4	0	0	2	1	0	0	0	0	0	0	1	0	0	0
15783	40439	"Creux de Croue"	46.49687	6.12357	10	"AWI"	10	10	634	236	161	0	16	3	0	0	1	0	2	1	0	0	0	1	0	0	0	15	0	21	0	0	0	34	0	0	0	0	0	0	0	0	0	1	0	6	0	193	3	7	23	0	0	0	0	11	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0
15783	40439	"Creux de Croue"	46.49687	6.12357	15	"AWI"	15	104	826	390	130	0	33	1	1	0	4	0	12	0	0	0	0	0	0	0	0	47	0	65	0	0	0	72	0	0	0	0	0	2	0	0	0	0	0	10	0	121	10	0	34	0	0	0	1	35	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
15783	40439	"Creux de Croue"	46.49687	6.12357	20	"AWI"	20	204	995	552	119	0	19	1	3	0	5	0	7	0	0	0	0	0	0	0	0	25	0	4	0	0	0	68	0	0	0	0	0	2	0	0	0	0	0	14	0	185	1	12	4	0	0	0	0	27	0	0	0	0	5	1	0	0	1	0	0	0	1	0	0
15783	40439	"Creux de Croue"	46.49687	6.12357	25	"AWI"	25	329	1155	708	128	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	21	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	5	0	110	22	3	44	0	0	0	0	16	2	0	0	1	0	0	0	0	1	0	0	0	1	1	0
15783	40439	"Creux de Croue"	46.49687	6.12357	30	"AWI"	30	456	1315	868	161	1	14	2	0	0	3	0	8	1	0	5	0	1	0	0	0	22	0	41	0	0	0	60	0	0	0	0	0	0	0	2	0	0	0	6	0	254	11	0	65	0	1	0	0	42	2	0	0	1	5	1	0	0	0	0	0	1	0	6	0
15783	40439	"Creux de Croue"	46.49687	6.12357	35	"AWI"	35	588	1456	1023	118	0	15	2	2	0	5	0	10	2	0	5	0	1	1	0	0	24	0	71	0	0	0	87	0	0	0	0	0	4	0	0	0	0	0	4	0	178	9	0	61	0	0	0	0	29	3	0	0	0	2	0	0	1	0	0	0	0	2	3	0
15783	40439	"Creux de Croue"	46.49687	6.12357	40	"AWI"	40	743	1589	1179	24	0	2	3	4	0	3	0	1	2	0	0	0	0	1	0	0	4	0	219	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	40	5	16	100	0	0	1	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15783	40439	"Creux de Croue"	46.49687	6.12357	45	"AWI"	45	897	1715	1331	21	1	1	2	1	0	2	0	2	4	0	0	0	1	0	0	0	8	0	83	0	0	0	10	0	0	1	0	0	3	0	2	0	0	0	0	0	81	15	0	82	0	0	0	0	9	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
15783	40439	"Creux de Croue"	46.49687	6.12357	50	"AWI"	50	1073	1836	1481	73	0	31	0	0	0	2	0	19	0	0	0	0	0	0	0	0	26	0	42	0	0	0	42	0	0	0	0	0	2	0	0	0	0	0	6	0	142	23	0	18	0	0	0	0	22	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0
15783	40439	"Creux de Croue"	46.49687	6.12357	55	"AWI"	55	1272	1945	1630	94	0	5	1	0	0	2	0	0	1	0	0	0	0	0	0	0	21	0	41	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	176	6	0	27	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
