"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Montiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Thymelaeaceae"	"Urticaceae"	"Viburnum"	"Vitaceae"
26052	45188	"El Maíllo mire"	40.54667	-6.20972	1	"AWI"	1	-126	34	-41	0	0	0	1	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	1	0	0	5	0	0	0	0	71	0	0	21	0	0	36	24	0	0	0	1	1	0	0	0	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	4	"AWI"	4	-81	131	15	0	1	0	0	0	0	0	0	0	19	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	4	0	0	0	0	18	0	0	103	0	0	22	15	0	0	0	0	3	0	0	1	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	6	"AWI"	6	-46	179	54	0	1	0	2	0	0	3	0	0	23	0	2	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	1	0	0	1	0	0	2	0	0	6	0	0	0	0	10	1	0	84	0	0	24	13	0	0	0	1	0	0	0	0	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	8	"AWI"	8	-9	200	104	0	2	2	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	3	213	0	0	0	1	0	0	0	0	0	2	0	0	10	0	0	0	0	8	0	0	73	0	0	20	10	0	0	0	0	0	0	0	2	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	10	"AWI"	10	15	234	161	0	0	1	0	0	1	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	10	201	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	1	1	3	0	0	118	0	1	23	15	0	0	0	6	0	0	0	1	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	12	"AWI"	12	69	334	261	0	0	0	2	0	0	3	0	0	21	0	1	1	0	0	0	0	4	0	0	0	0	3	168	0	1	1	3	0	0	0	0	0	3	0	0	9	0	0	0	1	5	0	0	0	0	0	16	11	0	0	0	3	0	0	0	1	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	14	"AWI"	14	102	572	318	0	0	0	3	0	0	0	0	0	67	0	2	0	0	0	0	0	10	0	0	0	0	10	180	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	27	22	0	0	0	0	0	0	0	0	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	15	"AWI"	15	116	694	351	0	1	0	5	0	0	0	0	0	41	0	1	0	0	0	0	1	7	0	0	1	0	2	136	0	0	2	1	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	114	0	0	19	7	0	0	0	3	1	0	0	0	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	16	"AWI"	16	184	745	424	0	1	0	2	0	1	3	0	0	130	0	0	1	0	0	0	0	8	0	0	0	0	4	164	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	26	15	0	0	0	2	2	0	0	3	0	0	0	0
26052	45188	"El Maíllo mire"	40.54667	-6.20972	17	"AWI"	17	233	793	495	0	1	0	1	0	0	1	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	8	122	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	24	7	0	0	1	0	2	0	0	0	0	0	0	0
