"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Papaveraceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3004	3910	"Puerto de Belate"	43.03333	-2.05	10	"AWI"	10	106	1039	463	0	0	12	1	2	2	4	0	3	0	0	0	0	1	0	1	31	0	9	0	45	0	2	85	0	5	0	0	0	0	1	0	0	0	5	0	0	0	0	44	3	1	0	1	2	0	5	0	0	0	0	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	20	"AWI"	20	464	1742	1047	0	0	17	0	0	0	3	0	9	0	0	0	0	0	0	0	63	0	11	0	41	0	2	59	5	0	0	0	0	0	0	6	0	0	9	0	0	0	0	93	0	2	0	0	0	0	1	2	0	1	2	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	30	"AWI"	30	960	2266	1621	0	1	27	0	1	0	5	0	8	0	0	0	0	0	0	0	81	1	14	0	33	0	0	44	1	0	0	0	0	0	1	1	0	0	21	0	0	0	0	93	0	1	0	0	1	0	1	2	0	0	2	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	40	"AWI"	40	1556	2716	2209	0	0	17	1	0	0	0	0	6	0	0	0	0	0	0	0	100	0	6	0	30	0	0	23	0	0	0	0	0	0	0	0	0	0	15	0	4	0	0	90	0	1	0	0	1	1	0	4	0	0	4	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	45	"AWI"	45	1855	2906	2496	0	0	19	0	0	1	0	0	6	0	1	1	0	0	0	0	161	2	3	0	55	0	0	4	1	3	0	1	2	0	0	0	0	0	35	0	0	0	0	74	15	1	0	0	0	0	0	2	0	1	10	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	50	"AWI"	50	2234	3102	2786	1	0	27	1	0	0	1	0	11	0	0	0	0	0	0	0	140	0	1	0	41	0	1	4	4	0	0	0	0	0	0	0	0	0	30	1	0	23	0	115	0	0	0	0	2	1	0	2	0	1	5	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	60	"AWI"	60	2850	3460	3165	0	0	20	1	2	0	2	0	3	0	2	0	0	0	0	0	272	2	4	0	62	0	1	4	3	0	0	0	0	0	0	0	0	0	22	0	0	0	0	130	9	0	4	0	3	4	0	3	0	3	12	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	70	"AWI"	70	3047	3830	3421	0	0	28	1	1	0	1	0	7	0	0	0	0	0	0	0	133	0	1	0	47	0	0	1	4	0	0	0	0	0	0	0	0	0	25	0	2	12	0	66	0	2	0	0	1	0	0	3	0	0	3	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	80	"AWI"	80	3268	4155	3691	0	0	21	0	0	2	2	0	8	0	0	0	0	0	0	0	156	0	6	0	20	1	0	0	5	0	0	0	0	0	1	0	0	0	23	0	0	0	0	113	0	0	0	0	0	0	0	2	0	3	3	0	0	0
3004	3910	"Puerto de Belate"	43.03333	-2.05	90	"AWI"	90	3491	4459	3959	0	0	11	2	0	0	0	0	18	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	26	0	0	0	0	121	0	0	0	0	0	0	0	6	0	8	11	0	0	0
