"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
15947	24578	"Bois-Jésus"	47.41333	0.63806	50	"AWI"	50	-136	33	-50	0	2	1	0	0	1	98	0	0	1	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	1	0	0	0	0	10	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	55	"AWI"	55	-57	303	96	0	5	0	0	0	1	237	0	0	2	0	0	0	0	0	2	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	60	"AWI"	60	-28	639	234	1	5	1	0	0	0	96	0	0	0	0	0	0	0	0	3	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	65	"AWI"	65	-9	982	375	0	24	2	3	0	0	88	5	0	0	0	0	0	1	0	15	0	68	0	0	2	1	0	0	0	0	4	0	0	0	0	6	5	0	0	0	6	1	0	0	2	2	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	70	"AWI"	70	113	1177	523	0	8	1	6	0	1	77	1	0	0	0	0	0	0	0	3	0	164	0	0	1	1	0	0	0	0	7	0	0	0	0	1	12	100	1	0	0	9	0	0	0	3	0	0	1	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	75	"AWI"	75	255	1247	689	0	8	3	5	0	1	52	1	0	1	0	0	0	1	0	1	0	221	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	80	"AWI"	80	354	1330	861	0	9	4	2	0	0	38	1	1	4	0	0	0	0	0	2	0	260	0	1	0	0	0	0	0	1	7	0	0	0	0	3	7	0	1	0	2	6	0	0	0	0	0	0	0	0	0	1
15947	24578	"Bois-Jésus"	47.41333	0.63806	85	"AWI"	85	425	1487	1021	0	7	3	3	0	1	27	0	0	2	0	0	0	0	0	1	0	512	0	0	0	0	0	0	0	1	5	0	0	0	0	5	3	0	1	0	3	2	0	0	0	2	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	90	"AWI"	90	811	1548	1200	0	7	1	2	0	0	48	0	0	0	0	0	0	2	0	2	0	340	0	0	0	0	0	0	1	0	0	0	1	2	1	6	5	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0
15947	24578	"Bois-Jésus"	47.41333	0.63806	95	"AWI"	95	1165	1626	1374	0	9	4	3	0	1	49	0	0	1	0	0	0	0	0	4	0	360	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	18	1	0	0	2	0	0	0	1	0	0	0	0	0	0
