"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Melanthiaceae"	"Myrica"	"Myrtus"	"Olea"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Ulmus"	"Vitaceae"
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	0	"AWI"	0	-104	69	-21	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	25	0	0	296	0	0	0	64	1	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	2.5	"AWI"	2.5	-72.5	115.5	16.5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	36	0	0	260	0	0	1	128	0	0	0	38	0	0	0	0	0	4	0	0	0	0	0	0	0	2
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	5	"AWI"	5	-54	189	53	2	1	0	1	0	1	0	0	1	1	0	0	0	4	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	54	0	0	268	0	0	1	145	0	0	0	93	1	0	0	0	0	0	0	0	0	2	0	0	0	0
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	7.5	"AWI"	7.5	-43	271	87.5	1	0	0	3	0	0	0	0	4	0	1	0	0	4	1	0	1	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	98	0	0	0	142	0	0	0	34	0	0	0	0	0	0	0	0	0	1	0	0	0	1
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	10	"AWI"	10	-32	360	121	7	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	10	11	0	0	0	0	0	0	0	0	0	6	1	0	0	9	0	0	0	0	68	0	0	228	0	0	1	105	0	0	0	74	2	0	0	0	0	0	0	0	0	3	0	0	0	0
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	12.5	"AWI"	12.5	-22.5	452.5	155	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	61	0	0	92	0	0	0	144	0	0	0	58	2	0	0	0	0	0	0	0	0	0	0	0	0	2
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	15	"AWI"	15	-14	542	188	1	1	0	2	0	0	0	0	0	1	0	0	0	3	1	0	0	32	9	0	120	0	0	0	0	0	0	0	8	0	0	0	14	0	0	0	0	96	0	0	158	0	0	0	249	0	0	0	187	3	0	0	0	0	0	0	0	0	4	0	0	0	0
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	17.5	"AWI"	17.5	16.5	593.5	224	1	1	0	0	0	1	0	0	1	0	2	0	0	5	3	0	0	26	7	0	92	0	0	0	0	0	1	0	1	0	1	0	8	0	0	0	0	75	0	0	114	0	0	0	295	0	0	0	114	2	0	0	0	3	7	0	0	0	0	0	0	0	0
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	20	"AWI"	20	52	620	265	3	0	0	0	1	0	0	0	0	0	0	1	0	1	3	0	0	8	9	0	0	0	0	0	0	0	0	0	3	0	0	0	10	0	0	0	0	64	0	0	36	0	0	0	331	0	0	0	91	7	0	0	0	0	3	0	0	0	1	0	0	0	0
24112	41911	"Lagoa Comprida 2"	40.36278	-7.63611	25	"AWI"	25	98	685	348	3	3	0	5	0	2	0	0	1	0	2	1	0	2	2	0	1	2	10	0	95	0	1	0	2	0	1	0	0	0	9	0	0	0	0	0	0	50	3	0	140	0	0	0	162	0	1	0	58	8	0	0	0	1	0	1	0	0	0	0	0	0	0
