"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	10	"AWI"	10	-94	86	-2	2	0	36	0	0	4	2	0	25	0	1	0	0	1	1	0	3	556	0	0	0	0	2	0	0	0	0	0	9	0	0	0	149	263	0	0	0	0	7	1	0	2	0	1	0	0	0	0	0	3	1	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	30	"AWI"	30	-62	227	48	0	0	15	0	0	5	4	0	16	1	3	0	0	0	1	0	4	124	0	0	0	0	0	0	0	0	0	3	6	0	0	0	60	138	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	1	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	50	"AWI"	50	-21	318	107	1	0	16	0	0	3	0	2	11	0	0	1	0	0	1	0	2	86	0	0	0	0	1	0	0	0	0	0	5	0	0	0	53	128	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	70	"AWI"	70	5	417	166	0	0	3	0	0	6	1	33	2	0	2	0	0	0	0	0	1	389	0	0	0	0	2	0	0	1	0	0	4	0	0	0	42	32	0	0	1	0	3	25	0	1	0	0	0	0	0	2	0	1	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	90	"AWI"	90	61	486	228	0	0	18	0	0	8	3	28	7	1	0	0	2	1	0	0	0	481	0	0	7	0	0	0	1	0	1	0	5	0	0	0	42	50	0	0	0	0	1	24	0	2	0	1	0	0	0	1	0	3	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	110	"AWI"	110	106	571	290	3	0	21	0	0	2	5	0	12	1	0	2	0	0	0	0	1	68	0	0	0	0	1	0	0	1	0	1	8	0	0	0	325	455	0	0	0	0	2	2	0	0	4	0	2	0	0	1	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	130	"AWI"	130	180	636	345	2	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	143	248	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	150	"AWI"	150	311	804	469	1	0	15	0	0	1	1	3	9	1	0	2	0	0	1	0	5	21	0	0	3	0	2	0	0	0	0	0	11	0	0	0	280	350	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	1	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	170	"AWI"	170	386	1263	656	4	0	32	1	0	1	2	0	27	2	0	1	0	0	0	0	3	24	0	0	0	0	3	2	0	0	4	1	10	0	1	1	257	299	0	0	0	0	7	2	0	0	3	0	11	0	0	0	0	1	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	190	"AWI"	190	565	1756	1043	4	0	24	2	0	0	3	0	4	0	0	1	0	0	0	0	0	6	0	0	0	0	5	0	0	0	0	0	4	0	0	0	141	0	0	0	0	1	7	0	0	0	1	0	2	0	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	210	"AWI"	210	680	2750	1463	4	0	57	1	0	1	5	2	30	0	0	1	0	0	0	0	1	25	0	0	0	0	4	0	0	0	1	0	6	0	0	0	204	208	0	0	0	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	230	"AWI"	230	1052	3151	2016	4	0	78	1	0	0	3	0	30	0	0	0	0	0	0	0	4	26	0	0	0	0	9	0	0	0	0	0	6	0	0	0	152	261	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	1	0	1
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	250	"AWI"	250	1337	3739	2544	9	0	39	0	0	0	0	0	14	0	0	0	0	0	0	0	3	16	0	0	0	0	4	0	0	0	0	0	11	0	0	0	235	159	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	2	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	270	"AWI"	270	2022	3988	3115	7	0	39	3	0	1	2	0	19	0	0	0	0	0	0	0	2	19	0	0	0	0	3	0	0	0	0	0	10	0	0	0	223	151	0	0	0	0	11	1	0	1	0	0	0	0	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	290	"AWI"	290	3104	4338	3808	7	0	65	0	0	0	2	0	17	0	0	0	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	9	1	0	0	188	138	0	0	0	0	7	1	0	0	1	1	1	0	0	0	0	0	1	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	300	"AWI"	300	4080	4590	4313	2	0	0	0	0	0	2	0	15	0	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	1	0	1	0	53	56	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	310	"AWI"	310	4287	5543	4808	10	1	30	0	0	0	3	0	22	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	12	0	0	0	295	175	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	2	0	1
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	320	"AWI"	320	4599	6508	5384	3	0	26	0	0	1	0	0	26	0	0	0	0	0	0	0	4	12	0	0	0	0	1	0	0	0	0	1	9	0	0	0	197	166	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	4	0	1
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	330	"AWI"	330	5882	6934	6321	2	0	24	0	0	1	2	0	32	0	0	0	0	0	0	0	5	10	0	0	0	0	0	1	0	0	0	0	11	0	0	0	223	216	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	340	"AWI"	340	6969	7459	7261	2	0	14	0	0	0	2	0	21	0	0	0	1	0	0	0	6	13	0	0	0	0	0	0	0	0	0	1	4	0	0	0	193	190	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	350	"AWI"	350	7582	8626	8180	1	1	8	0	0	0	0	0	21	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	258	229	0	0	0	0	9	0	0	0	1	0	0	0	0	1	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	360	"AWI"	360	8027	9178	8670	0	0	16	0	0	2	2	0	27	0	0	0	0	0	0	0	4	8	0	0	0	0	0	1	0	0	0	0	3	0	0	0	207	226	0	0	0	0	13	0	0	0	3	0	0	0	0	3	0	4	2	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	370	"AWI"	370	8410	9419	8949	1	0	12	0	0	0	2	0	38	0	0	0	0	0	0	0	10	17	0	0	0	0	0	2	0	0	0	0	24	0	0	0	398	493	0	0	0	0	22	1	0	0	1	0	0	0	0	1	0	6	1	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	380	"AWI"	380	8694	9732	9231	0	0	11	0	0	3	6	0	133	0	0	0	2	0	0	0	38	15	0	0	0	0	0	2	0	0	0	0	30	0	0	0	69	785	0	0	0	0	24	1	0	1	2	1	0	0	0	1	0	14	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	390	"AWI"	390	8945	10117	9530	0	1	12	0	0	3	4	0	81	0	0	0	1	0	0	0	18	13	1	0	0	0	0	0	0	0	0	3	38	0	0	0	32	475	0	0	0	0	13	2	0	1	2	1	0	0	0	0	0	6	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	400	"AWI"	400	9571	10375	9962	0	0	4	0	0	0	4	0	43	0	0	0	0	1	0	0	8	15	0	0	0	0	0	0	0	0	0	1	18	0	0	0	15	614	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	2	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	410	"AWI"	410	10001	10773	10399	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	1	12	0	0	0	1	203	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	3	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	425	"AWI"	425	10385	11633	11046	0	0	0	0	0	1	3	0	31	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	2	36	0	0	0	0	625	0	0	0	0	2	0	0	0	3	3	0	0	0	1	0	3	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	430	"AWI"	430	10686	11689	11184	0	0	0	0	0	0	3	3	50	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	10	0	0	0	1	851	0	0	0	1	4	0	0	0	0	2	0	0	0	2	2	3	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	435	"AWI"	435	10954	11763	11326	0	0	0	1	0	0	15	4	45	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	8	2	0	0	0	6	821	0	0	0	0	2	0	0	0	3	0	0	0	0	8	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	445	"AWI"	445	11295	12015	11632	0	0	0	6	1	3	47	6	24	0	0	0	0	0	0	0	1	30	1	0	0	0	0	0	0	0	0	9	2	0	0	0	3	481	0	0	0	0	2	2	0	1	4	0	0	0	0	8	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	450	"AWI"	450	11353	12240	11785	0	0	0	1	0	3	35	5	43	0	0	0	0	1	0	0	0	31	2	0	0	0	0	0	0	0	0	16	1	0	0	0	3	568	0	0	0	0	1	0	0	1	7	2	0	0	0	2	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	452	"AWI"	452	11374	12349	11846	0	0	0	4	1	4	57	2	67	0	3	0	0	3	0	0	0	48	0	2	0	0	0	0	0	0	0	44	1	0	0	0	1	1251	0	0	0	2	1	0	0	0	13	4	0	2	1	2	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	458	"AWI"	458	11431	12685	12018	0	0	0	0	0	0	23	0	17	0	0	0	0	1	0	0	0	8	2	0	0	0	0	0	0	0	0	9	0	0	0	0	3	439	0	0	0	0	2	0	0	2	5	2	0	1	0	1	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	462	"AWI"	462	11537	12805	12107	0	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	3	0	0	0	0	2	164	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	466	"AWI"	466	11658	12844	12186	0	0	0	1	0	0	8	0	8	0	0	0	0	1	0	0	0	5	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	69	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	470	"AWI"	470	11776	12889	12264	0	0	0	1	0	0	17	0	9	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	8	0	0	0	0	1	119	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	480	"AWI"	480	11988	13052	12476	0	0	0	1	0	0	25	0	26	0	0	0	0	2	0	0	0	10	3	0	0	0	0	0	0	0	0	9	2	0	0	0	10	503	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	500	"AWI"	500	12292	13747	12946	1	1	0	0	0	2	6	0	18	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	4	0	0	0	45	230	0	0	0	0	3	0	0	0	0	0	0	1	0	3	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	510	"AWI"	510	12415	14597	13236	0	0	0	1	0	1	12	0	11	0	0	0	0	0	0	0	1	12	1	0	0	0	0	0	0	0	0	5	2	0	0	0	7	203	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	520	"AWI"	520	12520	15606	13514	0	0	3	1	0	1	25	0	6	0	0	0	0	0	0	0	1	14	2	0	0	0	0	0	0	0	0	11	4	0	0	0	17	226	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
16663	26448	"Schwarzsee Reschenscheideck"	46.87	10.47833	530	"AWI"	530	12598	16679	13782	0	0	3	0	0	0	3	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
