"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	65	"AWI"	65	58	815	353	1	2	100	0	0	1	5	0	0	9	3	0	0	0	0	1	0	0	0	0	15	0	156	0	0	0	2	0	20	0	0	0	0	12	0	0	0	0	0	0	0	0	48	24	0	0	0	0	0	65	0	0	0	2	3	1	0	0	0	0	0	0	0	1
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	85	"AWI"	85	108	944	503	1	0	59	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	27	0	46	0	0	0	2	0	14	1	0	0	0	10	0	0	1	0	1	0	0	0	12	15	0	0	0	0	0	65	0	0	0	0	5	2	0	0	0	0	0	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	105	"AWI"	105	225	1071	640	0	2	0	0	0	1	2	0	0	7	2	2	0	0	0	1	0	0	0	0	34	0	48	0	0	0	0	0	13	0	0	1	0	24	0	0	2	0	0	0	1	0	15	15	0	0	0	0	0	54	0	0	0	0	9	1	1	0	0	0	0	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	125	"AWI"	125	333	1146	784	0	0	44	0	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	23	0	50	0	0	0	0	0	19	0	0	0	0	21	0	0	0	0	0	0	0	0	16	5	0	0	0	0	0	35	4	1	0	3	0	0	0	0	0	0	0	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	145	"AWI"	145	449	1257	917	1	0	64	1	0	0	0	0	0	14	2	0	0	0	0	2	0	0	0	0	35	0	94	0	0	0	0	0	44	1	0	0	0	34	0	0	1	0	0	0	0	0	9	24	0	0	0	0	0	43	0	0	0	0	2	0	0	0	0	0	0	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	165	"AWI"	165	727	1312	1034	10	0	60	0	0	0	4	0	0	15	2	0	0	0	0	0	0	1	0	0	76	0	76	0	0	0	0	0	32	0	0	0	0	39	0	0	7	0	0	0	0	1	19	22	0	0	0	0	3	50	0	0	0	2	1	5	0	0	0	0	1	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	185	"AWI"	185	915	1418	1168	5	1	28	1	0	0	3	0	0	5	1	0	0	0	0	1	1	1	1	0	13	0	30	0	0	0	0	0	21	3	0	1	0	6	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	13	0	0	0	0	2	3	0	0	0	0	1	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	205	"AWI"	205	1019	1610	1300	22	0	0	0	0	0	4	0	0	5	0	0	0	0	0	1	0	2	0	0	32	0	45	0	0	0	0	0	45	0	0	0	0	23	0	0	3	1	0	0	0	0	19	19	0	0	0	0	0	27	0	0	0	0	1	0	1	0	0	0	1	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	225	"AWI"	225	1075	1913	1419	9	0	0	0	0	0	4	0	0	4	0	0	0	0	0	1	0	0	0	0	56	0	15	0	0	0	0	0	37	0	0	0	0	6	0	0	1	0	1	0	0	0	2	7	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18834	32260	"Etang de Luissel Bex"	46.23378	7.01911	245	"AWI"	245	1164	2168	1553	17	0	18	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	57	1	18	0	0	0	0	0	45	2	0	0	0	4	0	0	1	0	0	0	1	0	30	8	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	2	0
