"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
3180	4136	"Kangerjoki"	66.12667	28.99524	1	"AWI"	1	-92	76	-3	9	0	0	1	0	230	0	0	0	0	0	3	13	15	0	0	0	1	0	1	0	49	263	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	5	"AWI"	5	-38	304	96	11	1	0	3	0	170	0	0	0	0	0	1	136	0	0	0	0	16	0	0	0	34	158	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1
3180	4136	"Kangerjoki"	66.12667	28.99524	7	"AWI"	7	13	339	155	11	0	0	2	0	129	0	1	0	0	0	0	89	0	0	0	0	7	0	0	0	29	145	0	8	0	0	0	0	1	1	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	10	"AWI"	10	56	426	241	30	0	0	3	0	529	1	0	0	0	0	6	46	15	0	0	0	1	0	5	0	91	275	1	12	0	1	0	1	4	4	0	0	0	0	0	0	1
3180	4136	"Kangerjoki"	66.12667	28.99524	13	"AWI"	13	170	483	359	14	0	0	3	0	236	0	1	0	0	0	2	15	0	0	0	0	2	0	2	0	55	217	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	15	"AWI"	15	218	570	432	8	0	0	0	0	174	0	0	0	0	0	3	14	0	0	0	0	1	0	0	0	47	187	0	6	0	0	0	0	1	1	0	0	0	1	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	18	"AWI"	18	490	843	649	4	0	0	2	0	171	0	0	0	0	0	0	12	0	0	0	0	1	0	1	0	49	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	20	"AWI"	20	596	1106	796	1	0	0	2	0	242	0	0	0	0	0	3	20	0	0	0	0	4	0	2	1	64	195	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
3180	4136	"Kangerjoki"	66.12667	28.99524	25	"AWI"	25	931	2356	1473	11	0	0	0	0	167	0	0	0	0	0	4	19	0	0	0	0	0	0	1	0	34	153	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
3180	4136	"Kangerjoki"	66.12667	28.99524	31	"AWI"	31	1789	2979	2410	18	0	0	1	0	306	0	0	0	0	0	4	16	18	0	0	0	0	0	0	0	58	202	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0
3180	4136	"Kangerjoki"	66.12667	28.99524	35	"AWI"	35	2590	3711	3109	28	0	0	1	0	374	0	0	0	0	0	4	14	18	0	0	0	1	0	0	0	72	268	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
3180	4136	"Kangerjoki"	66.12667	28.99524	41	"AWI"	41	4173	5153	4688	39	0	0	4	0	715	0	0	0	0	0	15	32	22	0	0	0	3	0	3	0	130	544	0	0	7	0	0	0	0	1	0	0	0	0	0	8	0
3180	4136	"Kangerjoki"	66.12667	28.99524	45	"AWI"	45	4577	5698	5180	28	1	0	0	0	478	1	0	0	0	0	12	11	10	0	0	0	3	0	1	0	75	375	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0
3180	4136	"Kangerjoki"	66.12667	28.99524	50	"AWI"	50	5218	6048	5651	63	0	0	1	0	893	0	0	0	0	0	11	33	0	0	2	0	8	1	4	0	23	704	0	0	3	0	0	0	0	1	0	0	0	0	0	8	0
