"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3235	4201	"Lignin Lake"	44.10417	6.70861	5	"AWI"	5	6451	7482	7009	5	0	0	3	3	0	25	0	0	0	0	1	0	0	10	7	0	1	0	472	0	0	3	1	2	0	0	0	3	0	1	0	0	23	0	1	1	0	0	0	0	0	2	0	0	14	0	3	0	3	2	4	0	0	5	0	0	3	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	10	"AWI"	10	6584	7575	7128	2	0	0	8	1	0	37	16	1	0	0	2	1	0	6	10	1	3	0	1081	0	0	3	0	0	0	0	0	0	0	0	0	0	23	0	0	3	0	0	0	0	0	11	0	1	16	0	4	0	2	7	5	0	1	2	0	0	1	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	15	"AWI"	15	6725	7662	7246	6	0	0	9	4	0	42	0	0	0	0	0	0	0	2	5	0	5	0	182	0	2	7	0	1	0	0	0	8	0	2	0	0	28	0	0	5	203	0	0	0	0	8	0	0	33	0	3	0	4	3	3	0	2	5	0	0	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	20	"AWI"	20	6864	7760	7365	12	0	0	17	4	0	38	0	0	0	0	0	0	0	2	9	1	4	0	168	0	0	4	0	1	0	0	0	2	0	0	0	0	17	0	0	12	0	0	0	0	0	6	0	0	23	0	2	0	2	3	3	0	4	6	0	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	50	"AWI"	50	7813	8299	8058	6	0	6	5	2	0	24	18	0	0	0	1	0	0	11	15	0	2	0	57	0	2	2	2	0	0	0	0	2	0	0	0	0	18	0	3	2	0	0	0	0	107	7	0	0	14	0	0	0	2	6	6	0	1	5	1	0	3	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	55	"AWI"	55	7986	8401	8173	2	0	0	6	6	0	24	0	1	0	0	0	3	0	2	19	1	3	0	111	0	0	3	0	0	0	0	0	3	0	0	0	0	12	0	2	0	0	0	0	0	0	2	0	0	16	0	2	0	4	7	8	0	1	5	0	0	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	60	"AWI"	60	8069	8593	8302	4	0	0	2	2	0	16	0	0	0	0	1	0	1	9	15	3	12	0	107	0	0	0	0	1	0	1	0	3	0	0	0	1	12	0	1	1	0	0	0	0	140	3	0	0	11	0	1	0	1	2	9	0	1	12	0	0	10	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	65	"AWI"	65	8167	8762	8437	5	0	0	5	1	0	10	0	0	0	0	0	0	0	2	3	0	5	0	32	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	4	0	0	0	2	2	5	0	1	0	0	0	1	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	75	"AWI"	75	8375	9067	8700	4	0	11	13	11	0	45	16	2	0	0	0	2	0	5	13	4	9	0	32	0	1	4	1	1	0	1	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	17	0	0	30	0	13	0	5	5	17	0	0	1	0	0	0	0	1
3235	4201	"Lignin Lake"	44.10417	6.70861	80	"AWI"	80	8485	9213	8836	13	0	0	4	0	0	20	0	1	1	0	1	0	0	1	5	2	5	0	54	0	3	1	0	1	0	1	0	1	0	0	1	0	2	0	0	2	0	0	0	0	129	5	0	0	22	0	1	0	5	2	8	1	1	6	0	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	85	"AWI"	85	8598	9359	8966	14	0	18	2	9	0	36	19	1	0	0	1	1	0	3	2	3	18	0	45	0	0	9	1	8	0	0	0	0	0	0	0	0	4	0	2	3	149	0	0	0	0	7	0	0	40	0	7	0	4	8	6	0	1	7	1	0	0	0	0
3235	4201	"Lignin Lake"	44.10417	6.70861	90	"AWI"	90	8720	9508	9093	49	0	9	0	4	1	23	0	0	0	0	0	0	0	7	0	1	17	0	21	0	0	8	3	8	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	72	4	0	0	37	0	11	0	3	6	4	0	0	5	1	0	1	0	0
