"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	0	"AWI"	0	-125	38	-47	27	1	25	0	1	0	1	0	56	1	0	0	0	29	8	11	0	24	0	0	0	0	0	5	152	215	3	0	0	0	0	15	0	0	0	0	0	3	2	0	0	0	0	3	1
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	10	"AWI"	10	-6	1059	377	22	2	34	2	2	0	0	0	36	1	0	0	3	28	12	893	0	28	0	0	0	0	0	2	154	240	0	86	0	2	0	26	0	0	0	0	24	0	0	0	0	0	0	2	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	20	"AWI"	20	49	2167	799	200	2	25	1	0	0	2	0	14	0	0	0	0	16	2	58	0	82	1	0	0	0	0	22	104	43	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	2	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	30	"AWI"	30	384	2570	1310	180	0	55	0	0	0	0	0	35	0	0	0	0	30	9	0	0	100	1	1	0	0	0	26	86	27	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	2	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	40	"AWI"	40	606	2934	1846	100	1	32	0	0	0	1	0	15	0	0	0	0	19	4	0	0	116	0	0	0	0	0	23	116	131	2	0	0	0	0	22	0	0	0	0	0	1	0	0	0	0	0	2	2
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	50	"AWI"	50	1219	3257	2313	113	2	46	1	3	0	6	0	64	0	0	0	0	36	5	69	0	108	1	0	0	0	0	8	150	51	0	0	0	1	0	17	0	0	0	1	0	3	0	0	0	0	2	0	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	60	"AWI"	60	1864	3432	2778	100	0	38	0	1	0	2	0	46	0	0	0	0	64	9	0	0	142	4	0	1	0	0	15	123	64	0	0	0	0	0	26	0	0	0	2	0	2	0	0	0	0	0	3	4
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	70	"AWI"	70	2289	3662	3168	151	3	50	0	0	0	1	0	49	0	0	0	1	80	6	0	0	104	0	0	0	0	0	6	73	45	3	0	0	1	0	32	0	0	0	0	1	2	0	0	0	1	3	4	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	80	"AWI"	80	2761	3823	3428	91	0	83	0	0	0	1	0	39	0	0	0	0	86	8	22	0	134	5	0	0	0	0	7	87	17	0	0	0	0	0	30	0	0	0	0	0	1	0	0	0	0	9	5	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	90	"AWI"	90	2948	4186	3643	189	0	29	0	0	0	1	0	23	0	0	0	0	43	4	0	0	65	2	0	0	0	0	0	151	26	0	0	0	1	0	24	0	0	0	0	0	2	0	0	0	0	0	4	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	100	"AWI"	100	3084	4375	3780	105	2	75	0	0	0	0	0	34	0	0	0	0	136	11	0	0	134	5	0	0	0	0	1	100	31	0	0	0	0	0	37	0	0	0	0	0	1	0	0	0	0	6	4	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	110	"AWI"	110	3190	4643	3909	82	1	53	0	1	0	4	0	32	0	0	0	0	67	4	0	0	109	6	0	0	0	0	1	190	40	0	0	0	1	0	28	0	0	0	0	0	1	0	0	0	0	6	4	2
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	120	"AWI"	120	3356	4771	4057	60	1	35	0	0	0	2	0	45	0	0	0	0	84	4	0	0	75	3	0	0	0	0	1	240	30	0	0	0	0	0	27	0	0	0	0	0	0	0	0	3	0	9	5	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	130	"AWI"	130	3466	4966	4200	30	1	38	0	0	0	1	0	41	1	0	0	0	80	2	0	0	85	2	0	0	0	0	1	233	28	0	0	0	0	0	35	0	0	0	0	3	0	0	0	1	0	3	9	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	140	"AWI"	140	3615	5099	4353	13	2	58	0	0	0	2	0	79	0	0	0	0	80	2	59	0	45	4	0	0	0	0	1	227	23	2	0	0	0	0	40	0	0	0	0	0	0	0	0	2	0	3	3	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	150	"AWI"	150	3749	5221	4502	27	3	71	0	1	0	0	0	54	0	0	0	0	190	10	60	0	75	1	0	0	1	0	2	215	45	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	5	3	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	160	"AWI"	160	3884	5366	4642	31	3	53	0	0	0	0	0	36	0	0	0	0	75	17	0	0	60	4	0	0	0	0	0	184	67	0	0	0	0	0	57	0	0	0	0	0	1	0	0	2	0	13	20	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	170	"AWI"	170	4017	5495	4799	20	2	38	0	0	0	0	0	41	0	0	0	0	79	2	0	0	55	5	0	0	0	0	0	300	33	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	10	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	180	"AWI"	180	4157	5649	4948	17	6	82	0	0	1	0	0	71	0	0	0	0	199	13	0	0	29	15	0	0	0	0	0	165	41	0	0	0	0	0	55	0	0	0	1	0	8	0	0	1	0	8	36	1
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	190	"AWI"	190	4326	5733	5107	7	0	55	0	0	0	0	0	37	1	0	0	0	94	5	84	0	32	6	0	0	0	0	0	330	18	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	9	5	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	200	"AWI"	200	4469	5873	5251	4	3	49	0	0	0	0	0	42	0	0	0	0	72	35	416	0	35	7	0	0	0	0	0	300	33	0	0	0	0	0	40	0	2	0	0	1	0	0	0	0	0	9	18	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	210	"AWI"	210	4675	5949	5393	0	2	43	0	0	0	1	0	42	0	0	0	0	138	39	173	0	25	12	0	0	0	0	0	268	28	0	0	0	0	0	45	0	2	0	0	1	0	0	0	1	0	11	22	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	220	"AWI"	220	4807	6083	5537	0	2	19	1	0	0	0	0	200	0	0	0	0	61	8	124	0	11	11	0	0	0	0	0	256	26	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	11	7	1
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	230	"AWI"	230	5081	6158	5679	1	0	30	0	0	0	0	0	200	1	0	0	0	75	6	41	0	9	9	0	0	0	0	1	221	10	0	0	0	0	0	43	0	0	0	0	0	1	0	0	0	0	6	6	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	240	"AWI"	240	5243	6269	5834	1	1	68	0	2	0	0	0	23	0	0	0	0	116	11	0	0	14	17	0	0	0	0	0	300	17	0	0	0	0	0	48	0	1	0	0	0	0	0	0	0	0	15	9	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	250	"AWI"	250	5521	6358	5982	0	0	105	0	6	0	6	0	35	0	0	0	0	288	17	0	0	12	5	0	0	0	0	0	240	20	0	0	0	0	0	70	0	2	0	0	0	2	0	0	0	0	9	12	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	260	"AWI"	260	5736	6490	6144	0	1	40	0	0	0	2	0	34	0	0	0	0	153	50	0	0	4	7	0	0	0	0	0	320	33	0	0	0	1	0	61	0	5	0	0	0	0	0	0	1	0	10	7	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	270	"AWI"	270	5948	6630	6295	0	0	52	0	1	0	2	0	104	0	0	0	0	224	39	0	0	5	19	0	0	2	0	0	190	33	0	0	0	0	0	45	0	6	0	0	0	14	0	0	0	0	25	20	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	280	"AWI"	280	6162	6753	6441	2	3	74	0	0	0	0	0	71	0	0	0	0	312	14	0	0	3	15	0	0	0	0	0	150	56	0	0	0	0	0	61	0	1	0	1	0	2	0	0	0	0	59	5	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	290	"AWI"	290	6342	6931	6614	0	0	60	0	4	3	2	0	86	0	0	1	0	352	35	0	1	1	19	0	0	0	0	0	137	73	0	0	2	1	25	63	0	5	0	1	0	1	0	1	0	0	60	71	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	300	"AWI"	300	6460	7346	6799	0	1	53	0	2	1	3	3	200	0	0	0	0	362	16	11	0	0	9	0	0	0	0	0	74	100	0	0	0	0	4	64	0	4	0	1	0	41	0	0	0	0	56	70	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	310	"AWI"	310	6537	7846	6966	0	2	44	0	2	0	3	0	262	0	0	0	0	472	52	0	0	0	5	0	0	0	0	0	8	114	0	0	1	2	1	67	0	0	0	0	0	4	0	0	0	0	69	65	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	320	"AWI"	320	6639	8110	7161	0	0	17	0	3	0	3	0	168	0	1	0	0	442	124	0	0	0	2	0	0	0	0	0	2	175	0	0	3	0	0	67	0	0	0	0	0	1	0	0	0	0	32	52	0
14642	22973	"Weissenstadter Forst"	50.12786	11.8868	330	"AWI"	330	6699	8565	7336	0	0	2	0	2	1	5	0	65	0	5	0	1	522	169	0	0	0	1	0	0	0	0	0	1	350	0	0	4	2	0	35	0	0	0	1	2	3	0	0	0	0	21	29	1
