"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3194	4150	"King's Pool"	52.807804	-2.109106	100	"AWI"	100	-33	1135	529	13	3	0	0	0	0	0	0	4	0	0	3	0	0	0	8	0	52	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	6	0	0	616	0	0	0	0	23	0	0	0	0	1	1	0	0	0	0	0	2	13	0	0	0
3194	4150	"King's Pool"	52.807804	-2.109106	110	"AWI"	110	74	1157	597	12	10	0	0	0	0	0	0	1	0	0	2	0	0	0	10	0	78	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	378	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
3194	4150	"King's Pool"	52.807804	-2.109106	120	"AWI"	120	144	1182	667	11	2	0	0	0	0	0	0	9	0	0	12	0	3	0	14	0	112	0	0	0	0	0	2	0	7	1	1	0	0	0	0	0	5	0	0	434	0	0	0	0	21	16	0	4	0	1	0	0	0	0	0	0	0	2	1	0	0
3194	4150	"King's Pool"	52.807804	-2.109106	140	"AWI"	140	257	1239	824	12	4	0	0	0	0	0	0	6	0	0	6	0	0	0	19	0	257	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	282	0	0	0	0	38	0	0	3	0	11	0	0	0	0	0	0	0	0	1	0	0
3194	4150	"King's Pool"	52.807804	-2.109106	170	"AWI"	170	555	1373	1048	5	0	0	20	0	0	0	0	14	0	0	0	0	0	0	9	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	13	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
3194	4150	"King's Pool"	52.807804	-2.109106	180	"AWI"	180	752	1404	1118	8	3	0	0	0	0	0	0	7	0	0	9	0	0	0	21	0	115	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	278	0	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
3194	4150	"King's Pool"	52.807804	-2.109106	190	"AWI"	190	939	1444	1187	23	2	0	0	0	0	0	0	4	0	0	0	0	0	0	28	0	84	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	241	0	0	0	0	36	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
3194	4150	"King's Pool"	52.807804	-2.109106	210	"AWI"	210	1135	1586	1346	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	20	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	7	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0
3194	4150	"King's Pool"	52.807804	-2.109106	220	"AWI"	220	1176	1744	1419	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	34	0	172	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	176	0	0	0	0	17	0	0	2	0	7	1	0	0	0	0	0	0	1	1	0	0
3194	4150	"King's Pool"	52.807804	-2.109106	230	"AWI"	230	1258	1814	1505	23	1	1	0	0	0	0	0	2	0	0	0	0	0	0	30	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	246	0	0	0	0	14	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
