"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Salix"	"Tilia"	"Ulmus"
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	410	"AWI"	410	-52	1217	257	17	1	0	2	1	51	2	9	1	16	40	5	2	0	0	0	0
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	420	"AWI"	420	121	1686	675	20	1	0	3	4	39	3	14	1	26	34	11	4	0	1	0	0
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	430	"AWI"	430	330	2087	1086	17	2	0	2	0	33	3	14	1	8	26	10	2	0	0	1	0
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	440	"AWI"	440	583	2450	1492	63	0	0	1	0	67	5	11	2	16	53	10	2	0	1	0	0
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	450	"AWI"	450	935	2794	1906	30	2	0	1	1	97	3	7	3	9	82	7	1	0	1	1	0
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	460	"AWI"	460	1302	3084	2287	34	0	0	0	1	92	5	4	4	7	67	4	3	0	0	1	3
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	470	"AWI"	470	1773	3316	2705	30	0	0	0	2	62	6	7	4	6	79	5	2	0	0	1	3
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	480	"AWI"	480	2223	3549	3104	27	0	0	0	1	77	11	6	3	13	85	10	5	0	0	1	3
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	490	"AWI"	490	3128	3703	3465	26	0	0	3	1	44	2	3	1	21	58	8	2	0	0	1	1
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	500	"AWI"	500	3448	3969	3682	28	0	0	1	0	76	3	5	0	21	67	3	4	0	0	2	5
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	510	"AWI"	510	3555	4181	3844	45	0	0	1	3	87	5	3	1	8	59	4	2	0	0	2	1
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	520	"AWI"	520	3689	4364	4011	19	0	0	1	0	46	3	4	0	18	56	4	2	0	2	1	2
2979	3882	"Åntu Sinijarv"	59.0608	26.24178	530	"AWI"	530	3833	4512	4178	31	0	0	0	1	85	6	4	1	22	57	3	2	0	1	1	6
