"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14530	22767	"Peat-bog Begbunar"	42.15	22.55	0	"AWI"	0	-142	19	-57	5	0	13	5	11	0	5	0	3	4	6	4	0	5	14	0	0	3	11	47	10	0	33	65	2	2	2	0	3	4	0	0	1	0	0	6	0	19	1	2	55	15	129	3	2	32	33	29	11	13	15	3	3	2	5	0	2	6	3	1	3
14530	22767	"Peat-bog Begbunar"	42.15	22.55	5	"AWI"	5	-81	142	21	2	2	5	13	7	2	13	0	15	1	6	11	3	0	18	1	0	6	22	278	12	0	8	115	0	1	2	2	2	8	0	0	0	0	0	11	0	39	2	2	145	27	284	17	1	37	77	0	4	31	3	5	7	0	5	2	1	2	6	2	2
14530	22767	"Peat-bog Begbunar"	42.15	22.55	10	"AWI"	10	-56	317	93	8	2	8	8	27	2	9	185	9	2	15	15	12	0	11	0	0	2	9	111	2	0	21	185	1	1	1	0	6	3	11	0	6	0	0	6	2	22	1	0	35	265	270	5	2	23	25	0	8	38	0	2	5	0	5	0	0	15	11	1	2
14530	22767	"Peat-bog Begbunar"	42.15	22.55	15	"AWI"	15	18	363	183	11	1	15	17	6	0	19	0	4	0	11	6	14	0	23	1	0	0	13	600	5	0	11	230	1	2	0	0	5	2	0	0	0	0	0	3	0	20	0	2	190	55	375	3	2	22	41	0	5	37	0	3	4	0	3	2	1	2	4	0	3
14530	22767	"Peat-bog Begbunar"	42.15	22.55	20	"AWI"	20	57	451	270	21	5	8	4	7	1	12	40	6	0	4	4	3	9	17	0	0	2	11	210	1	0	6	320	0	1	0	0	3	0	13	0	0	1	0	5	0	24	2	0	195	42	655	6	0	26	19	0	3	31	0	3	1	0	7	0	2	1	3	0	3
14530	22767	"Peat-bog Begbunar"	42.15	22.55	25	"AWI"	25	202	712	463	17	4	19	5	17	2	27	94	7	1	11	13	11	4	45	0	5	6	17	270	4	2	13	220	0	1	0	0	5	2	17	0	2	0	0	6	0	26	2	2	77	111	514	5	0	18	39	0	15	33	2	7	8	1	3	0	3	5	5	1	3
14530	22767	"Peat-bog Begbunar"	42.15	22.55	30	"AWI"	30	267	1208	613	8	2	25	8	15	0	33	0	12	2	5	10	3	0	27	2	2	3	21	451	5	0	9	222	2	0	0	0	8	0	17	0	3	0	0	4	1	34	0	1	300	33	546	4	1	42	31	57	6	37	2	3	0	3	8	0	2	2	8	3	3
14530	22767	"Peat-bog Begbunar"	42.15	22.55	35	"AWI"	35	459	1644	957	15	0	12	2	11	1	5	0	11	0	3	3	2	0	17	1	0	2	8	333	3	0	3	240	2	1	0	1	7	2	8	0	2	0	0	2	2	16	0	2	305	12	319	3	2	35	36	0	3	15	0	3	2	0	4	0	5	3	1	0	2
14530	22767	"Peat-bog Begbunar"	42.15	22.55	40	"AWI"	40	557	2371	1264	6	0	17	3	16	2	6	0	4	3	7	11	6	0	15	3	0	5	9	285	3	5	7	287	3	2	0	3	4	1	10	0	3	0	0	0	0	23	0	0	466	7	470	2	0	26	36	0	5	33	0	2	4	0	7	0	2	4	2	0	2
14530	22767	"Peat-bog Begbunar"	42.15	22.55	45	"AWI"	45	862	2560	1647	3	0	23	5	8	0	10	0	10	0	5	1	4	0	7	0	0	4	11	325	4	2	5	225	0	0	0	1	5	1	0	17	0	0	0	2	3	21	0	1	363	6	0	0	0	45	58	0	2	22	0	4	4	2	4	0	1	6	3	1	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	50	"AWI"	50	1018	2941	2010	8	0	15	2	13	0	10	0	8	1	3	2	2	0	15	0	0	13	13	155	2	1	11	138	0	2	0	0	2	0	0	10	1	0	0	0	0	13	0	2	266	9	323	8	0	31	31	0	7	25	0	2	2	1	5	0	2	1	2	0	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	55	"AWI"	55	1449	3066	2354	32	1	35	3	25	0	15	0	31	0	9	3	0	0	37	0	0	11	18	27	3	0	51	175	0	2	1	0	4	0	0	12	2	0	11	0	0	12	0	3	195	22	398	13	3	41	85	0	11	34	2	6	2	0	14	0	6	2	3	2	5
14530	22767	"Peat-bog Begbunar"	42.15	22.55	60	"AWI"	60	1676	3280	2720	11	6	31	3	5	0	13	0	25	2	3	10	0	6	25	0	0	5	15	17	2	0	26	135	0	0	1	0	4	1	0	4	0	0	8	1	0	15	0	2	310	15	490	2	2	33	74	0	10	41	1	4	2	2	10	0	3	4	0	1	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	65	"AWI"	65	2463	3343	3006	15	0	27	5	6	1	11	0	11	0	4	0	2	0	31	2	1	5	11	37	3	0	11	248	1	0	0	0	3	2	0	6	3	0	2	1	0	13	0	0	382	9	404	1	0	38	66	0	4	18	2	5	2	0	4	0	3	2	0	2	1
14530	22767	"Peat-bog Begbunar"	42.15	22.55	70	"AWI"	70	3062	3514	3312	51	5	25	3	13	0	8	65	145	1	11	11	0	6	20	0	0	2	31	62	2	0	17	70	1	0	0	0	0	1	13	7	1	0	3	4	0	20	0	1	155	22	496	5	1	13	71	0	9	51	0	16	0	0	11	1	2	9	2	2	2
14530	22767	"Peat-bog Begbunar"	42.15	22.55	75	"AWI"	75	3340	3733	3549	59	3	15	3	11	0	4	0	255	0	3	2	7	0	8	2	0	3	47	26	1	0	6	16	0	0	1	0	1	2	13	4	1	0	0	3	0	25	0	0	120	4	178	2	1	16	19	0	6	15	0	25	0	0	21	0	6	7	3	0	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	80	"AWI"	80	3446	4163	3791	25	2	25	0	17	0	5	0	165	0	3	2	5	0	5	1	0	0	41	15	3	0	2	9	2	0	0	1	3	0	20	2	7	0	1	1	0	24	0	1	65	3	185	3	0	12	21	0	5	25	0	28	0	1	25	1	8	10	2	1	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	85	"AWI"	85	3811	4305	4040	105	5	35	3	21	1	8	54	175	0	7	1	8	0	15	0	1	1	61	5	2	0	3	21	3	0	0	0	3	1	11	0	3	0	2	4	0	28	0	2	130	8	154	1	0	15	60	0	9	30	0	44	0	2	11	0	7	11	7	3	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	90	"AWI"	90	3970	4675	4282	155	4	45	5	23	0	6	0	67	2	9	4	33	9	21	0	1	4	29	35	3	0	8	18	11	1	1	0	4	2	28	9	8	2	0	11	0	36	2	3	125	11	439	0	1	16	75	0	6	45	0	41	6	3	27	2	11	17	4	13	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	95	"AWI"	95	4131	5321	4556	160	7	31	2	18	1	4	0	12	0	4	3	14	0	24	0	3	5	21	47	2	0	6	17	3	0	0	0	5	2	37	4	10	1	0	2	0	30	0	1	115	7	595	0	2	14	85	0	5	72	0	8	3	7	9	1	21	17	2	5	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	100	"AWI"	100	4214	6193	4795	96	2	35	3	13	0	3	0	5	3	9	6	22	10	25	0	2	3	28	38	0	0	4	5	10	2	0	0	10	0	0	0	11	0	0	2	1	26	2	0	85	7	573	1	2	7	55	0	2	41	0	2	0	5	22	0	11	15	2	1	0
14530	22767	"Peat-bog Begbunar"	42.15	22.55	105	"AWI"	105	4391	6620	5117	150	4	31	2	15	0	3	0	6	2	3	2	14	0	33	0	1	2	19	35	0	0	8	7	2	1	0	0	6	0	0	2	4	0	0	4	0	21	0	0	73	3	376	2	0	8	61	0	3	25	0	3	1	0	9	0	19	17	0	3	0
