"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
23443	40448	"Motta Naluns"	46.81088	10.26429	7	"AWI"	7	26	781	326	1	0	0	0	0	0	0	4	0	3	0	0	1	0	0	0	0	1	391	0	0	0	0	0	0	0	0	0	3	0	4	0	0	33	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
23443	40448	"Motta Naluns"	46.81088	10.26429	13	"AWI"	13	208	1177	639	2	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	2	316	0	0	0	0	1	0	0	0	0	11	0	12	0	0	60	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
23443	40448	"Motta Naluns"	46.81088	10.26429	19	"AWI"	19	386	1397	1010	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	307	0	0	0	5	2	0	0	0	0	5	0	10	0	0	54	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	0
23443	40448	"Motta Naluns"	46.81088	10.26429	26	"AWI"	26	989	1560	1307	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	266	0	0	0	0	4	0	0	0	2	3	0	11	0	0	48	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	1	0	0
23443	40448	"Motta Naluns"	46.81088	10.26429	33	"AWI"	33	1274	1799	1556	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	418	0	0	0	0	2	0	0	0	1	3	0	20	0	0	100	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0
23443	40448	"Motta Naluns"	46.81088	10.26429	40	"AWI"	40	1400	2053	1718	0	0	13	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	412	0	0	0	0	0	0	0	0	0	3	0	7	0	0	36	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0
23443	40448	"Motta Naluns"	46.81088	10.26429	47	"AWI"	47	1649	2172	1883	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	591	0	0	0	0	1	0	0	0	0	9	0	7	0	0	30	0	0	0	0	0	0	1	11	0	0	0	0	0	1	0	0	0	0
23443	40448	"Motta Naluns"	46.81088	10.26429	54	"AWI"	54	1796	2347	2060	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	547	0	0	0	0	4	0	0	0	1	12	1	6	0	0	42	0	0	0	0	0	4	3	52	0	0	1	0	0	1	0	0	0	0
23443	40448	"Motta Naluns"	46.81088	10.26429	61	"AWI"	61	1910	2635	2231	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	0	0	0	0	0	0	1	0	0	6	0	2	0	0	18	0	0	0	4	0	1	2	5	0	0	0	0	0	0	0	1	0	0
23443	40448	"Motta Naluns"	46.81088	10.26429	67	"AWI"	67	2048	2759	2398	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1173	0	0	0	0	1	0	0	0	0	4	0	9	0	0	23	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0
