"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"	"Zygophyllaceae"
23495	40569	"Bibersee"	47.20675	8.46541	60	"AWI"	60	1141	2134	1742	35	0	91	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	90	0	0	0	0	0	52	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	1	94	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	65	"AWI"	65	1360	2186	1883	39	0	78	3	0	0	1	1	0	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	76	0	0	53	0	0	0	0	0	74	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	1	0	0	107	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	70	"AWI"	70	1535	2272	2016	18	0	114	0	0	0	0	1	0	0	47	0	1	0	0	0	0	0	0	0	0	0	0	0	80	0	0	34	0	0	0	0	0	133	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	1	0	1	54	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	75	"AWI"	75	1904	2304	2138	9	0	208	2	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	48	0	0	0	0	0	27	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	1	0	0	52	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	80	"AWI"	80	2085	2445	2276	12	0	0	0	0	0	0	4	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	55	0	0	0	0	0	56	2	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	92	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	85	"AWI"	85	2174	2596	2388	31	0	111	1	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	40	0	0	0	0	0	62	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	69	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	90	"AWI"	90	2224	2786	2489	19	0	94	0	0	0	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	46	0	0	0	0	0	49	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	87	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	95	"AWI"	95	2398	2920	2622	39	1	105	1	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	17	0	0	0	0	0	83	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0
23495	40569	"Bibersee"	47.20675	8.46541	100	"AWI"	100	2638	2974	2791	50	0	241	0	0	0	0	2	0	0	70	0	1	0	0	0	0	0	0	0	0	0	0	0	161	0	0	103	0	0	0	0	0	190	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	10	0	1	140	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0
23495	40569	"Bibersee"	47.20675	8.46541	105	"AWI"	105	2757	3079	2947	50	0	110	0	0	0	3	1	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	15	0	0	0	0	0	108	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
