"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Loranthaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Pyrus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
14635	22955	"Tlstá hora"	48.89417	17.88861	33	"AWI"	33	18	434	214	7	0	14	18	1	0	4	0	15	0	6	0	4	0	0	0	16	244	0	0	0	27	0	5	0	0	2	56	0	0	2	1	0	0	0	13	25	220	0	0	0	0	0	0	1	96	0	0	2	0	5	1	0	0	0	3	0	1	2	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	36	"AWI"	36	26	468	238	15	0	7	2	1	0	1	0	19	0	8	0	6	0	0	0	21	244	0	0	0	27	0	2	0	1	2	79	0	0	0	0	0	0	0	6	23	181	14	0	0	0	0	0	0	122	0	0	0	11	5	0	0	0	1	1	0	1	3	1	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	40	"AWI"	40	53	503	270	5	0	13	4	3	0	5	0	12	0	7	0	2	0	0	0	16	346	0	0	0	36	0	4	0	3	4	47	4	0	1	0	0	0	0	4	23	201	15	0	0	0	1	0	0	127	0	0	1	12	8	0	0	0	0	1	0	0	3	0	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	45	"AWI"	45	99	524	310	10	0	5	8	0	0	6	0	14	0	2	0	1	0	0	0	19	315	0	0	0	54	0	3	0	3	2	34	0	0	0	0	0	0	0	10	16	220	16	0	0	0	0	1	0	113	0	0	5	0	5	0	0	0	0	0	0	0	2	1	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	50	"AWI"	50	129	548	354	14	0	7	5	0	0	3	0	12	0	7	0	2	13	0	0	24	362	0	0	0	50	0	7	0	3	4	30	0	0	0	0	0	0	0	8	13	220	18	0	0	0	0	2	0	108	0	0	5	0	5	1	0	0	0	0	0	1	2	1	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	54	"AWI"	54	149	578	387	21	0	18	3	4	0	9	0	10	0	4	0	0	0	0	2	14	262	0	0	0	84	0	1	0	4	3	13	0	0	0	0	0	0	0	7	21	238	12	0	0	0	0	0	0	56	0	0	6	4	13	0	0	0	0	0	0	4	2	2	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	57	"AWI"	57	161	607	410	27	1	19	4	7	0	8	0	9	0	3	0	0	0	0	1	19	191	0	0	0	95	2	2	0	0	2	16	0	0	1	0	0	0	0	16	18	200	22	0	0	0	0	0	0	67	0	0	2	0	17	0	0	0	0	0	0	4	1	2	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	59	"AWI"	59	196	615	424	42	2	10	2	3	0	5	0	10	0	4	0	0	0	0	0	23	258	0	0	0	77	0	0	0	4	5	6	0	0	2	0	0	0	0	7	24	236	21	0	0	0	0	1	0	53	0	0	4	0	13	0	0	1	0	0	0	1	1	3	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	64	"AWI"	64	279	635	460	27	0	14	2	4	0	3	0	11	0	2	0	1	0	0	1	12	184	0	0	0	56	0	4	0	0	2	14	0	0	0	0	0	0	0	8	19	161	21	0	0	0	0	1	0	67	0	0	3	0	17	0	0	0	0	0	0	0	1	5	0	0
14635	22955	"Tlstá hora"	48.89417	17.88861	69	"AWI"	69	350	659	497	38	0	4	3	0	0	1	0	13	0	1	0	2	0	0	0	5	160	0	0	0	45	0	1	0	0	1	10	0	0	0	0	0	0	0	10	35	284	5	0	0	0	0	0	0	48	0	0	0	0	5	1	0	0	0	0	0	2	5	1	0	0
