"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Urticaceae"	"Viburnum"	"Vitaceae"
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	16.5	"AWI"	16.5	86	476.5	266.5	2	0	3	1	5	0	6	0	2	5	1	0	0	0	9	0	0	1	6	5	0	149	1	0	12	0	0	0	0	1	0	2	0	0	0	15	0	6	0	1	0	0	34	6	1	0	0	7	5	1	0	0	0	1	1	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	18	"AWI"	18	112	496	297	1	2	8	3	11	0	3	0	6	2	0	0	0	2	10	0	0	0	6	6	1	113	0	0	4	0	0	0	0	0	0	2	0	0	1	2	0	8	0	1	0	0	24	3	4	0	0	4	7	1	0	0	0	1	0	0	1
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	20	"AWI"	20	136	536	337	2	0	3	1	7	0	1	0	2	0	0	0	0	2	6	0	0	0	3	7	0	130	0	0	12	0	0	0	0	2	0	3	0	0	0	16	0	7	92	0	0	0	26	5	1	0	0	2	11	0	0	0	0	0	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	22	"AWI"	22	189	556	380	2	0	4	3	10	1	4	0	3	2	0	4	0	0	5	0	0	0	4	4	1	100	1	9	3	1	0	0	0	2	0	5	0	0	0	4	0	14	0	0	0	0	22	3	7	0	0	5	11	0	0	0	0	1	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	24	"AWI"	24	221	586	424	0	0	5	2	10	1	8	0	7	5	0	0	0	0	5	0	0	0	6	15	0	118	0	0	13	0	0	0	0	1	0	5	0	0	0	6	0	14	95	1	0	0	31	3	2	0	0	1	12	1	0	0	0	0	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	26	"AWI"	26	273	614	467	0	0	3	1	4	0	4	0	7	1	0	1	0	0	9	0	0	0	7	12	1	118	0	0	19	0	0	0	0	1	0	2	0	0	0	14	0	6	0	0	0	0	24	1	3	0	0	1	6	0	0	0	1	0	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	28	"AWI"	28	328	631	512	2	0	14	2	6	0	5	0	8	2	1	0	0	2	14	0	0	0	14	12	0	144	0	0	24	0	0	0	0	3	0	3	0	0	0	6	0	6	124	1	0	0	59	8	6	0	0	1	7	2	0	0	1	1	1	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	30	"AWI"	30	366	660	556	0	0	6	0	5	0	5	0	4	0	0	2	0	2	2	0	0	0	7	12	1	105	0	0	18	0	1	0	0	2	0	1	0	0	0	2	0	9	0	0	0	0	24	2	2	0	0	1	8	2	0	0	2	1	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	32	"AWI"	32	462	675	595	0	0	8	1	2	0	5	0	21	3	0	0	0	0	4	0	0	1	15	15	0	53	0	0	21	0	0	0	0	2	2	1	0	0	0	6	0	11	136	1	0	0	58	3	5	0	0	1	14	1	0	0	1	1	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	34	"AWI"	34	540	700	637	1	0	7	1	5	0	6	0	17	1	0	1	0	3	8	0	0	0	19	22	1	58	0	0	17	0	0	0	0	1	0	2	1	0	0	5	0	8	0	0	0	0	19	10	9	0	0	2	10	0	0	0	0	2	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	36	"AWI"	36	582	747	679	1	1	8	1	2	0	8	0	55	1	1	1	0	0	0	0	0	1	25	8	0	45	0	0	47	0	0	1	0	2	0	1	0	0	0	3	0	0	98	0	0	0	42	0	9	0	0	2	1	5	0	0	0	4	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	38	"AWI"	38	601	853	717	1	0	10	1	4	0	1	0	65	3	0	0	0	0	0	0	0	0	24	12	0	19	1	0	38	0	0	0	0	2	0	1	0	0	1	5	0	0	0	0	0	0	42	0	5	0	0	1	3	6	0	0	0	5	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	40	"AWI"	40	617	970	757	1	0	7	0	1	0	3	0	47	0	0	1	0	2	0	0	0	0	39	7	0	0	0	0	48	0	0	0	0	1	0	1	0	0	0	3	0	0	85	0	0	0	43	5	3	0	0	2	1	3	0	0	0	1	0	1	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	42	"AWI"	42	669	1015	812	1	0	6	1	1	1	1	0	61	1	0	0	0	0	0	0	0	0	21	3	0	16	0	0	50	0	0	0	0	1	0	3	1	0	0	2	2	0	0	0	0	0	37	7	3	0	0	1	5	9	0	0	2	2	0	1	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	44	"AWI"	44	698	1077	863	2	0	12	1	2	1	0	0	77	0	0	0	0	0	0	0	0	1	45	4	0	15	0	0	48	0	0	0	0	0	0	1	0	0	0	2	0	4	87	0	0	0	48	2	8	0	0	1	4	17	0	0	0	2	0	0	0
16375	25470	"Tourbière de Gatimort"	43.57528	2.78556	46	"AWI"	46	736	1140	913	1	0	7	1	5	0	2	0	64	1	0	0	0	0	0	0	0	0	30	4	1	12	0	0	49	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	47	3	2	1	0	0	0	22	0	0	0	1	0	0	1
