"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3381	40574	"Rotsee"	47.07556	8.32556	572	"AWI"	572	6950	8171	7445	8	3	18	0	4	3	2	0	5	0	0	0	0	110	27	0	0	0	0	0	1	37	0	0	0	0	0	0	45	0	17	0	0	51	1	0	0	0	0	1	0	0	95	57	1	1
3381	40574	"Rotsee"	47.07556	8.32556	556	"AWI"	556	6846	8098	7354	16	3	27	0	1	7	1	0	15	1	0	0	0	123	11	0	0	0	0	0	0	20	0	2	0	0	0	0	32	0	17	0	0	71	2	0	0	0	0	1	0	0	137	62	0	0
3381	40574	"Rotsee"	47.07556	8.32556	588	"AWI"	588	7016	8264	7532	4	2	18	0	1	8	0	0	9	0	0	0	0	203	56	0	0	0	0	0	0	18	0	1	0	0	0	0	30	0	14	0	0	45	0	0	0	0	0	0	0	0	76	53	3	1
3381	40574	"Rotsee"	47.07556	8.32556	540	"AWI"	540	6768	7977	7267	21	2	46	0	2	4	3	0	11	2	1	0	0	99	22	0	0	0	0	1	2	34	0	2	0	0	0	0	50	0	33	0	0	57	2	0	0	0	2	0	0	1	115	69	3	0
3381	40574	"Rotsee"	47.07556	8.32556	524	"AWI"	524	6725	7869	7176	26	6	54	0	0	6	1	0	28	1	0	0	0	116	23	0	0	0	0	2	3	24	0	1	0	0	0	0	37	0	8	0	0	70	2	0	0	1	2	0	0	0	110	49	1	0
3381	40574	"Rotsee"	47.07556	8.32556	606	"AWI"	606	7142	8409	7656	6	3	27	0	1	5	1	0	13	0	0	0	0	187	21	0	0	0	0	0	2	19	0	2	0	0	0	0	45	0	18	0	0	58	1	0	1	1	4	2	0	0	70	58	3	1
3381	40574	"Rotsee"	47.07556	8.32556	508	"AWI"	508	6643	7787	7084	30	1	43	0	1	8	1	0	15	2	1	0	0	114	21	0	0	0	0	2	3	33	0	1	0	0	0	0	51	0	10	0	0	87	0	0	0	1	5	0	0	0	101	53	0	1
3381	40574	"Rotsee"	47.07556	8.32556	620	"AWI"	620	7239	8526	7769	3	3	32	0	3	4	0	0	22	2	0	0	0	226	28	0	0	0	0	0	0	20	0	1	0	0	0	0	34	0	15	0	0	88	0	0	0	0	2	2	0	0	79	61	2	0
3381	40574	"Rotsee"	47.07556	8.32556	492	"AWI"	492	6599	7600	7002	60	4	51	0	0	7	1	0	18	1	0	0	0	155	15	0	0	1	0	7	0	69	0	1	0	0	0	2	37	0	17	0	0	99	1	0	0	0	2	1	0	0	101	64	1	0
3381	40574	"Rotsee"	47.07556	8.32556	636	"AWI"	636	7296	8723	7899	1	3	24	0	1	3	1	0	17	0	0	0	0	225	28	0	0	0	0	0	0	37	0	2	0	0	0	0	37	0	26	0	0	59	0	0	1	1	1	0	0	0	83	73	2	0
3381	40574	"Rotsee"	47.07556	8.32556	476	"AWI"	476	6554	7450	6914	50	3	42	0	1	4	2	0	18	1	1	0	0	125	33	0	0	1	0	3	0	45	0	1	0	0	0	0	46	0	11	0	0	84	2	0	0	1	0	1	0	0	74	68	2	0
3381	40574	"Rotsee"	47.07556	8.32556	460	"AWI"	460	6478	7344	6825	199	4	51	0	0	2	0	0	15	1	0	0	0	102	26	0	0	2	0	16	0	28	0	1	0	0	0	0	31	0	18	0	0	68	1	0	0	1	3	0	0	0	67	43	1	0
3381	40574	"Rotsee"	47.07556	8.32556	652	"AWI"	652	7428	8837	8031	1	0	24	0	0	3	0	0	21	0	0	0	0	222	21	0	0	0	0	0	0	19	1	4	0	0	0	0	47	0	36	0	0	83	2	0	0	0	3	3	0	0	71	54	1	0
3381	40574	"Rotsee"	47.07556	8.32556	444	"AWI"	444	6420	7103	6741	220	3	65	0	2	2	2	0	12	1	0	0	0	98	32	0	0	1	0	31	0	30	0	0	0	0	0	0	23	0	16	0	0	73	1	0	0	1	3	0	0	0	49	53	3	0
3381	40574	"Rotsee"	47.07556	8.32556	668	"AWI"	668	7562	8954	8174	1	6	15	0	2	8	1	0	24	0	0	0	0	276	28	0	0	0	0	0	0	28	0	2	0	0	0	0	51	0	13	0	0	79	1	0	1	4	3	0	0	1	62	58	2	0
3381	40574	"Rotsee"	47.07556	8.32556	428	"AWI"	428	6366	6896	6654	227	1	80	0	1	0	0	0	5	0	0	0	0	23	45	0	0	0	0	24	2	11	0	2	0	0	0	4	5	0	2	0	0	19	0	0	0	1	3	0	0	0	16	9	3	1
3381	40574	"Rotsee"	47.07556	8.32556	412	"AWI"	412	6254	6801	6548	326	1	142	0	1	1	0	0	10	0	0	0	0	50	34	0	0	0	0	53	1	15	0	6	0	0	0	11	20	0	29	0	0	32	5	0	0	2	2	0	0	1	5	7	1	1
3381	40574	"Rotsee"	47.07556	8.32556	684	"AWI"	684	7653	9143	8313	0	2	20	0	1	3	1	0	31	0	0	0	0	217	9	0	0	0	0	0	0	10	0	1	0	0	0	0	45	0	18	0	0	59	1	0	0	0	3	0	0	0	104	62	3	0
3381	40574	"Rotsee"	47.07556	8.32556	700	"AWI"	700	7811	9276	8466	0	4	24	0	1	6	0	0	32	0	0	0	0	217	8	0	0	0	0	0	0	11	0	0	0	0	0	0	77	0	21	0	0	51	2	0	0	0	3	1	0	0	75	56	2	0
3381	40574	"Rotsee"	47.07556	8.32556	716	"AWI"	716	7917	9419	8626	0	1	22	0	3	5	2	0	25	0	0	0	0	321	10	0	0	0	0	0	1	9	0	1	0	0	0	0	92	0	38	0	0	57	1	0	0	0	2	1	0	0	60	49	1	0
3381	40574	"Rotsee"	47.07556	8.32556	732	"AWI"	732	8009	9636	8767	0	9	31	1	1	13	0	0	27	0	0	0	0	408	17	0	0	0	0	0	0	5	0	4	0	0	0	0	67	0	36	0	0	77	0	0	0	1	2	2	0	0	77	57	3	0
3381	40574	"Rotsee"	47.07556	8.32556	748	"AWI"	748	8189	9764	8926	0	2	26	0	0	8	1	0	40	1	0	0	0	314	10	1	0	0	0	0	0	3	0	1	2	0	0	0	70	0	23	0	0	60	1	0	0	1	2	2	0	1	45	51	1	0
3381	40574	"Rotsee"	47.07556	8.32556	764	"AWI"	764	8331	9915	9082	1	4	20	0	0	8	5	0	31	0	0	0	0	431	7	0	0	0	0	0	1	0	0	4	0	0	0	0	91	0	27	0	0	63	1	0	1	2	2	1	0	2	36	41	1	0
3381	40574	"Rotsee"	47.07556	8.32556	780	"AWI"	780	8449	10135	9239	0	1	26	0	2	7	1	0	34	0	0	0	0	370	6	0	0	0	0	0	0	2	0	2	3	0	1	0	67	0	28	0	0	85	3	0	0	1	1	2	0	0	28	34	0	0
