"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Lentibulariaceae"	"Linaceae"	"Lythraceae"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14471	22656	"Bobrov"	49.447508	19.558798	1	"AWI"	1	-108	54	-19	5	0	15	0	1	0	0	6	0	0	0	0	0	0	4	344	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	171	175	0	48	0	1	2	0	0	0	0	15	0	2	3	0	0	1	0
14471	22656	"Bobrov"	49.447508	19.558798	10	"AWI"	10	8	347	162	18	0	11	0	1	1	0	6	2	0	0	0	0	0	2	1039	0	0	0	0	0	0	65	0	1	0	0	0	0	0	0	0	137	167	0	90	0	1	1	0	3	6	0	10	1	3	3	0	0	1	0
14471	22656	"Bobrov"	49.447508	19.558798	15	"AWI"	15	108	421	272	13	0	25	2	1	1	0	11	0	0	1	4	0	0	5	702	0	0	2	0	1	1	34	0	5	1	1	0	0	0	0	1	92	194	4	143	0	0	4	0	6	0	0	12	4	14	1	0	0	1	0
14471	22656	"Bobrov"	49.447508	19.558798	20	"AWI"	20	225	482	376	30	0	35	0	2	2	0	13	0	0	0	0	0	0	10	586	0	0	4	0	3	0	16	0	2	0	0	0	0	0	0	0	146	148	0	120	0	0	1	0	6	0	0	4	3	10	0	0	1	3	6
14471	22656	"Bobrov"	49.447508	19.558798	25	"AWI"	25	380	724	541	29	0	44	3	1	3	0	18	2	0	0	0	0	0	7	46	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	2	240	86	5	0	0	0	1	0	5	0	0	1	1	4	0	0	0	1	0
14471	22656	"Bobrov"	49.447508	19.558798	30	"AWI"	30	595	954	773	26	0	76	1	2	3	0	13	0	0	0	0	0	0	10	27	0	0	6	0	1	0	1	0	0	0	0	0	0	0	1	0	228	82	0	0	0	0	0	0	2	0	0	2	0	1	0	0	4	2	0
14471	22656	"Bobrov"	49.447508	19.558798	35	"AWI"	35	913	2027	1308	23	1	120	1	1	2	0	13	0	0	0	0	0	0	6	8	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	1	226	58	0	0	0	0	2	0	3	0	0	0	0	3	0	0	2	3	0
14471	22656	"Bobrov"	49.447508	19.558798	40	"AWI"	40	1312	2623	2065	18	1	93	0	0	3	0	13	0	0	0	0	0	0	12	18	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	2	295	67	0	0	0	0	0	0	5	0	0	0	0	3	0	1	4	3	0
14471	22656	"Bobrov"	49.447508	19.558798	45	"AWI"	45	2437	2903	2725	32	0	63	0	0	1	0	10	0	0	0	0	0	0	10	12	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	1	290	48	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	4	0
14471	22656	"Bobrov"	49.447508	19.558798	50	"AWI"	50	2955	4558	3757	17	0	64	0	0	0	0	8	0	0	0	0	0	0	12	19	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	1	318	56	0	0	0	0	3	0	2	0	0	1	0	0	0	0	3	12	0
14471	22656	"Bobrov"	49.447508	19.558798	55	"AWI"	55	4623	5224	4932	3	0	39	0	0	0	0	6	0	0	0	0	0	0	24	25	0	0	1	0	4	0	4	0	0	0	0	0	0	0	0	0	343	85	0	0	0	0	3	0	1	0	0	0	1	1	0	0	10	24	0
14471	22656	"Bobrov"	49.447508	19.558798	60	"AWI"	60	5134	6966	6008	0	0	30	0	0	0	0	5	0	0	0	0	0	0	24	29	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	285	78	0	0	0	0	1	0	2	0	0	0	1	0	0	0	12	21	0
14471	22656	"Bobrov"	49.447508	19.558798	65	"AWI"	65	6702	7383	7156	0	2	20	0	1	0	0	4	0	0	0	0	0	0	28	78	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	255	63	0	0	0	0	1	0	3	0	0	3	7	2	0	0	7	26	0
14471	22656	"Bobrov"	49.447508	19.558798	70	"AWI"	70	7091	7669	7436	0	0	19	0	1	1	0	34	0	0	0	0	0	0	34	94	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	247	63	0	0	0	0	2	0	5	0	0	2	1	3	0	0	11	23	0
14471	22656	"Bobrov"	49.447508	19.558798	75	"AWI"	75	7339	7818	7602	0	0	16	0	0	0	0	21	0	0	0	0	0	0	21	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	112	0	0	0	0	6	0	1	0	0	0	0	0	0	0	4	14	0
