"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	0	"AWI"	0	-135	25	-50	3	3	0	0	0	216	0	0	3	18	0	9	0	9	0	8	142	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	3	"AWI"	3	-105	90	-13	6	1	0	4	0	244	0	0	2	38	0	18	0	16	0	10	148	0	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	6	"AWI"	6	-86	191	20	4	1	0	2	0	262	0	1	0	27	0	13	0	12	0	14	117	0	0	0	1	0	0	0	0	0	0	1	0	5	0	0	0
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	12	"AWI"	12	-50	367	91	9	1	0	0	0	271	0	1	1	28	0	26	0	13	0	6	114	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	18	"AWI"	18	-15	476	172	4	1	0	3	0	193	0	0	1	19	0	0	0	13	0	10	112	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	24	"AWI"	24	42	570	251	4	1	0	5	0	273	0	1	6	18	0	18	0	20	0	1	115	0	0	4	0	0	1	0	0	0	0	3	0	1	0	0	1
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	30	"AWI"	30	76	688	328	4	1	0	2	0	228	0	0	0	25	0	14	0	24	0	8	151	0	0	0	0	0	0	0	0	0	0	5	0	0	2	2	0
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	33	"AWI"	33	117	719	369	2	0	0	0	0	250	0	0	1	22	0	0	0	11	0	12	183	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	36	"AWI"	36	143	759	410	4	0	0	1	0	215	0	0	4	15	0	16	0	6	0	6	112	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
24041	41764	"Lake Skaidejavri"	70.0508	27.846082	39	"AWI"	39	165	817	451	4	0	0	4	0	252	0	0	2	28	0	24	0	12	0	6	167	0	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0
