"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	20	"AWI"	20	-77	419	75	0	3	1	0	0	1	0	1	0	3	0	0	1	0	13	12	0	0	0	0	0	0	0	1	0	0	1	144	1	32	0	0	3	0	0	0	0	0	1	0	0	3	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	89	"AWI"	89	317	1103	643	0	2	2	0	0	0	0	0	0	0	0	2	1	0	14	117	8	0	0	0	2	0	0	0	0	0	0	6	5	63	1	0	22	0	0	0	0	0	0	0	0	0	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	101	"AWI"	101	393	1220	738	0	2	1	0	0	0	0	0	2	0	0	0	0	0	16	73	14	0	0	1	0	1	0	1	0	0	0	6	0	58	0	0	17	3	0	0	0	0	0	2	0	0	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	110	"AWI"	110	550	1309	880	0	7	1	0	0	0	0	0	1	0	0	1	0	0	15	124	9	0	0	1	0	0	0	0	0	0	0	5	1	80	0	1	24	2	0	0	0	1	0	1	0	1	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	120	"AWI"	120	626	1448	1036	0	2	1	1	1	0	0	1	0	0	0	0	1	0	13	142	19	0	0	1	1	0	1	2	0	0	0	12	1	41	0	0	12	2	0	0	1	1	2	1	0	1	1	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	130	"AWI"	130	920	1541	1229	0	4	5	1	0	0	0	7	2	2	1	0	0	1	41	34	18	0	0	3	1	2	2	1	0	0	0	17	4	60	1	0	20	0	0	1	1	0	0	1	0	0	1	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	140	"AWI"	140	1142	1650	1446	0	5	0	0	0	0	0	0	0	1	0	0	0	0	4	130	18	0	0	7	0	0	0	2	0	0	1	7	3	0	0	1	39	0	3	0	2	0	0	1	0	2	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	150	"AWI"	150	1401	1766	1599	0	3	0	0	0	0	0	0	0	1	0	0	0	0	10	143	16	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	28	2	3	0	0	0	0	0	0	0	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	160	"AWI"	160	1525	1986	1746	2	5	0	0	0	2	0	0	0	1	0	0	0	0	26	80	12	0	0	3	0	0	0	1	0	0	0	0	1	0	1	0	28	1	2	0	1	0	0	0	0	0	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	170	"AWI"	170	1681	2132	1863	0	4	1	0	0	0	0	0	1	2	0	0	0	0	13	114	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	16	6	2	0	1	0	0	0	0	1	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	180	"AWI"	180	1792	2247	1970	1	1	0	0	0	0	0	0	1	1	0	2	1	0	5	50	31	0	0	4	0	0	1	4	0	0	0	13	1	0	2	0	19	1	1	0	1	0	1	0	0	2	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	190	"AWI"	190	2206	2742	2478	1	12	2	0	0	0	0	0	1	5	0	1	3	2	12	130	8	0	0	2	0	2	2	0	0	0	1	0	1	0	1	0	14	1	1	0	2	0	5	1	1	3	1	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	200	"AWI"	200	2554	3563	3146	0	34	0	0	0	0	0	0	0	3	0	0	0	0	17	44	31	0	0	6	0	0	0	2	1	0	0	3	1	0	4	1	44	0	1	0	0	0	5	0	0	2	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	210	"AWI"	210	3309	3953	3662	0	108	2	0	0	1	0	0	3	6	2	0	1	0	19	38	3	0	0	1	0	0	1	1	0	2	0	3	2	0	4	2	24	1	5	0	2	0	18	0	0	0	0	1
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	220	"AWI"	220	3764	4527	4117	0	76	1	0	0	0	0	3	0	2	0	0	0	0	37	11	5	0	0	0	0	0	0	1	0	0	0	11	1	0	2	2	44	0	0	0	0	0	2	0	1	1	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	230	"AWI"	230	4065	4937	4441	2	192	2	0	0	0	0	0	1	2	0	0	0	0	21	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	44	0	3	1	0	3	8	1	1	0	1	1
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	240	"AWI"	240	4317	5087	4707	0	54	5	0	0	0	0	3	0	5	0	0	0	0	10	6	8	0	0	0	0	0	0	0	0	0	0	14	0	0	6	3	82	4	1	0	0	0	1	1	0	3	2	2
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	250	"AWI"	250	4827	5290	5018	0	107	2	1	0	0	0	1	0	3	0	0	0	0	17	17	0	0	0	0	0	0	0	1	0	0	0	5	1	0	4	4	23	1	1	0	0	0	19	0	0	2	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	260	"AWI"	260	4965	6019	5406	0	59	4	2	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0	1	0	0	0	9	1	0	3	1	71	4	3	0	0	0	3	0	0	1	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	270	"AWI"	270	5229	6509	5782	0	62	2	1	0	0	0	3	0	1	1	0	0	0	8	38	2	0	0	0	0	0	1	1	1	0	0	13	2	0	0	4	54	0	3	0	0	1	0	0	0	1	2	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	280	"AWI"	280	5447	6813	6186	0	4	2	3	1	0	0	4	0	0	0	0	2	1	22	55	5	0	0	0	0	2	0	1	0	0	0	6	2	0	0	0	73	0	0	0	0	1	5	0	1	4	1	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	290	"AWI"	290	5945	7145	6549	1	8	2	0	0	0	0	1	0	5	0	0	1	0	16	31	0	0	0	0	0	2	0	1	1	0	2	0	2	0	1	0	120	7	1	0	1	2	5	0	1	1	5	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	300	"AWI"	300	6382	7493	6944	0	2	3	0	0	0	0	2	1	1	0	0	0	1	10	46	6	0	0	0	0	2	0	0	0	0	0	23	0	0	0	0	105	3	2	0	1	6	6	0	1	5	0	0
3428	4441	"Le Marais de la Perge (South)"	45.3825	-1.115	305	"AWI"	305	6478	7889	7128	1	4	3	1	0	0	0	0	0	1	0	0	2	0	8	27	6	0	0	0	0	3	0	2	1	0	0	30	0	0	0	0	94	3	0	0	3	4	2	0	0	4	0	0
