"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
16672	26505	"Lindenmoos"	47.508732	12.042238	20	"AWI"	20	42	1294	561	24	5	96	0	0	9	1	2	0	0	25	0	1	1	0	0	0	3	0	55	108	1	0	0	5	50	0	1	0	0	0	1	2	0	0	0	0	148	153	0	140	0	0	23	0	0	1	6	1	1	0	0	3	1	0	0	5	0
16672	26505	"Lindenmoos"	47.508732	12.042238	30	"AWI"	30	77	1944	842	40	2	81	1	0	1	2	1	0	0	64	0	3	0	0	0	0	0	0	57	74	2	0	0	0	76	0	3	0	0	0	3	1	0	2	0	0	173	156	0	125	0	0	40	0	0	2	22	7	1	0	0	2	0	1	0	0	0
16672	26505	"Lindenmoos"	47.508732	12.042238	40	"AWI"	40	113	2591	1127	24	2	67	0	0	2	0	0	0	0	36	0	5	0	0	0	0	1	0	29	60	0	0	0	0	33	0	3	0	0	0	0	0	0	1	0	0	48	129	0	205	0	0	24	0	0	1	13	43	0	0	0	0	0	0	1	3	0
16672	26505	"Lindenmoos"	47.508732	12.042238	50	"AWI"	50	304	3017	1420	70	0	67	0	0	2	0	3	0	0	24	0	2	0	0	0	0	0	0	26	19	0	0	0	0	163	0	3	0	0	0	0	0	0	0	0	0	124	68	0	36	0	0	8	0	0	0	1	1	0	0	0	0	0	1	0	3	0
16672	26505	"Lindenmoos"	47.508732	12.042238	60	"AWI"	60	583	3134	1722	162	1	71	0	0	1	0	0	0	0	34	0	0	0	0	0	0	1	0	24	20	0	0	0	0	249	0	4	0	0	0	1	0	0	0	0	0	102	39	0	32	0	0	8	0	0	0	1	0	0	0	0	1	0	1	0	6	1
16672	26505	"Lindenmoos"	47.508732	12.042238	70	"AWI"	70	749	3243	2051	150	1	46	0	0	0	0	3	0	0	18	1	0	0	0	0	0	0	0	15	2	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	74	27	0	0	0	0	16	0	0	0	1	1	0	0	0	0	0	0	0	6	0
16672	26505	"Lindenmoos"	47.508732	12.042238	80	"AWI"	80	922	3427	2373	38	0	102	0	0	1	0	1	0	0	325	0	0	0	0	0	0	0	0	191	5	0	0	0	0	64	0	5	0	0	0	0	0	0	0	0	0	143	129	0	21	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0
16672	26505	"Lindenmoos"	47.508732	12.042238	90	"AWI"	90	1058	3697	2664	59	1	62	0	0	4	0	3	0	0	25	0	1	0	0	0	0	2	0	55	1	0	0	0	7	107	0	1	0	0	0	0	0	0	0	0	0	47	55	0	384	0	0	9	0	0	0	3	3	0	0	0	4	0	1	0	5	0
16672	26505	"Lindenmoos"	47.508732	12.042238	100	"AWI"	100	1782	3857	2988	56	1	79	1	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	63	4	0	0	0	0	135	0	3	0	0	0	0	0	0	0	0	0	153	22	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	2	0	3	0
16672	26505	"Lindenmoos"	47.508732	12.042238	110	"AWI"	110	2584	4011	3317	104	1	107	0	0	5	0	9	0	0	32	0	0	0	0	0	0	0	0	59	4	0	0	0	0	189	0	2	0	0	0	0	0	0	0	0	0	113	34	0	52	0	0	18	0	0	0	3	1	0	0	0	0	0	0	0	2	0
