"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Adoxaceae"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3430	4443	"Solnechnoe"	65.83333	34.33333	10	"AWI"	10	-106	126	-4	0	0	0	0	0.615384615384615	0	35.0769230769231	0	0	0	0.923076923076923	0	20.4615384615385	0	2.92307692307692	38.7692307692308	0	0.615384615384615	0	0	0	0	0	0.307692307692308	0.307692307692308	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	25	"AWI"	25	-82	350	70	0	0	0	0	1.30293159609121	0	0	0	0	0	3.90879478827362	0	14.0065146579805	0	5.53745928338762	72.9641693811075	0	1.95439739413681	0	0	0	0	0	0.325732899022801	0	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	50	"AWI"	50	-28	663	198	0	4.02684563758389	0	0	0.223713646532438	0.223713646532438	0	0	0	0	2.46085011185682	0	13.8702460850112	0	5.36912751677852	72.7069351230425	0	1.11856823266219	0	0	0	0	0	0	0	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	75	"AWI"	75	36	809	348	0	3.57142857142857	0	0	0.714285714285714	0	0	0	0	0	3.80952380952381	0	19.047619047619	0.238095238095238	4.28571428571429	65.4761904761905	0	1.66666666666667	0	0	0	0.238095238095238	0	0	0.476190476190476	0	0	0.476190476190476	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	100	"AWI"	100	132	980	488	0	0	0	0	1.02040816326531	0.255102040816327	0	0	0	0	2.29591836734694	0	10.4591836734694	0	6.88775510204082	76.530612244898	0	1.27551020408163	0	0	0.510204081632653	0	0	0	0.76530612244898	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	125	"AWI"	125	209	1144	642	0	1.06007067137809	0	0	0.706713780918728	0	28.9752650176678	0	0	0	1.23674911660777	0	3.53356890459364	0	7.24381625441696	56.0070671378092	0.176678445229682	0	0	0	0.530035335689046	0.353356890459364	0	0	0	0	0	0	0	0.176678445229682
3430	4443	"Solnechnoe"	65.83333	34.33333	150	"AWI"	150	340	1263	783	0	2.03045685279188	0	0	0.169204737732657	0	41.1167512690355	0	0	0.338409475465313	2.87648054145516	0	1.01522842639594	0	7.61421319796954	43.6548223350254	0	0	0.169204737732657	0	0.169204737732657	0.169204737732657	0	0	0.50761421319797	0.169204737732657	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	175	"AWI"	175	432	1409	932	0	3.85906040268456	0	0	0.335570469798658	0	32.5503355704698	0	0	0	3.69127516778524	0	4.19463087248322	0	7.21476510067114	47.6510067114094	0	0.335570469798658	0	0	0	0	0	0.167785234899329	0	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	200	"AWI"	200	589	1494	1074	0	6.27009646302251	0	0	0	0	56.9131832797428	0	0	0	2.09003215434084	0	1.12540192926045	0	5.62700964630225	27.3311897106109	0	0	0	0	0	0.160771704180064	0	0.160771704180064	0.321543408360129	0	0	0	0	0
3430	4443	"Solnechnoe"	65.83333	34.33333	225	"AWI"	225	740	1611	1212	0.176056338028169	11.6197183098592	0	0	0.880281690140845	0.176056338028169	54.4014084507042	0	0	0.528169014084507	4.04929577464789	0	0.176056338028169	0	4.92957746478873	22.3591549295775	0	0	0	0	0.176056338028169	0	0	0	0.528169014084507	0	0	0	0	0
