"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	500	"AWI"	500	-149	20	-59	1	2	52	13	2	0	33	0	0	163	12	0	0	0	0	0	13	10	0	0	0	3	4	0	0	0	0	0	0	2	0	0	0	3	3	0	2	0	13	357	0	1	0	44	0	0	2	48	5	0	0	0	0	0	0	0	4	1	0	0
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	510	"AWI"	510	-101	225	20	0	1	40	10	0	0	24	0	0	139	19	0	2	0	0	0	13	13	0	0	3	7	1	0	0	1	0	2	0	0	1	0	0	0	7	0	1	0	16	295	0	3	0	41	0	0	2	27	3	0	0	0	1	0	0	0	2	12	0	0
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	530	"AWI"	530	10	494	199	1	1	139	0	1	0	22	0	0	127	7	0	2	0	0	0	58	20	0	0	0	7	0	1	1	0	0	1	0	0	0	0	0	0	60	0	0	0	15	189	0	1	0	137	0	0	0	21	6	0	0	0	1	0	0	0	8	15	0	1
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	550	"AWI"	550	137	715	384	1	3	112	3	0	0	32	0	0	113	5	0	6	0	0	0	29	22	0	0	9	5	5	0	0	0	1	0	0	0	0	1	0	1	38	0	0	0	7	220	0	0	0	95	0	0	3	51	6	1	0	0	2	0	1	0	4	13	0	1
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	570	"AWI"	570	280	917	570	1	0	100	4	2	0	37	0	0	104	17	0	5	0	0	0	31	21	0	0	0	2	6	0	0	0	0	0	0	0	0	1	0	6	30	0	3	0	20	333	0	1	0	67	0	0	3	96	6	1	0	0	1	0	0	0	5	45	0	2
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	590	"AWI"	590	442	1103	755	0	1	100	7	3	0	17	0	0	107	5	1	9	0	0	0	27	28	0	0	0	3	1	2	3	0	0	1	0	0	0	0	0	7	23	0	1	0	17	231	0	1	0	81	27	0	0	82	8	0	0	0	1	0	0	0	7	32	0	2
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	605	"AWI"	605	572	1224	892	1	3	78	6	1	0	21	0	0	117	6	0	24	0	0	0	21	27	0	0	0	8	1	0	0	0	0	1	13	0	0	0	0	0	25	0	1	0	12	0	0	6	0	80	0	0	0	64	8	4	0	0	0	0	0	0	7	44	1	1
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	625	"AWI"	625	751	1394	1076	3	5	184	6	1	0	43	0	0	229	12	2	5	0	0	0	42	35	0	0	0	12	1	4	1	0	0	2	0	0	0	0	0	0	78	5	1	0	22	77	0	0	0	238	0	0	1	31	9	1	0	0	0	0	0	0	14	25	0	1
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	635	"AWI"	635	844	1480	1166	1	0	153	2	0	0	17	0	0	483	5	0	2	0	0	0	37	15	0	0	0	9	1	0	0	0	1	0	0	0	1	0	0	0	58	0	0	0	15	0	0	2	0	159	0	0	1	18	7	1	0	0	0	0	0	0	5	22	0	0
3393	4397	"Lake Skrzetuszewskie"	52.54984	17.35631	645	"AWI"	645	950	1556	1257	1	1	194	3	0	0	19	0	0	243	10	9	14	0	0	0	41	32	0	0	0	14	0	2	7	0	0	2	0	0	2	0	0	8	70	0	2	0	22	222	0	2	0	273	0	7	5	33	16	0	0	0	12	0	1	0	20	32	0	0
