"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
9834	14556	"Sheheree Bog"	52.039974	-9.48127	2	"AWI"	2	-137	33	-49	2	1	35	0	0	0	0	3	0	11	0	0	0	0	0	0	20	0	0	8	0	0	0	0	17	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	5	0	0	1	2	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	6	"AWI"	6	-120	101	-22	3	0	69	0	0	2	1	1	0	9	0	0	0	0	0	0	12	0	1	12	0	0	0	0	4	0	9	0	0	0	45	0	0	0	2	0	24	4	0	0	0	0	93	0	0	0	0	0	0	0	10	3	0	0	0	4	0	0	0	0	2	1	2	0	8	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	10	"AWI"	10	-106	185	4	0	0	23	2	0	4	0	0	0	11	0	0	0	0	0	0	22	0	1	8	0	0	0	0	4	0	12	0	0	0	34	0	0	0	0	0	14	18	0	0	0	0	72	0	0	0	0	0	0	0	8	2	0	0	8	2	0	0	0	0	2	0	2	0	3	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	14	"AWI"	14	-97	276	29	2	1	13	1	0	0	0	0	0	10	0	0	0	0	0	0	17	0	0	5	0	0	0	0	12	0	13	0	0	0	4	0	0	0	0	0	23	0	0	0	0	0	84	0	0	0	0	0	0	0	7	0	0	0	9	5	0	0	2	0	1	0	3	2	2	11	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	18	"AWI"	18	-90	369	53	0	3	23	0	0	1	0	0	0	18	0	0	0	0	0	0	40	0	0	14	0	0	0	0	7	0	8	0	0	0	27	0	0	0	0	0	29	7	0	0	0	0	106	0	0	0	0	0	0	0	16	1	0	0	7	0	0	0	0	0	4	0	3	0	2	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	22	"AWI"	22	-74	434	80	3	3	15	1	0	2	0	0	0	3	0	0	0	0	0	0	27	0	0	21	0	0	0	0	6	0	1	0	0	1	11	0	0	0	0	0	36	1	0	0	0	0	73	0	0	0	1	0	0	0	12	0	0	0	6	1	0	0	0	0	3	0	3	0	5	0	1
9834	14556	"Sheheree Bog"	52.039974	-9.48127	26	"AWI"	26	-51	466	112	0	2	13	1	0	0	0	1	0	11	0	0	0	0	0	0	53	0	0	51	0	0	0	0	5	0	7	0	0	1	29	0	0	0	2	0	99	6	0	0	0	0	91	0	0	0	0	0	0	0	16	0	0	0	5	0	0	0	0	0	11	0	3	0	12	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	30	"AWI"	30	-35	508	144	2	0	30	2	0	0	1	0	0	7	0	0	0	0	0	0	20	0	0	37	0	0	0	0	7	0	0	0	0	0	10	1	0	0	0	0	47	1	0	0	0	0	113	0	0	0	0	3	0	0	8	2	0	0	11	2	0	0	0	0	10	0	1	0	13	6	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	34	"AWI"	34	-23	559	176	0	0	12	2	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	23	0	0	0	0	4	0	8	0	0	0	16	0	0	0	0	0	65	12	0	0	0	0	71	0	0	0	0	1	0	0	9	0	0	0	5	0	0	0	0	0	4	0	0	0	6	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	38	"AWI"	38	-13	619	205	2	0	11	3	0	0	0	0	0	5	0	0	0	0	0	0	55	0	0	80	0	0	0	0	2	0	7	0	0	0	23	0	0	0	0	0	0	0	0	0	0	2	55	0	0	243	0	0	0	0	11	2	0	0	9	0	0	0	0	0	9	0	1	0	6	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	42	"AWI"	42	3	672	233	0	0	14	0	0	0	0	0	0	4	0	0	0	0	0	0	61	0	0	74	0	0	0	0	0	0	5	0	0	0	15	0	0	0	0	0	56	1	0	0	0	0	40	0	0	207	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	46	"AWI"	46	28	704	263	0	0	4	0	0	1	0	0	0	6	3	0	0	0	0	0	83	0	0	40	0	0	0	0	0	0	7	0	0	0	13	0	0	0	0	0	119	2	0	0	0	0	10	0	0	0	0	0	0	0	3	2	0	0	15	1	0	0	0	0	2	0	0	0	3	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	50	"AWI"	50	47	742	294	0	0	1	0	0	0	0	0	0	1	0	12	0	0	0	0	16	0	0	19	0	0	0	0	0	0	3	0	0	0	40	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	54	"AWI"	54	64	787	325	0	0	3	0	0	0	0	1	0	7	0	0	0	0	0	0	9	2	1	34	0	0	0	0	1	0	5	0	0	0	31	0	0	0	0	0	1	127	0	0	0	0	2	0	0	0	2	1	0	0	4	0	0	0	18	0	0	0	0	0	0	0	1	0	1	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	58	"AWI"	58	79	837	355	0	1	2	0	0	0	0	1	0	3	0	0	0	0	0	0	15	0	0	30	0	0	0	0	1	0	2	0	0	1	51	1	0	0	0	0	3	46	0	0	0	0	1	0	0	0	0	1	0	0	8	3	0	0	16	3	3	0	0	0	4	0	0	0	0	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	62	"AWI"	62	94	888	384	0	0	2	0	0	0	0	1	0	7	0	0	1	0	0	0	12	0	0	12	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	1	36	0	0	0	0	1	0	0	0	0	4	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	66	"AWI"	66	122	916	414	0	0	1	1	0	0	1	1	0	23	0	0	2	0	1	0	20	0	1	25	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	10	47	0	0	0	0	1	0	0	0	0	0	0	0	24	1	0	0	11	1	0	0	0	0	3	0	0	0	0	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	70	"AWI"	70	143	942	443	0	0	5	0	0	0	0	0	0	17	0	0	0	0	0	0	27	0	0	26	0	0	0	0	0	0	2	0	0	0	34	0	0	0	0	0	4	132	0	0	0	0	0	0	0	0	0	0	0	0	19	4	0	0	9	2	0	0	0	0	1	0	1	0	1	0	0
9834	14556	"Sheheree Bog"	52.039974	-9.48127	74	"AWI"	74	162	982	471	0	0	6	0	0	0	0	1	0	25	0	0	0	0	0	0	22	0	0	27	0	151	0	0	0	0	4	0	0	0	6	0	0	0	0	0	2	9	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	8	1	0	0	0	1	8	0	0	0	0	0	0
