"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Myrica"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Ulmus"	"Urticaceae"
9601	14125	"Mongan Bog"	53.32469	-7.98346	92	"AWI"	92	591	1322	946	26	0	0	0	1	0	18	0	0	168	15	32	1	7	1	12	1	2	0	10	0	0	13	2	0	4	6	3	3	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	96	"AWI"	96	638	1357	993	27	0	0	0	0	0	14	0	0	165	21	31	5	8	0	9	0	0	0	0	0	0	9	1	0	0	0	1	0	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	100	"AWI"	100	672	1408	1038	22	0	1	1	1	3	15	1	1	110	17	30	1	4	0	17	0	5	0	35	0	0	14	1	0	0	4	8	2	4
9601	14125	"Mongan Bog"	53.32469	-7.98346	108	"AWI"	108	758	1476	1126	14	0	0	0	0	0	9	2	0	198	7	23	3	7	0	11	0	2	0	0	0	0	19	0	0	0	0	4	4	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	148	"AWI"	148	1228	1833	1533	16	0	0	3	0	0	12	0	1	162	12	11	0	18	0	25	0	1	0	0	0	0	12	0	0	0	0	0	11	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	156	"AWI"	156	1302	1911	1607	15	0	0	1	0	0	5	0	0	179	28	32	0	4	0	35	2	1	0	0	0	0	7	0	0	0	1	0	20	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	164	"AWI"	164	1375	1992	1681	19	0	0	4	0	0	14	0	0	170	4	31	0	17	0	29	0	0	0	0	0	0	12	1	0	0	1	2	18	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	172	"AWI"	172	1446	2067	1751	17	0	0	1	0	0	14	1	0	166	6	17	0	22	0	39	0	1	0	0	0	1	13	1	0	0	0	0	30	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	180	"AWI"	180	1507	2142	1826	24	0	0	2	0	0	7	0	0	193	3	37	0	10	0	35	0	2	0	0	0	0	5	0	0	0	0	0	12	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	188	"AWI"	188	1594	2213	1895	17	0	0	1	0	0	11	0	0	173	11	0	1	12	0	22	1	1	0	0	0	0	15	0	0	0	2	3	16	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	196	"AWI"	196	1669	2280	1965	31	0	0	1	0	0	7	0	0	192	16	23	0	8	0	36	0	0	0	0	0	0	12	0	0	0	1	0	8	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	200	"AWI"	200	1696	2324	2000	40	0	0	1	0	0	5	0	0	188	5	29	0	13	0	14	0	1	0	0	0	0	6	0	0	0	0	0	7	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	216	"AWI"	216	1879	2459	2140	28	1	0	3	0	0	17	0	0	142	20	16	0	25	0	0	0	1	0	0	0	0	16	0	0	0	0	0	15	0
9601	14125	"Mongan Bog"	53.32469	-7.98346	232	"AWI"	232	2066	2627	2284	28	1	0	2	0	0	24	0	0	128	24	0	0	8	0	0	5	0	0	0	0	0	12	0	0	0	0	0	27	0
