"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"	"Vitaceae"
16298	25273	"Lac du Lauzon"	44.67528	5.79333	119	"AWI"	119	1686	2363	1991	51	0	1	3	6	0	0	0	0	5	0	0	29	0	5	10	0	0	137	0	0	0	2	5	0	0	0	0	1	1	1	5	0	0	0	0	6	66	0	0	0	0	2	12	1	0	0	1	0	0	1	1	0	0	1	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	124	"AWI"	124	1734	2438	2055	34	0	2	3	0	0	3	0	0	3	0	0	17	0	1	7	4	1	159	0	0	0	1	4	0	1	0	1	0	1	2	7	0	1	0	0	6	100	0	0	0	1	1	23	5	0	0	2	0	0	0	1	0	0	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	129	"AWI"	129	1781	2506	2119	62	1	1	3	2	0	1	0	1	2	0	0	11	0	1	10	4	0	226	1	0	0	5	3	0	0	0	2	0	3	5	2	0	0	0	0	1	99	0	0	14	0	0	23	3	0	1	0	0	1	0	2	0	0	0	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	134	"AWI"	134	1833	2574	2180	60	1	15	5	5	0	13	0	1	1	1	0	11	0	2	2	19	0	153	0	0	0	1	25	0	0	0	0	0	1	1	3	0	0	0	0	3	85	27	0	95	0	0	18	2	6	1	14	0	0	0	0	1	0	0	0	2
16298	25273	"Lac du Lauzon"	44.67528	5.79333	139	"AWI"	139	1893	2629	2241	41	0	14	3	4	0	6	0	2	0	0	0	3	0	0	4	10	0	62	0	0	0	0	20	0	2	0	1	0	0	1	2	0	0	0	0	4	72	0	0	31	0	0	27	1	2	1	0	1	0	1	1	0	0	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	144	"AWI"	144	1954	2702	2304	101	1	10	2	2	0	5	0	0	2	0	1	2	0	3	8	5	1	286	1	0	0	2	12	1	0	1	1	0	0	6	2	1	0	0	1	17	323	0	0	0	1	1	28	5	0	1	1	0	0	0	0	1	0	0	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	149	"AWI"	149	2010	2758	2367	13	0	20	0	2	0	4	0	0	0	0	0	0	0	1	1	5	0	65	0	0	0	3	13	0	0	0	0	0	0	1	1	0	0	0	0	0	47	0	0	25	0	0	20	0	2	1	0	0	0	1	0	0	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	154	"AWI"	154	2062	2818	2429	41	1	5	4	4	0	2	0	0	0	0	0	0	0	0	2	5	0	141	0	0	0	2	17	0	0	0	0	0	0	1	0	0	0	0	0	1	198	0	0	72	1	0	34	3	2	4	8	0	0	0	1	0	3	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	159	"AWI"	159	2116	2882	2493	73	2	15	10	18	2	20	0	1	1	0	2	0	0	5	9	22	0	386	0	0	0	1	42	0	0	0	0	0	2	1	8	1	1	0	0	3	127	0	0	201	0	0	68	9	0	8	19	0	0	0	0	1	3	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	164	"AWI"	164	2178	2946	2557	42	0	17	3	16	0	10	0	1	1	0	1	1	0	1	3	10	0	207	0	0	0	0	35	1	2	0	0	0	0	1	1	0	1	0	0	1	112	0	0	135	0	0	53	11	2	5	2	0	0	0	0	1	2	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	169	"AWI"	169	2251	3009	2620	47	2	16	0	7	0	6	0	1	1	0	1	2	0	1	2	15	0	101	0	0	0	1	16	0	0	0	0	0	1	0	2	0	1	0	0	2	90	0	0	54	0	0	39	2	0	0	2	0	0	0	0	0	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	174	"AWI"	174	2310	3077	2684	25	0	25	1	0	0	3	0	0	0	0	0	0	0	2	2	16	0	143	0	0	0	0	13	0	0	0	0	0	1	1	2	0	0	0	0	1	208	0	0	59	0	0	49	0	0	0	1	0	0	0	0	1	0	0	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	179	"AWI"	179	2362	3140	2745	31	0	2	4	1	0	0	0	0	0	0	0	0	3	3	5	0	0	169	0	0	0	0	4	0	0	0	2	0	0	0	2	0	0	0	0	2	241	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	2	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	184	"AWI"	184	2437	3193	2809	25	1	28	5	4	0	3	0	0	2	0	0	0	0	1	2	12	0	73	0	0	0	0	23	0	1	0	1	0	1	0	0	0	0	0	1	6	144	0	0	47	0	0	29	4	0	1	2	0	0	0	0	0	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	189	"AWI"	189	2503	3265	2872	24	0	4	2	2	0	1	0	0	4	0	0	0	0	2	1	0	0	153	0	0	0	0	3	0	0	0	0	0	0	1	3	0	0	0	0	2	61	0	0	0	0	0	13	0	0	1	1	0	0	0	0	0	0	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	194	"AWI"	194	2568	3328	2935	30	0	17	4	6	0	7	0	2	3	0	0	0	0	2	3	10	0	46	0	0	0	0	10	0	1	0	0	0	0	0	2	1	0	0	0	2	44	0	0	70	0	1	19	8	0	1	9	0	0	0	0	0	1	1	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	199	"AWI"	199	2641	3384	2994	57	1	9	1	7	0	14	0	1	1	0	1	0	0	1	1	7	0	48	0	0	0	2	6	0	1	0	0	0	0	1	4	0	1	0	0	0	51	0	0	31	0	0	28	6	0	0	4	0	0	0	0	0	4	0	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	204	"AWI"	204	2704	3438	3055	172	0	9	6	2	0	10	0	1	4	0	0	5	0	4	21	6	0	363	0	0	0	3	22	0	0	0	5	0	2	3	5	0	1	0	0	26	324	0	0	43	0	0	25	1	2	1	4	0	0	0	1	1	1	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	209	"AWI"	209	2771	3499	3119	83	0	4	4	5	0	1	0	0	1	1	0	0	0	5	6	2	0	188	0	0	0	1	9	0	0	0	3	0	0	0	0	0	2	0	0	5	180	0	0	0	0	0	36	5	0	4	2	0	0	0	0	1	0	1	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	214	"AWI"	214	2852	3548	3183	61	1	23	4	12	0	12	0	1	2	0	0	0	0	1	7	8	0	81	0	0	0	0	26	1	0	0	1	0	5	0	1	0	0	0	0	2	69	0	0	48	0	1	25	6	0	0	4	0	0	0	0	1	1	2	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	219	"AWI"	219	2927	3603	3243	59	0	3	5	2	0	2	0	0	3	0	0	1	0	0	4	1	1	166	0	0	0	1	1	0	0	0	2	0	0	1	2	0	0	0	0	1	84	0	0	0	0	0	19	1	0	0	1	0	0	0	0	0	0	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	224	"AWI"	224	2998	3653	3300	140	0	4	4	7	0	1	0	0	3	0	0	0	5	3	9	1	0	214	0	0	0	0	5	0	0	0	2	0	0	2	0	0	0	0	0	3	128	0	0	0	0	0	39	6	0	1	0	0	0	0	1	0	0	2	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	229	"AWI"	229	3078	3709	3361	61	1	18	1	10	0	5	0	5	2	0	2	1	0	0	1	10	0	52	0	0	0	0	16	0	0	0	0	0	2	0	3	0	0	0	0	3	31	2	0	0	0	1	22	1	0	0	1	0	0	2	1	0	2	1	0	1
16298	25273	"Lac du Lauzon"	44.67528	5.79333	234	"AWI"	234	3151	3768	3422	64	1	35	2	15	0	2	0	0	1	0	2	1	0	3	0	20	0	50	0	0	0	3	13	0	0	0	1	0	0	3	3	0	0	0	0	3	43	0	0	64	0	3	30	9	0	2	2	0	0	0	0	1	1	1	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	239	"AWI"	239	3236	3826	3481	66	1	10	1	4	0	7	0	0	1	0	0	0	0	0	1	7	0	31	0	0	0	0	15	0	0	0	0	0	0	0	4	0	0	0	0	1	39	0	0	0	0	0	16	2	0	1	1	0	0	0	1	0	0	0	0	0
16298	25273	"Lac du Lauzon"	44.67528	5.79333	244	"AWI"	244	3360	3874	3537	64	2	22	3	6	0	7	0	2	1	1	0	0	0	0	1	13	0	55	0	0	0	1	14	1	1	0	0	0	0	0	2	0	1	0	0	2	42	0	0	24	0	0	25	5	0	0	2	1	0	0	0	1	0	0	0	0
