"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Araliaceae"	"Arctostaphylos"	"Asteraceae"	"Betula"	"Buxus"	"Caprifoliaceae"	"Castanea"	"Cedrus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ligustrum"	"Olea"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15896	24465	"Le Jolan"	45.13944	2.85917	20	"AWI"	20	-39	583	150	1	0	4	3	0	0	0	1	0	0	0	1	3	0	0	0	1	25	0	1	1	0	46	3	0	0	3	5	0	13	1	0	0	0	0	0	1	2	0	0	0	1	5	2	0
15896	24465	"Le Jolan"	45.13944	2.85917	35	"AWI"	35	-18	1029	283	0	1	7	20	18	0	0	2	0	0	1	0	0	1	0	17	1	93	0	3	0	0	113	6	0	0	8	8	0	16	0	0	0	1	1	0	0	3	1	0	0	4	0	20	0
15896	24465	"Le Jolan"	45.13944	2.85917	50	"AWI"	50	40	1392	421	1	0	4	19	0	0	0	0	0	0	2	1	8	3	0	30	1	70	1	1	3	0	87	2	0	3	3	4	0	18	1	0	1	2	0	0	0	1	1	0	7	2	3	14	0
15896	24465	"Le Jolan"	45.13944	2.85917	65	"AWI"	65	124	1556	595	3	1	5	15	1	0	1	1	0	0	1	1	0	1	0	0	0	67	0	0	1	0	100	5	0	0	0	5	0	17	0	0	0	1	0	0	0	2	10	0	0	1	0	6	0
15896	24465	"Le Jolan"	45.13944	2.85917	80	"AWI"	80	173	1769	754	1	0	4	10	0	0	0	0	0	0	0	0	1	0	0	4	0	9	1	1	1	0	34	2	0	0	7	9	0	17	0	0	1	0	1	12	0	1	1	0	1	1	1	4	0
15896	24465	"Le Jolan"	45.13944	2.85917	90	"AWI"	90	200	1967	854	0	0	2	14	0	0	0	1	0	0	0	0	2	0	0	7	0	40	2	0	6	0	75	6	0	0	1	14	0	20	0	0	0	0	0	0	0	0	0	0	4	1	0	5	1
15896	24465	"Le Jolan"	45.13944	2.85917	100	"AWI"	100	300	2075	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15896	24465	"Le Jolan"	45.13944	2.85917	115	"AWI"	115	406	2232	1137	1	0	4	1	0	0	0	0	0	0	0	0	1	0	0	0	0	17	1	0	6	0	22	14	0	0	2	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
15896	24465	"Le Jolan"	45.13944	2.85917	135	"AWI"	135	498	2524	1354	0	0	5	2	0	0	0	2	0	0	0	0	0	0	0	0	0	85	0	1	6	0	22	3	0	0	2	7	0	14	1	0	0	0	0	0	0	1	0	1	0	0	0	6	0
15896	24465	"Le Jolan"	45.13944	2.85917	150	"AWI"	150	663	2663	1513	1	0	9	1	0	0	0	4	0	0	0	0	0	0	0	0	0	37	0	0	21	0	31	6	0	0	0	6	0	6	0	0	0	0	1	0	0	0	1	1	0	0	0	5	1
15896	24465	"Le Jolan"	45.13944	2.85917	165	"AWI"	165	777	2808	1681	0	0	5	0	0	0	0	10	0	0	0	1	2	0	0	0	0	27	0	0	8	0	41	7	0	0	0	3	0	7	0	0	0	1	1	0	0	0	3	0	0	0	0	1	1
15896	24465	"Le Jolan"	45.13944	2.85917	185	"AWI"	185	907	3087	1889	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	1	72	0	7	8	0	0	0	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0
15896	24465	"Le Jolan"	45.13944	2.85917	190	"AWI"	190	967	3142	1939	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	1	0	97	0	1	9	0	0	0	8	0	10	0	0	0	1	0	0	0	0	0	0	0	0	1	4	2
15896	24465	"Le Jolan"	45.13944	2.85917	200	"AWI"	200	1093	3232	2045	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	1	75	0	7	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
15896	24465	"Le Jolan"	45.13944	2.85917	210	"AWI"	210	1179	3322	2157	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	230	0	3	11	0	0	0	4	0	20	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0
