"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
10523	16199	"Croaghaun East"	54.196854	-9.451948	0	"AWI"	0	-124	41	-45	4	0	0	0	0	1	0	1	33	87	41	0	0	25	0	0	0	2	191	0	0	0	0	1	1	0	0	0	0	0	0	0	1	4
10523	16199	"Croaghaun East"	54.196854	-9.451948	10	"AWI"	10	-58	457	95	1	0	1	1	2	0	0	0	12	203	74	2	0	11	0	80	0	0	1	26	0	0	2	1	0	0	11	0	0	1	0	6	1	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	20	"AWI"	20	15	729	274	1	0	0	0	0	2	0	0	13	60	85	0	0	13	0	29	0	0	0	0	9	0	0	1	0	0	2	0	0	0	0	0	0	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	30	"AWI"	30	109	946	439	9	1	0	0	0	3	0	8	58	88	97	0	0	25	0	28	0	0	1	0	0	0	0	3	2	0	0	5	0	0	0	0	1	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	40	"AWI"	40	225	1138	608	10	0	0	0	0	6	0	0	41	88	128	0	0	21	0	42	0	0	1	13	0	0	0	4	1	0	0	1	0	0	0	0	0	2
10523	16199	"Croaghaun East"	54.196854	-9.451948	60	"AWI"	60	482	1513	953	24	0	0	0	0	2	0	1	82	179	40	10	4	30	0	50	0	0	0	0	0	0	0	4	4	0	0	3	0	0	0	1	4	1
10523	16199	"Croaghaun East"	54.196854	-9.451948	90	"AWI"	90	936	2006	1479	39	0	0	0	0	7	0	0	167	165	108	11	0	42	0	16	0	0	0	0	0	0	0	9	4	0	0	1	0	0	0	2	4	5
10523	16199	"Croaghaun East"	54.196854	-9.451948	100	"AWI"	100	1109	2152	1650	21	0	0	0	0	16	0	0	155	93	125	15	1	0	0	8	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	10	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	120	"AWI"	120	1456	2433	1993	60	0	0	0	0	25	0	1	206	127	113	12	1	5	0	19	0	0	4	10	0	0	0	14	1	6	0	4	0	0	0	3	1	0
10523	16199	"Croaghaun East"	54.196854	-9.451948	140	"AWI"	140	1871	2670	2328	70	0	0	0	0	6	0	0	214	47	262	16	0	0	0	19	0	0	1	0	0	0	0	20	2	0	3	3	0	0	0	0	9	0
