"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	0	"AWI"	0	29	190	106	1	0	7	1	0	0	0	0	24	0	1	0	0	0	18	20	0	0	0	28	1	0	0	0	1	0	0	0	14	2	56	0	30	0	0	0	0	5	1	0	0	2	0	0	1	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	10	"AWI"	10	202	1804	912	1	1	25	0	1	0	1	0	35	0	0	1	0	2	31	8	0	0	2	57	2	1	0	0	1	1	0	0	7	3	54	0	44	0	0	0	0	15	0	0	0	2	0	0	1	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	20	"AWI"	20	1040	2183	1799	2	0	24	0	1	0	1	0	50	1	1	0	0	1	26	7	0	0	0	57	4	1	0	0	1	0	1	0	1	10	0	0	94	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	30	"AWI"	30	1911	2576	2266	1	0	16	0	0	0	1	0	23	0	0	0	0	0	18	6	0	0	0	173	1	0	0	0	0	0	0	0	3	0	0	0	37	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	40	"AWI"	40	2062	2979	2457	1	0	24	0	0	0	0	0	18	0	0	0	0	0	23	3	0	0	0	189	2	0	0	0	0	0	0	0	1	0	0	0	63	1	0	0	0	0	1	0	0	0	0	5	1	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	50	"AWI"	50	2205	3286	2653	2	0	26	0	0	0	0	0	19	0	0	0	0	0	19	2	0	0	0	94	1	0	1	0	0	0	1	1	6	3	0	0	47	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	60	"AWI"	60	2354	3575	2870	1	0	23	1	1	0	0	0	12	0	0	0	0	0	43	0	0	0	0	44	1	0	0	1	0	0	0	0	3	0	0	0	60	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	70	"AWI"	70	2496	3827	3080	0	0	26	0	2	0	0	0	16	0	0	0	0	0	37	0	0	0	0	29	1	0	0	0	0	1	0	0	1	0	0	0	92	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	80	"AWI"	80	2660	4090	3293	0	0	23	0	1	0	1	0	20	0	0	0	0	0	54	1	0	0	0	21	6	0	0	0	0	1	0	0	2	0	0	0	97	0	0	0	0	0	1	0	0	0	0	7	2	0	0	0
16271	25221	"Tourbière de la Ribière Nègre"	45.69639	2.33722	90	"AWI"	90	2823	4340	3514	2	0	30	0	0	0	0	0	10	0	2	0	0	0	57	3	0	0	0	13	4	0	0	0	0	0	0	0	6	0	0	0	136	0	0	0	0	0	0	0	0	0	0	11	1	0	0	1
