"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
3445	4461	"Saint-Thomas"	47.26861	-1.75	140	"AWI"	140	1338	2199	1720	0	0	137	2	0	2	0	0	39	0	0	0	0	0	1	0	3	39	0	0	0	2	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	36	0	0	2	0	1	0	5	0	0	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	145	"AWI"	145	1531	2259	1821	0	0	137	1	2	2	1	0	30	0	0	0	1	0	1	0	3	38	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	48	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	150	"AWI"	150	1633	2344	1933	0	0	157	1	2	2	1	0	17	0	0	0	0	0	1	0	3	30	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	42	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	155	"AWI"	155	1693	2491	2043	0	0	229	2	2	1	2	0	15	0	1	0	0	0	1	0	5	38	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	160	"AWI"	160	1728	2718	2148	0	1	231	1	1	1	1	0	9	0	0	0	0	0	0	0	7	9	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	165	"AWI"	165	1760	2951	2244	0	0	289	1	1	4	1	0	10	0	0	0	0	0	0	0	8	18	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	64	1	0	1	0	0	0	3	0	0	0	0	1	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	170	"AWI"	170	1847	3140	2360	0	0	273	3	1	0	0	0	10	0	0	0	0	0	1	0	3	8	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	30	1	0	1	0	0	0	1	0	0	0	0	1	2	0	1
3445	4461	"Saint-Thomas"	47.26861	-1.75	175	"AWI"	175	2040	3209	2503	0	1	277	1	0	2	1	0	8	0	0	1	0	0	0	0	0	5	0	0	0	1	4	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	25	2	0	0	0	1	0	1	0	0	0	0	2	1	0	1
3445	4461	"Saint-Thomas"	47.26861	-1.75	180	"AWI"	180	2196	3273	2654	0	0	277	2	0	1	2	0	8	0	0	0	0	0	1	0	3	3	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	9	0	0	19	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	185	"AWI"	185	2323	3360	2814	0	0	245	1	0	3	1	0	8	0	0	0	0	0	0	0	5	9	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	27	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	190	"AWI"	190	2436	3461	2977	0	0	191	2	1	1	0	0	3	0	0	1	0	0	1	0	4	20	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	9	0	0	42	0	0	0	0	2	0	1	0	1	0	0	2	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	195	"AWI"	195	2523	3590	3132	0	0	248	2	1	2	0	0	7	0	1	0	0	0	1	0	5	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	200	"AWI"	200	2606	3743	3280	0	0	201	1	1	1	1	0	6	0	0	0	0	0	1	0	5	12	2	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	25	2	0	0	0	1	0	0	0	2	0	0	1	1	0	0
3445	4461	"Saint-Thomas"	47.26861	-1.75	205	"AWI"	205	2794	3839	3399	0	0	185	1	0	3	0	0	4	0	0	0	0	0	0	0	10	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	31	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
