"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3312	4299	"Nemino"	62.75	34.58333	40	"AWI"	40	1041	2338	1710	1.70940170940171	0	0	0	0	1.70940170940171	0	0	0	0.427350427350427	0.427350427350427	3.41880341880342	0.427350427350427	2.56410256410256	0	0	1.70940170940171	34.1880341880342	43.1623931623932	0	2.13675213675214	0	0.427350427350427	0	0	1.28205128205128	0	0	0.854700854700855	0	2.56410256410256	1.70940170940171	0	0	1.28205128205128	0
3312	4299	"Nemino"	62.75	34.58333	55	"AWI"	55	1746	2865	2386	1.31578947368421	0	0	0.43859649122807	0.87719298245614	2.63157894736842	0	0	0	0.43859649122807	1.75438596491228	5.26315789473684	0	3.94736842105263	0	0	0	46.0526315789474	28.9473684210526	0	0.87719298245614	0	0	0	0.87719298245614	2.19298245614035	0	0.43859649122807	0	0	1.75438596491228	0.87719298245614	0	0	1.31578947368421	0
3312	4299	"Nemino"	62.75	34.58333	65	"AWI"	65	2309	3150	2821	0	0	0.53475935828877	0	0.53475935828877	3.20855614973262	0	0.53475935828877	0	0	1.60427807486631	9.62566844919786	1.06951871657754	4.27807486631016	0	0	0.53475935828877	26.7379679144385	40.1069518716578	0	1.06951871657754	0	0	1.06951871657754	0.53475935828877	2.67379679144385	0	1.06951871657754	0	0	2.13903743315508	0.53475935828877	0	0	2.13903743315508	0
3312	4299	"Nemino"	62.75	34.58333	75	"AWI"	75	2978	3498	3224	1.06761565836299	0	0	0.355871886120996	0.355871886120996	0.711743772241993	0	1.06761565836299	0	0	0.711743772241993	1.42348754448399	0	3.91459074733096	0.711743772241993	0	0.355871886120996	32.0284697508897	49.1103202846975	0	0.711743772241993	0.711743772241993	0	0.711743772241993	0.355871886120996	1.42348754448399	0	0	0	0	2.13523131672598	1.06761565836299	0	0.355871886120996	0.711743772241993	0
3312	4299	"Nemino"	62.75	34.58333	85	"AWI"	85	3217	4018	3575	1.52284263959391	0	1.01522842639594	0	0.50761421319797	1.01522842639594	0	0	0.50761421319797	0	1.52284263959391	1.52284263959391	1.52284263959391	5.58375634517767	0	0	0	32.994923857868	39.5939086294416	0	0.50761421319797	0	0	1.01522842639594	0	3.55329949238579	0	0	0	0	4.06091370558376	0.50761421319797	0	0.50761421319797	2.53807106598985	0
3312	4299	"Nemino"	62.75	34.58333	95	"AWI"	95	3517	4388	3950	0	0	0.628930817610063	0	0	2.51572327044025	0	1.25786163522013	0	0	0	6.91823899371069	0	3.77358490566038	0.628930817610063	0	0	36.4779874213836	37.1069182389937	0	3.14465408805031	0	0	0.628930817610063	0	1.88679245283019	0	0.628930817610063	0	0	2.51572327044025	0.628930817610063	0	0	1.25786163522013	0
3312	4299	"Nemino"	62.75	34.58333	105	"AWI"	105	3889	4690	4322	0	14.0350877192982	0	0.43859649122807	0	0.87719298245614	0	0	0.87719298245614	0.43859649122807	0	3.07017543859649	0	1.31578947368421	0	0	0	25.8771929824561	48.6842105263158	0	1.31578947368421	0	0	0.87719298245614	0	0.87719298245614	0	0	0	0.43859649122807	0	0.43859649122807	0	0	0.43859649122807	0
3312	4299	"Nemino"	62.75	34.58333	115	"AWI"	115	4382	4922	4674	0	0	0.45662100456621	0.45662100456621	0.91324200913242	0.91324200913242	0	0.45662100456621	0	0.45662100456621	0.45662100456621	1.82648401826484	0	1.82648401826484	0	0	0	36.5296803652968	45.662100456621	0	0.91324200913242	0	0	2.28310502283105	0	3.19634703196347	0	0.45662100456621	0	0.45662100456621	1.82648401826484	0.45662100456621	0.45662100456621	0	0	0
3312	4299	"Nemino"	62.75	34.58333	125	"AWI"	125	4706	5191	4960	0	0	0	0	0	4	0	0.8	0	0	2.4	1.6	1.6	4	0	0	0	28	47.2	0	0.8	0	0	1.6	0	4	0	0	0	0	0.8	2.4	0	0	0.8	0
3312	4299	"Nemino"	62.75	34.58333	135	"AWI"	135	4966	5483	5227	0	0	0	0.833333333333333	0	3.33333333333333	0	1.66666666666667	0	0	0.833333333333333	1.66666666666667	0	12.5	0	0	0.833333333333333	17.5	28.3333333333333	0	3.33333333333333	0	0	5	0.833333333333333	10	0	0	0	0	12.5	0	0	0	0.833333333333333	0
3312	4299	"Nemino"	62.75	34.58333	145	"AWI"	145	5168	6067	5537	0.689655172413793	0	0	0	0	0.689655172413793	0	0	0	0	0.689655172413793	1.37931034482759	0	3.44827586206897	0	0	0	35.1724137931034	44.8275862068966	0	0.689655172413793	0	0	0.689655172413793	0.689655172413793	2.75862068965517	0	0	0	0	7.58620689655172	0	0	0	0.689655172413793	0
