"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Euphorbiaceae"	"Fabaceae"	"Juglandaceae"	"Orobanchaceae"	"Plantaginaceae"	"Poaceae"	"Rumex"
16152	24968	"Saint-Momelin"	50.79417	2.25167	45	"AWI"	45	1351	1618	1510	0	0	0	1	0	0	0	0	7	0
16152	24968	"Saint-Momelin"	50.79417	2.25167	55	"AWI"	55	1666	1983	1858	0	0	1	0	0	0	0	0	6	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	65	"AWI"	65	1981	2351	2205	0	0	0	0	0	0	0	0	8	2
16152	24968	"Saint-Momelin"	50.79417	2.25167	75	"AWI"	75	2292	2719	2552	1	0	1	0	0	0	0	0	5	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	95	"AWI"	95	2424	2874	2697	0	0	1	0	0	0	0	1	16	0
16152	24968	"Saint-Momelin"	50.79417	2.25167	120	"AWI"	120	2460	2958	2739	0	0	0	0	0	0	0	0	6	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	156	"AWI"	156	2498	3132	2792	0	0	0	0	0	0	0	0	9	2
16152	24968	"Saint-Momelin"	50.79417	2.25167	225	"AWI"	225	2604	3312	2916	1	2	1	0	0	0	0	0	8	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	265	"AWI"	265	2675	3419	2994	0	0	0	0	0	0	0	0	6	0
16152	24968	"Saint-Momelin"	50.79417	2.25167	285	"AWI"	285	2704	3477	3030	0	0	0	0	0	0	0	0	9	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	605	"AWI"	605	3408	4412	3644	1	0	0	0	0	0	0	0	7	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	615	"AWI"	615	3427	4448	3672	0	0	0	0	0	0	0	0	9	0
16152	24968	"Saint-Momelin"	50.79417	2.25167	645	"AWI"	645	3578	4604	3893	1	0	1	0	0	0	0	0	4	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	655	"AWI"	655	3611	4654	3999	1	0	1	0	0	0	1	0	7	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	665	"AWI"	665	3640	4720	4105	1	0	1	0	0	0	0	0	9	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	675	"AWI"	675	3663	4830	4208	0	0	1	0	0	1	0	0	3	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	685	"AWI"	685	3681	4967	4311	1	0	1	0	0	0	0	0	5	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	690	"AWI"	690	3690	5039	4361	0	0	1	0	0	0	0	0	23	0
16152	24968	"Saint-Momelin"	50.79417	2.25167	715	"AWI"	715	3871	5312	4583	1	0	1	0	0	0	0	0	3	1
16152	24968	"Saint-Momelin"	50.79417	2.25167	725	"AWI"	725	4005	5340	4666	2	0	0	0	0	0	0	0	1	2
16152	24968	"Saint-Momelin"	50.79417	2.25167	735	"AWI"	735	4096	5378	4748	0	0	0	2	0	0	0	0	2	17
16152	24968	"Saint-Momelin"	50.79417	2.25167	745	"AWI"	745	4179	5416	4847	0	0	0	0	0	0	0	0	6	0
16152	24968	"Saint-Momelin"	50.79417	2.25167	755	"AWI"	755	4248	5462	4946	0	0	0	0	0	0	0	0	6	0
16152	24968	"Saint-Momelin"	50.79417	2.25167	765	"AWI"	765	4308	5522	5049	1	0	0	0	0	0	0	0	7	0
