"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cedrus"	"Cistaceae"	"Coriariaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
15825	24348	"Lake Racou"	42.55417	2.00833	12.5	"AWI"	12.5	26	663.5	258.5	20	0	3	1	1	0	5	0	15	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	702	0	0	0	0	0	18	6	0	0	0	0	0	3	1	0	0	1	0	0	0	0
15825	24348	"Lake Racou"	42.55417	2.00833	17.5	"AWI"	17.5	82.5	788.5	409	10	0	1	2	0	0	20	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	581	0	0	0	0	0	11	9	0	0	0	0	0	0	1	0	1	0	0	0	0	1
15825	24348	"Lake Racou"	42.55417	2.00833	27.5	"AWI"	27.5	303	994	699	11	0	0	0	1	0	9	0	10	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	642	0	0	0	0	0	11	12	0	0	0	0	0	1	0	0	0	1	0	0	0	3
15825	24348	"Lake Racou"	42.55417	2.00833	32.5	"AWI"	32.5	477	1087	827	11	0	0	0	2	0	14	0	9	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	621	0	0	0	0	0	18	7	0	0	0	0	0	3	1	0	1	1	0	1	0	1
15825	24348	"Lake Racou"	42.55417	2.00833	42.5	"AWI"	42.5	897.5	1221	1067	13	0	1	0	0	0	6	0	15	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	478	1	0	0	0	0	18	14	0	0	0	0	0	2	1	0	0	0	0	0	0	1
15825	24348	"Lake Racou"	42.55417	2.00833	47.5	"AWI"	47.5	1001	1339.5	1164	13	0	2	2	0	0	2	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	329	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15825	24348	"Lake Racou"	42.55417	2.00833	52.5	"AWI"	52.5	1049	1491	1247.5	12	0	0	0	0	0	3	0	10	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	391	0	0	0	0	0	16	6	0	0	0	0	0	2	1	0	0	0	0	0	0	1
15825	24348	"Lake Racou"	42.55417	2.00833	57.5	"AWI"	57.5	1089.5	1617.5	1321	7	0	0	1	0	0	3	0	5	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15825	24348	"Lake Racou"	42.55417	2.00833	62.5	"AWI"	62.5	1148.5	1725	1395.5	65	1	5	3	3	0	3	0	15	0	0	0	0	0	0	0	0	0	17	0	0	0	0	7	0	0	37	0	1	0	0	0	14	0	0	4	0	0	0	0	0	4	0	0	1509	0	22	31	0	0	56	42	0	0	0	0	0	3	0	0	0	0	3	0	0	2
15825	24348	"Lake Racou"	42.55417	2.00833	67.5	"AWI"	67.5	1204	1825.5	1477.5	11	0	5	0	0	0	5	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	477	1	0	0	0	0	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1
15825	24348	"Lake Racou"	42.55417	2.00833	72.5	"AWI"	72.5	1264	1923	1560.5	14	0	1	0	2	0	1	0	6	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361	2	0	0	0	0	24	3	0	0	0	0	0	2	0	0	0	0	0	1	0	1
